道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	对应皮肤GDPL	使用方式，0不可使用，1自动，2手动  不填为0	获取类型（1默认，2供应站，3活动，4成就，5通行证	获取途径	附加参数1	附加参数2	附加参数3
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Icon	CardSkinID	UseMode	GetType	GetWay	Param1	Param2	Param3
24	18	2	1	薇蒂雅-天鹅座-泳装-动作1		skinar	aritem.Anim1802	5	2418001	{7,18,2,3}						
24	18	2	2	薇蒂雅-天鹅座-泳装-动作2		skinar	aritem.Anim1802	5	2418002	{7,18,2,3}						
24	18	2	3	薇蒂雅-天鹅座-泳装-动作3		skinar	aritem.Anim1802	5	2418003	{7,18,2,3}						
24	18	2	4	薇蒂雅-天鹅座-泳装-动作4		skinar	aritem.Anim1802	5	2418004	{7,18,2,3}						
24	18	2	5	薇蒂雅-天鹅座-泳装-动作5		skinar	aritem.Anim1802	5	2418005	{7,18,2,3}						
																
24	21	1	1	奈莉德-冥河代理人-泳装-动作1		skinar	aritem.Anim2101	5	2421001	{7,21,1,3}						
24	21	1	2	奈莉德-冥河代理人-泳装-动作2		skinar	aritem.Anim2101	5	2421002	{7,21,1,3}						
24	21	1	3	奈莉德-冥河代理人-泳装-动作3		skinar	aritem.Anim2101	5	2421003	{7,21,1,3}						
24	21	1	4	奈莉德-冥河代理人-泳装-动作4		skinar	aritem.Anim2101	5	2421004	{7,21,1,3}						
24	21	1	5	奈莉德-冥河代理人-泳装-动作5		skinar	aritem.Anim2101	5	2421005	{7,21,1,3}						
