道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	类型图标（1=原皮，3=三星皮，4=4星皮，5=5星皮）	图标(17+d(xx)+p(xx)+l	使用方式，0不可使用，1自动，2手动  不填为0	获取类型（1默认，2供应站，3活动，4成就，5通行证	获取途径	附加参数1	附加参数2	附加参数3	修正时间	外观ID	部件GDPL（有部件的皮肤才配置）	同皮肤转换的道具，格式{{g,d,p,l,n}, ...}	未获得皮肤时是否屏蔽显示(0或不填为显示，1为屏蔽）	皮肤赠送道具	GM投放	表现系统开放·对应support_manifestation，不填不显示表现系统入口	皮肤配套枪皮GDPL	排序
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Tag	Icon	UseMode	GetType	GetWay	Param1	Param2	Param3	ATime	AppearID	SkinPartsID	SameConvert	IsShow	profile	GMnum	ManifestationId	WeaponSkinID	Sort
7	1	1	1	安卡希雅（默认）		card_skin	cardskin.skin01101	5	1	1701011		1						700101					1			
7	1	1	3	安卡希雅-不灭榜首		card_skin	cardskin.skin01102	5	3	1701012		3						700103			1	{{9,4,44,1,1}}	1			1
7	1	1	2	安卡希雅-叶荫闲趣		card_skin	cardskin.skin01103	5	3	1701013		3						700102			1	{{9,4,97,1,1}}	1			2
7	1	2	1	安卡希雅-辉夜（默认）		card_skin	cardskin.skin01201	5	1	1701021		1						710101					1			
7	1	2	2	安卡希雅-辉夜-次元追忆		card_skin	cardskin.skin01202	5	3	1701022		5						710102			1	{{9,4,1,1,1}}	1			
7	1	2	3	安卡希雅-辉夜-东流映荷		card_skin	cardskin.skin01203	5	5	1701023		2	612					710103			1	{{9,4,26,1,1},{12,1,13,1,1}}	1			
7	1	3	1	安卡希雅-时之重奏（默认）		card_skin	cardskin.skin01301	5	1	1701031		1						720101					1			
7	1	3	2	安卡希雅-时之重奏-缘音回响		card_skin	cardskin.skin01302	5	5	1701032		2	667					720102			1	{{9,4,107,1,1},{12,1,91,1,1}}	1	{19,1,3,2}	{17,10,1,1}	
7	2	1	1	里芙（默认）		card_skin	cardskin.skin02101	5	1	1702011		1						700201					1			
7	2	1	2	里芙-星宇巡游		card_skin	cardskin.skin02102	5	3	1702012		3						700202			1	{{9,4,2,1,1}}	1			
7	2	1	3	里芙-归航一心		card_skin	cardskin.skin02103	5	3	1702013		3						700203			1	{{9,4,41,1,1}}	1			
7	2	1	4	里芙-不灭银星		card_skin	cardskin.skin02104	5	3	1702014		3						700204			1	{{9,4,68,1,1}}	1			
7	2	2	1	里芙-狂猎（默认）		card_skin	cardskin.skin02201	5	1	1702021		1						710201					1			
7	2	2	2	里芙-狂猎-宵宴绯盏		card_skin	cardskin.skin02202	5	5	1702022		2	602					710202			1	{{9,4,6,1,1},{12,1,1,1,1}}	1			
7	2	2	3	里芙-狂猎-霜舞盛典		card_skin	cardskin.skin02203	5	4	1702023		2	609					710203			1	{{9,4,19,1,1},{12,1,9,1,1}}	1			
7	2	2	4	里芙-狂猎-街头规则		card_skin	cardskin.skin02204	5	3	1702024		5						710204			1	{{9,4,29,1,1}}	1			
7	2	3	1	里芙-无限之视（默认）		card_skin	cardskin.skin02301	5	1	1702031		1						720201					1			
7	2	3	2	里芙-无限之视-爱意凝晶		card_skin	cardskin.skin02302	5	5	1702032		2	619					720202			1	{{9,4,37,1,1},{12,1,25,1,1}}	1	{19,2,3,2}	{17,7,1,1}	
7	2	3	3	里芙-无限之视-引风飒意		card_skin	cardskin.skin02303	5	3	1702033		5						720203			1	{{9,4,78,1,1}}	1			
7	2	4	1	里芙-永恒（默认）		card_skin	cardskin.skin02401	5	1	1702041		1						730201					1			
