道具大类	道具子类	道具ID	等级	注释	禁用道具	开放时间	未获得角色时是否屏蔽显示(0或不填为显示，1为屏蔽）	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	突破材料配置ID,与break.txt中配置ID对应	等级限制配置ID,与level_limit.txt中配置ID对应	突破次数限制配置ID,与break_level_limit.txt中配置ID对应	同卡转换的道具，格式{{g,d,p,l,n}, ...}	附加参数1	附加参数2	附加参数3	修正时间	成长属性ID	外观ID	角色卡默认武器，格式：{g,d,p,l}	角色赠送头像	角色默认武器类型（1冲锋枪，2狙击枪，3霰弹枪，4手枪，5突击步枪,6弩,7双枪，8弓，9加特林，10飞剑）	脊椎ID	碎片解锁（不配为不能碎片解锁）	属性类型（动能，高热，低温，电击，特异）	定位	GM投放	关联蛋池	可查看时间限制	特殊标识
Genre	Detail	Particular	Level	Comment	Close	StartTime	IsShow	LuaType	I18n	Color	InitBreak	Icon	UseMode	CanStack	CanEnhance	BreakMatID	LevelLimitID	BreakLimitID	SameConvert	Param1	Param2	Param3	ATime	GrowupID	AppearID	DefaultWeaponGPDL	profile	LimitWeapon	SpineID	Pieces	Attribute	Positioning	GMnum	gachaid	limitTime	SpecialIcon
1	1	1	1	安卡希雅			1	girl_card	card.girl011	4	1	1210009			1	1001	1001		{{5,4,1,1,30},{5,13,1,4,5}}					1001	1001	{2,4,255,1}	{{9,1,1,1,1}}	4	10001	{{5,4,1,1,30}}	{5}	{2}	1			
1	1	2	1	安卡希雅-辉夜			1	girl_card	card.girl012	5	1	1210015			1	1002	1001		{{5,4,1,2,60},{5,13,1,4,25}}					1002	1101	{2,4,255,1}	{{9,1,1,2,1}}	4	10015	{{5,4,1,2,60}}	{3}	{5}	1	4		
1	1	3	1	安卡希雅-时之重奏			1	girl_card	card.girl013	5	1	1210053			1	1050	1001		{{5,4,1,3,60},{5,13,1,4,25}}					1052	1201	{2,10,255,1}	{{9,1,1,3,1}}	10	10052	{{5,4,1,3,60}}	{1}	{2}	1	191		
1	2	1	1	里芙			1	girl_card	card.girl021	4	1	1210001			1	1003	1001		{{5,4,2,1,30},{5,13,1,4,5}}					1003	1002	{2,1,255,1}	{{9,1,2,1,1}}	1	10002	{{5,4,2,1,30}}	{4}	{1,14}	1			
1	2	2	1	里芙-狂猎			1	girl_card	card.girl022	5	1	1210011			1	1004	1001		{{5,4,2,2,60},{5,13,1,4,25}}					1004	1102	{2,1,255,1}	{{9,1,2,2,1}}	1	10011	{{5,4,2,2,60}}	{3}	{2}	1			
1	2	3	1	里芙-无限之视			1	girl_card	card.girl023	5	1	1210031			1	1030	1001		{{5,4,2,3,60},{5,13,1,4,25}}					1030	1202	{2,7,255,1}	{{9,1,2,3,1}}	7	10030	{{5,4,2,3,60}}	{1}	{1,2}	1	129		
1	2	4	1	里芙-永恒			1	girl_card	card.girl024	5	1	1210058			1	1053	1001		{{5,4,2,4,60},{5,13,1,4,25}}					1030	1302	{2,11,255,1}	{{9,1,2,4,1}}	11	10030	{{5,4,2,3,60}}	{1,6}	{1,2}	1	129		{5300001,5300002}
1	3	1	1	妮塔			1	girl_card	card.girl031	4	1	1210002			1	1005	1001		{{5,4,3,1,30},{5,13,1,4,5}}					1005	1003	{2,3,255,1}	{{9,1,3,1,1}}	3	10003	{{5,4,3,1,30}}	{1}	{2,8}	1			
1	3	2	1	妮塔-悸响			1	girl_card	card.girl032	5	1	1210041			1	10001	1001		{{5,32,1,1,1}}					1040	1103	{2,3,255,1}	{{9,1,3,2,1}}	3	10040		{2}	{2}	1			
1	4	1	1	芙提雅			1	girl_card	card.girl041	4	1	1210003			1	1006	1001		{{5,4,4,1,30},{5,13,1,4,5}}					1006	1004	{2,5,255,1}	{{9,1,4,1,1}}	5	10004	{{5,4,4,1,30}}	{2}	{2,5}	1			
1	4	2	1	芙提雅-缄默			1	girl_card	card.girl042	5	1	1210014			1	1007	1001		{{5,4,4,2,60},{5,13,1,4,25}}					1007	1104	{2,5,255,1}	{{9,1,4,2,1}}	5	10014	{{5,4,4,2,60}}	{2}	{2,8}	1			
1	4	3	1	芙提雅-驰掣			1	girl_card	card.girl043	5	1	1210035			1	1035	1001		{{5,4,4,3,60},{5,13,1,4,25}}					1035	1204	{2,2,255,1}	{{9,1,4,3,1}}	2	10035	{{5,4,4,3,60}}	{5}	{1}	1	145		
1	4	4	1	芙提雅-炬芯			1	girl_card	card.girl044	5	1	1210055			1	10004	1001		{{5,32,4,1,1}}					1055	1304	{2,4,255,1}	{{9,1,4,4,1}}	4	10055		{4}	{2}	1	193	[202605221000]	
