道具大类	道具子类	道具ID	等级	注释	禁用道具	友方ID	敌方ID	类名	名字key	描述key	组别	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙，6=红）	图标	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	分解回收配置，对应recycle.txt中得ID列	GM投放	攻击属性随机索引{区域1索引，区域2索引}	防御属性随机索引	生命属性随机索引	随机技能索引	芯片索引	图鉴Id(不是大图鉴)	劝降经验	Cost值	阵营	首次抓捕时生成技能{id,等级}	特殊攻击倍数	昼夜刷新显示（1白天出现，2夜晚出现，0白天夜晚都出现)
Genre	Detail	Particular	Level	Comment	Close	MonsterTemplateFriend	MonsterTemplateEnemy	LuaType	I18n	Desc	GroupId	Color	Icon	CanStack	CanEnhance	RecycleID	GMnum	AttackRandomId	DefenseRandomId	HealthRandomId	SkillRandomId	ChipRandomId	RikiId	Exp	CostValue	Camp	SkillFirstTime	SPAttackTimes	RefreshTime
18	1	1	1	螺钉		4501003	4001003	monster_card	monster.4001003_name	vircapture.mon_desc_01	2	3	1804003		1	14	1	{1}	{1}	{1}	{1}	{1}	1	1000	6	1		1.891203342	0
18	1	2	1	钢珠		4501005	4001005	monster_card	monster.4001005_name	vircapture.mon_desc_02	1	3	1804005		1	14	1	{1}	{1}	{1}	{1}	{2}	2	1000	5	1		2.292993163	0
18	1	3	1	喷壶		4501006	4001006	monster_card	monster.4001006_name	vircapture.mon_desc_03	3	3	1804006		1	14	1	{1}	{1}	{1}	{1}	{3}	3	1000	7	1		3.612437488	0
18	1	4	1	通条		4501007	4001007	monster_card	monster.4001007_name	vircapture.mon_desc_04	4	4	1804007		1	15	1	{1}	{1}	{1}	{2}	{4}	4	2000	8	1		5.464669474	0
18	1	5	1	灯泡		4501002	4002002	monster_card	monster.4001002_name	vircapture.mon_desc_05	3	3	1804002		1	14	1	{1}	{1}	{1}	{1}	{5}	5	1000	7	1		3.998720409	0
18	1	6	1	炽热投手		4501016	4001016	monster_card	monster.4001016_name	vircapture.mon_desc_06	4	4	1804039		1	15	1	{1}	{1}	{1}	{2}	{6}	6	2000	8	1		8.336746189	0
18	1	7	1	链斧		4501017	4001017	monster_card	monster.4001017_name	vircapture.mon_desc_07	5	4	1804040		1	15	1	{1}	{1}	{1}	{2}	{7}	7	2000	10	1		3.660301296	0
18	1	8	1	炉子		5501001	5001001	monster_card	monster.5001001_name	vircapture.mon_desc_08	7	5	1804000		1	16	1	{1}	{1}	{1}	{3}	{8}	8	4000	15	1		6.69305853	0
18	1	9	1	铁锤		5501010	5001010	monster_card	monster.5001010_name	vircapture.mon_desc_09	6	5	1804009		1	16	1	{1}	{1}	{1}	{3}	{9}	9	4000	12	1		3.954961948	0
18	1	10	1	喇叭		5502010	5002010	monster_card	monster.5002010_name	vircapture.mon_desc_10	6	5	1804008		1	16	1	{1}	{1}	{1}	{3}	{10}	10	4000	12	1		7.266234845	0
18	1	11	1	爆破会员		4501106	4001106	monster_card	monster.4001106_name	vircapture.mon_desc_11	3	3	1804019		1	14	1	{1}	{1}	{1}	{1}	{11}	11	1000	7	2		1.546226905	0
18	1	12	1	会员		4501108	4001108	monster_card	monster.4001108_name	vircapture.mon_desc_12	1	3	1804021		1	14	1	{1}	{1}	{1}	{1}	{12}	12	1000	5	2		1.654647491	0
18	1	13	1	连弩会员		4501112	4001112	monster_card	monster.4001112_name	vircapture.mon_desc_13	2	3	1804048		1	14	1	{1}	{1}	{1}	{1}	{13}	13	1000	6	2		2.311248074	0
18	1	14	1	散射会员		4501114	4001114	monster_card	monster.4001114_name	vircapture.mon_desc_14	4	4	1804050		1	15	1	{1}	{1}	{1}	{2}	{14}	14	2000	8	2		7.918933584	0
18	1	15	1	弓箭会员		4501102	4001102	monster_card	monster.4001102_name	vircapture.mon_desc_15	4	4	1804015		1	15	1	{1}	{1}	{1}	{2}	{15}	15	2000	8	2		5.941710126	0
18	1	16	1	长刀会员		4501103	4001103	monster_card	monster.4001103_name	vircapture.mon_desc_16	3	3	1804016		1	14	1	{1}	{1}	{1}	{1}	{16}	16	1000	7	2		3.406274047	0
18	1	17	1	武装会员-飞刀		4502104	4002104	monster_card	monster.4002104_name	vircapture.mon_desc_17	5	4	1804017		1	15	1	{1}	{1}	{1}	{2}	{17}	17	2000	10	2		2.248097095	0
