道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	类型图标（3=三星皮，4=4星皮，5=5星皮）	图标	使用方式，0不可使用，1自动，2手动  不填为0	获取类型（2供应站，3活动，4成就，5通行证	获取途径	可用角色	皮肤外观ID	是否有第二形态，不配默认没有	子弹包外观ID	未获得皮肤时是否屏蔽显示(0或不填为显示，1为屏蔽）	GM投放
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Tag	Icon	UseMode	GetType	GetWay	CradID	SkinAppearID	SkinLv2AppearID	BulletEnchantID	IsShow	GMnum
17	1	1	1	融月流金		weapon_skin	weapon_skin.skin10001	5	4	20110001		2	810	{{1,7,2,1}}	{{101,"Wp01b_Skin10001"}}				1
17	1	2	1	春携良缘		weapon_skin	weapon_skin.skin10002	5	4	20120001		2	813	{{1,10,3,1}}	{{101,"Wp01a_Skin10002"}}				1
17	1	3	1	忠诚之勋		weapon_skin	weapon_skin.skin10003	5	4	20130001		2	831	{{1,10,3,1}}	{{101,"Wp01a_Skin10003"}}				1
17	1	4	1	铂金密信		weapon_skin	weapon_skin.skin10004	5	4	20140001		2	829	{{1,22,1,1}}	{{101,"Wp01c_Skin10004"}}				1
17	1	5	1	清波储备		weapon_skin	weapon_skin.skin10005	5	4	20150001		2	832	{{1,8,4,1}}	{{101,"Wp01d_Skin10005"}}				1
17	1	6	1	冬愿银装		weapon_skin	weapon_skin.skin10006	5	4	20160001		2	841	{{1,8,4,1}}	{{101,"Wp01d_Skin10006"}}				1
17	1	7	1	爱语明釉		weapon_skin	weapon_skin.skin10007	5	4	20170001		2	843	{{1,5,4,1}}	{{101,"Wp01b_Skin10007"}}				1
17	1	8	1	约束禁律		weapon_skin	weapon_skin.skin10008	5	4	20180001		2	843	{{1,5,4,1}}	{{101,"Wp01b_Skin10008"}}				1
																			
17	2	1	1	拒绝加班		weapon_skin	weapon_skin.skin20001	5	3	20210001		3		{{1,10,1,1}}	{{201,"Wp02a_Skin20001"}}				1
17	2	2	1	熊熊突击		weapon_skin	weapon_skin.skin20003	5	4	20220001		2	808	{{1,4,3,1}}	{{202,"Wp02b_Skin20003"}}				1
17	2	3	1	爱彻青空		weapon_skin	weapon_skin.skin20004	5	4	20230001		2	822	{{1,18,2,1}}	{{201,"Wp02b_Skin20005"}}				1
17	2	4	1	清凉公式		weapon_skin	weapon_skin.skin20005	5	4	20240001		2	823	{{1,4,3,1}}	{{202,"Wp02b_Skin20004"}}				1
17	2	5	1	紫晶盛放		weapon_skin	weapon_skin.skin20006	5	4	20250001		2	835	{{1,18,2,1}}	{{201,"Wp02b_Skin20006"}}				1
17	2	6	1	赤玫臻言		weapon_skin	weapon_skin.skin20007	5	4	20260001		2	840	{{1,12,3,1}}	{{202,"Wp02a_Skin20007"}}				1
17	2	7	1	花影映爱		weapon_skin	weapon_skin.skin20008	5	4	20270001		2	840	{{1,10,4,1}}	{{202,"Wp02b_Skin20008"}}				1
																			
17	3	1	1	全糖蜜令		weapon_skin	weapon_skin.skin30001	5	4	20310001		2	801	{{1,8,2,1}}	{{301,"Wp03a_Skin30001"}}			1	1
17	3	2	1	未来心跳		weapon_skin	weapon_skin.skin30002	5	4	20320001		2	807	{{1,5,3,1}}	{{301,"Wp03a_Skin30003"}}				1
17	3	3	1	澈海之约		weapon_skin	weapon_skin.skin30004	5	4	20330001		2	809	{{1,13,2,1}}	{{301,"Wp03a_Skin30004"}}				1
17	3	4	1	豹豹饱饱		weapon_skin	weapon_skin.skin30005	5	4	20340001		2	811	{{1,16,1,1}}	{{301,"Wp03a_Skin30005"}}				1
17	3	5	1	聆听本真		weapon_skin	weapon_skin.skin30007	5	4	20350001		2	815	{{1,11,3,1}}	{{301,"Wp03a_Skin30007"}}				1
17	3	6	1	危甜信号		weapon_skin	weapon_skin.skin30006	5	4	20360001		2	817	{{1,5,3,1}}	{{301,"Wp03a_Skin30006"}}				1
17	3	7	1	深林微光		weapon_skin	weapon_skin.skin30008	5	4	20370001		2	818	{{1,3,2,1}}	{{301,"Wp03a_Skin30008"}}				1
