道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2	附加参数3	分解回收配置，对应recycle.txt中得ID列	GM投放
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Icon	UseMode	CanStack	CanEnhance	Param1	Param2	Param3	RecycleID	GMnum
8	1	1	3	简约书柜			dormgift.gift101	4	1810101				101				1
8	1	2	3	藤原复古街机			dormgift.gift102	5	1810102				102				1
8	1	3	3	武器展示柜			dormgift.gift103	4	1810103				103				1
8	1	4	3	音响套装			dormgift.gift104	4	1810104				104				1
8	1	5	3	宅家神器套装			dormgift.gift105	5	1810105				105				1
8	1	6	3	刀架			dormgift.gift106	4	1810106				106				1
8	1	7	3	旧时家庭影院			dormgift.gift107	5	1810107				107				1
8	1	8	3	游戏海报			dormgift.gift108	3	1810108				108				1
8	1	9	3	刀剑展览门票集			dormgift.gift109	3	1810109				109				1
8	1	10	3	「野干」面具			dormgift.gift110	3	1810110				110				1
8	1	11	3	「大魔王」游戏机			dormgift.gift111	5	1810111				111				1
8	1	13	3	大安卡-恒约			dormgift.gift121	5	1810121				121				1
8	1	14	3	小安卡-恒约			dormgift.gift122	5	1810122				122				1
8	1	12	3	游戏时间！			dormgift.gift120	5	1810120				120				1
																	
8	2	1	3	神经修复仓			dormgift.gift201	5	1810201				201				1
8	2	2	3	嵌入式展示柜			dormgift.gift202	4	1810202				202				1
8	2	3	3	深层肌膜冲击椅			dormgift.gift203	5	1810203				203				1
8	2	4	3	兵人棋盘			dormgift.gift204	4	1810204				204				1
8	2	5	3	飞镖靶			dormgift.gift205	5	1810210				205				1
8	2	6	3	全向跑步机			dormgift.gift206	4	1810205				206				1
8	2	7	3	无人机支架			dormgift.gift207	3	1810206				207				1
8	2	8	3	唱片机			dormgift.gift208	4	1810207				208				1
8	2	9	3	拟真相册			dormgift.gift209	3	1810208				209				1
8	2	10	3	唱片			dormgift.gift210	3	1810209				210				1
8	2	11	3	高级飞镖套装			dormgift.gift213	5	1810211				213				1
8	2	12	3	亲密相伴			dormgift.gift220	5	1810220				220				1
8	2	13	3	里芙恒约			dormgift.gift221	5	1810221				221				1
																	
8	4	1	3	辅助机整备系统			dormgift.gift401	5	1810401				401				1
8	4	2	3	多功能工作台			dormgift.gift402	5	1810402				402				1
8	4	3	3	能量饮品柜			dormgift.gift403	5	1810403				403				1
8	4	4	3	家用静音跑步机			dormgift.gift404	4	1810404				404				1
8	4	5	3	鲁比克方块抱枕			dormgift.gift405	4	1810405				405				1
8	4	6	3	「早起鸟」电子钟			dormgift.gift406	3	1810406				406				1
8	4	7	3	凹凸条纹地垫			dormgift.gift407	4	1810407				407				1
8	4	8	3	壁挂式小型书架			dormgift.gift408	3	1810408				408				1
8	4	9	3	改良型常青绿植			dormgift.gift409	3	1810409				409				1
8	4	10	3	可调节拆卸壶铃			dormgift.gift410	4	1810410				410				1
8	4	14	3	专业特训跑步机			dormgift.gift414	5	1810411				414				1
8	4	12	3	爱心练习？			dormgift.gift420	5	1810420				420				1
																	
8	7	1	3	进阶厨具组			dormgift.gift701	5	1810701				701				1
8	7	2	3	食品储物柜			dormgift.gift702	5	1810702				702				1
8	7	3	3	双开门智能冰箱			dormgift.gift703	4	1810703				703				1
8	7	4	3	双椅餐桌			dormgift.gift704	4	1810704				704				1
8	7	5	3	企鹅手偶			dormgift.gift705	4	1810705				705				1
8	7	6	3	摇粒绒纯色毯			dormgift.gift706	3	1810706				706				1
8	7	7	3	居家毛绒组合			dormgift.gift707	5	1810707				707				1
8	7	8	3	备份门卡			dormgift.gift708	3	1810708				708				1
8	7	9	3	大头抱枕			dormgift.gift709	4	1810709				709				1
8	7	10	3	备用通讯装置			dormgift.gift710	3	1810710				710				1
8	7	11	3	温馨餐桌椅组合			dormgift.gift711	5	1810711				711				1
																	
8	8	1	3	藏品展柜			dormgift.gift801	5	1810801				801				1
8	8	2	3	组合化妆台			dormgift.gift802	4	1810802				802				1
8	8	3	3	高透玻璃展柜			dormgift.gift803	4	1810803				803				1
8	8	4	3	设计款茶组			dormgift.gift804	5	1810804				804				1
8	8	5	3	全息影像屏			dormgift.gift805	4	1810805				805				1
8	8	6	3	乐器组合			dormgift.gift806	4	1810806				806				1
8	8	7	3	落地等身镜			dormgift.gift807	5	1810807				807				1
8	8	8	3	女式帽套装			dormgift.gift808	3	1810808				808				1
8	8	9	3	明星海报			dormgift.gift809	3	1810809				809				1
8	8	10	3	作战记录仪			dormgift.gift810	3	1810810				810				1
8	8	11	3	至臻藏品展柜			dormgift.gift811	5	1810811				811				1
8	8	12	3	甜蜜揉捏			dormgift.gift820	5	1810820				820				1
8	8	13	3	芬妮恒约			dormgift.gift821	5	1810821				821				1
																	
8	13	1	3	便捷家用摄影棚			dormgift.gift1301	5	1811301				1301				1
8	13	2	3	生态观赏鱼缸			dormgift.gift1302	5	1811302				1302				1
8	13	3	3	叠层式盆栽造景			dormgift.gift1303	5	1811303				1303				1
8	13	4	3	影像留言屏			dormgift.gift1304	4	1811304				1304				1
8	13	5	3	自印款拼图桌组			dormgift.gift1305	4	1811305				1305				1
8	13	6	3	自粘式原木拼接板			dormgift.gift1306	4	1811306				1306				1
8	13	7	3	复古录音笔			dormgift.gift1307	3	1811307				1307				1
8	13	8	3	拍立得相机相纸套装			dormgift.gift1308	3	1811308				1308				1
8	13	9	3	记录报告			dormgift.gift1309	3	1811309				1309				1
8	13	10	3	立体月球虚影灯			dormgift.gift1310	4	1811310				1310				1
8	13	11	3	高级造景鱼缸			dormgift.gift1314	5	1811311				1314				1
																	
8	14	1	3	圆形藏书角			dormgift.gift1401	5	1811401				1401				1
8	14	2	3	呼吸训练套组			dormgift.gift1402	5	1811402				1402				1
8	14	3	3	悬浮投影装饰			dormgift.gift1403	4	1811404				1403				1
8	14	4	3	红木长案			dormgift.gift1404	5	1811406				1404				1
8	14	5	3	禽鸟戏挂饰			dormgift.gift1405	4	1811409				1405				1
8	14	6	3	山水造景			dormgift.gift1406	4	1811403				1406				1
8	14	7	3	真丝摹竹屏风			dormgift.gift1407	4	1811405				1407				1
8	14	8	3	高透明置物架			dormgift.gift1408	3	1811407				1408				1
8	14	9	3	燃火熏香炉			dormgift.gift1409	3	1811408				1409				1
8	14	10	3	绳结顶饰			dormgift.gift1410	3	1811410				1410				1
8	14	12	3	精装藏书角			dormgift.gift1412	5	1811411				1412				1
8	14	13	3	辰星恒约			dormgift.gift1421	5	1811421				1421				1
8	14	14	3	双人膝枕			dormgift.gift1420	5	1811420				1420				1
																	
8	5	1	3	时尚茶几			dormgift.gift501	4	1810501				501				1
8	5	2	3	花艺练习桌组			dormgift.gift502	5	1810503				502				1
8	5	3	3	科技布艺术沙发			dormgift.gift503	5	1810511				503				1
8	5	4	3	壁挂式梳妆台			dormgift.gift504	4	1810507				504				1
8	5	5	3	射击训练吊顶			dormgift.gift505	5	1810505				505				1
8	5	6	3	自组式展示墙			dormgift.gift506	4	1810502				506				1
8	5	7	3	电子相框组			dormgift.gift507	4	1810506				507				1
8	5	8	3	实体门票收藏夹			dormgift.gift508	3	1810508				508				1
8	5	9	3	手工打制摩卡壶			dormgift.gift509	3	1810509				509				1
8	5	10	3	电影蓝光碟			dormgift.gift510	3	1810510				510				1
8	5	11	3	科技布轻奢沙发			dormgift.gift514	5	1810504				514				1
8	5	12	3	蒙眼辨物			dormgift.gift520	5	1810520				520				1
8	5	13	3	恒约等身版			dormgift.gift521	5	1810521				521				1
																	
8	6	1	3	多功能维护立柱			dormgift.gift601	5	1810601				601				1
8	6	2	3	花卉培养套装			dormgift.gift602	4	1810602				602				1
8	6	3	3	机械维护组合			dormgift.gift603	5	1810603				603				1
8	6	4	3	吊顶式沙袋			dormgift.gift604	4	1810604				604				1
8	6	5	3	家用自律套组			dormgift.gift605	5	1810605				605				1
8	6	6	3	奖章展示柜			dormgift.gift606	4	1810606				606				1
8	6	7	3	座式投影装饰			dormgift.gift607	4	1810607				607				1
8	6	8	3	腹肌轮			dormgift.gift608	3	1810608				608				1
8	6	9	3	修护液套装			dormgift.gift609	3	1810609				609				1
8	6	10	3	合金首饰盒			dormgift.gift610	3	1810610				610				1
8	6	11	3	家用互助套组			dormgift.gift613	5	1810611				613				1
8	6	12	3	双人膝枕			dormgift.gift620	5	1810620				620				1
																	
8	10	1	3	组合式储物家装			dormgift.gift1001	5	1811001				1001				1
8	10	2	3	新手养植套装			dormgift.gift1002	4	1811002				1002				1
8	10	3	3	节能加热被炉			dormgift.gift1003	5	1811003				1003				1
8	10	4	3	冥想入门套组			dormgift.gift1004	4	1811004				1004				1
8	10	5	3	带脚凳躺椅			dormgift.gift1005	5	1811005				1005				1
8	10	6	3	露营氛围套装			dormgift.gift1006	4	1811006				1006				1
8	10	7	3	可触式显示屏			dormgift.gift1007	3	1811007				1007				1
8	10	8	3	网格挂饰			dormgift.gift1008	4	1811008				1008				1
8	10	9	3	打工人造型地毯			dormgift.gift1009	3	1811009				1009				1
8	10	10	3	风景海报套装			dormgift.gift1010	3	1811010				1010				1
8	10	11	3	豪华加热被炉			dormgift.gift1012	5	1811011				1012				1
