道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2（自选礼包该参数配置1则开启2次确认提示）	附加参数3	成长属性ID	外观ID	最早可使用时间	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00(年-月-日T时:分:秒)	分解回收配置，对应recycle.txt中得ID列	GM投放
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	Icon	UseMode	CanStack	CanEnhance	Param1	Param2	Param3	GrowupID	AppearID	UseStartTime	Expiration	RecycleID	GMnum
4	3	1	1	通用银		silver_box	ui.silver	3	1510045	1	1		1								999
4	3	2	1	数据金		gold_box	supplies.freecurr	5	1510046	1	1		1								999
4	3	3	1	账号经验		playerexp_box	supplies.playerexp	1	1510047	1			1								999
4	3	4	1	月卡本体		monthcard_box	supplies.month_card	5	1510035	1	1		30	90	1						0
4	3	4	2	返利月卡		itembox	supplies.redeemCard	5	1510085	2	1		99								0
																					
4	3	2	2	数据金(60)		gold_box	supplies.freecurr	5	110103000	1	1		1								0
4	3	2	3	数据金(300)		gold_box	supplies.freecurr	5	110103001	1	1		1								0
4	3	2	4	数据金(680)		gold_box	supplies.freecurr	5	110103002	1	1		1								0
4	3	2	5	数据金(1280)		gold_box	supplies.freecurr	5	110103003	1	1		1								0
4	3	2	6	数据金(3280)		gold_box	supplies.freecurr	5	110103004	1	1		1								0
4	3	2	7	数据金(6480)		gold_box	supplies.freecurr	5	110103005	1	1		1								0
4	9	1	3	比特金		money_box	supplies.paycurr1	5	1600001	1	1		1								0
4	9	1	4	比特金（6元充值）		money_box	supplies.paycurr1	5	110101600	1	1		1								0
4	9	2	4	比特金（30元充值）		money_box	supplies.paycurr1	5	110101700	1	1		1								0
4	9	3	4	比特金（98元充值）		money_box	supplies.paycurr1	5	110101800	1	1		1								0
4	9	4	4	比特金（198元充值）		money_box	supplies.paycurr1	5	110101900	1	1		1								0
4	9	5	4	比特金（328元充值）		money_box	supplies.paycurr1	5	110102000	1	1		1								0
4	9	6	4	比特金（648元充值）		money_box	supplies.paycurr1	5	110102100	1	1		1								0
4	2	1	2	体力药(小)	1	vigor_box	supplies.vigor_box1	3	1510054	2	1		15								999
4	2	1	3	体力药(中)		vigor_box	supplies.vigor_box2	4	1510055	2	1		30								999
4	2	1	4	体力药(大)		vigor_box	supplies.vigor_box3	5	1510056	2	1		60								999
4	2	1	5	体力药(小)(绝对限时)	1	vigor_box	supplies.vigor_box1	3	1510054	2	1		15						2022-09-15T00:00:00	11	0
4	2	1	6	月卡赠送体力药(中)(相对限时)		vigor_box	supplies.vigor_box2	4	1510055	2	1		30						7	11	0
4	2	1	7	限时7日大体力药		vigor_box	supplies.vigor_box3	5	1510056	2	1		60						7	11	0
4	2	1	8	限时14日中体力药		vigor_box	supplies.vigor_box2	4	1510055	2	1		30						14	11	0
4	2	1	9	限时14日大体力药		vigor_box	supplies.vigor_box3	5	1510056	2	1		60						14	11	0
4	2	1	10	限时30日大体力药		vigor_box	supplies.vigor_box3	5	1510056	2	1		60						30	11	0
4	2	1	11	限时7日中体力药		vigor_box	supplies.vigor_box2	4	1510055	2	1		30						7	11	0
4	2	1	12	限时30日中体力药		vigor_box	supplies.vigor_box2	4	1510055	2	1		30						30	11	0
4	2	1	13	DLC3.6版本限定大体力药		vigor_box	supplies.vigor_box3	5	1510056	2	1		60						2026-06-19T04:00:00	11	0
4	6	1	1	记忆补嵌包		token_box	supplies.fragment	4	1510090	2	1		7	3							0
4	6	1	2	记忆补嵌包(限时14日)		token_box	supplies.fragment	4	1510090	2	1		7	3					14		0
4	4	1	1	每日免费补给包		itembox	supplies.giftbox1	2	1510057	1			1		{4,4,1,1,1}						0
4	4	1	2	每周免费补给包		itembox	supplies.giftbox2	2	1510058	1			2		{4,4,1,2,1}						0
4	4	1	3	每月免费补给包		itembox	supplies.giftbox3	3	1510059	1			3		{4,4,1,3,1}						0
