道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	排序分类(1角色碎片2角色养成素材3武器养成素材4后勤养成素材5其他）	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	脚标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2	附加参数3	提供经验值	消耗金币	最早可使用时间，格式：年月日，如201601010200	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00	分解回收配置，对应recycle.txt中得ID列	GM投放
Genre	Detail	Particular	Level	Comment	Close	LuaType	Classify	I18n	Color	Icon	EXIcon	UseMode	CanStack	CanEnhance	Param1	Param2	Param3	ProvideExp	ConsumeGold	UseStartTime	Expiration	RecycleID	GMnum
5	1	1	1	新手战斗记录			2	supplies.cardexp001	1	1510001			1					600	150				999
5	1	1	2	普通战斗记录			2	supplies.cardexp002	2	1510002			1					1200	300				999
5	1	1	3	优秀战斗记录			2	supplies.cardexp003	3	1510003			1					3000	750				999
5	1	1	4	精英战斗记录			2	supplies.cardexp004	4	1510004			1					9000	2250				999
5	2	1	1	通用强化套件			3	supplies.weaponexp001	1	1510005			1					600	150				999
5	2	1	2	优选强化套件			3	supplies.weaponexp002	2	1510006			1					1200	300				999
5	2	1	3	精致强化套件			3	supplies.weaponexp003	3	1510007			1					3000	750				999
5	2	1	4	珍稀强化套件			3	supplies.weaponexp004	4	1510008			1					9000	2250				999
5	3	1	1	初级职级认证			4	supplies.supportexp001	1	1510009			1					600	150				999
5	3	1	2	中级职级认证			4	supplies.supportexp002	2	1510010			1					1200	300				999
5	3	1	3	高级职级认证			4	supplies.supportexp003	3	1510011			1					3000	750				999
5	3	1	4	特级职级认证			4	supplies.supportexp004	4	1510012			1					9000	2250				999
5	4	1	1	提取物·安卡希雅			1	supplies.pieces001	4	1510013	1520009		1										999
5	4	2	1	提取物·里芙			1	supplies.pieces002	4	1510013	1520001		1										999
5	4	3	1	提取物·妮塔			1	supplies.pieces003	4	1510013	1520002		1										999
5	4	4	1	提取物·芙提雅			1	supplies.pieces004	4	1510013	1520003		1										999
5	4	5	1	提取物·茉莉安			1	supplies.pieces005	4	1510013	1520010		1										999
5	4	5	2	提取物·茉莉安-雨燕			1	supplies.pieces006	5	1510013	1520004		1										999
5	4	5	3	提取物·茉莉安-幽潮			1	supplies.pieces034	5	1510013	1530008		1										999
5	4	5	4	提取物·茉莉安-霄鹰			1	supplies.pieces051	5	1510013	1530028		1										999
5	4	6	1	提取物·晴			1	supplies.pieces007	4	1510013	1520005		1										999
5	4	7	1	提取物·琴诺			1	supplies.pieces008	4	1510013	1520006		1										999
5	4	7	2	提取物·琴诺-悖谬			1	supplies.pieces027	5	1510013	1530001		1										999
5	4	8	1	提取物·芬妮			1	supplies.pieces009	4	1510013	1520007		1										999
5	4	8	3	提取物·芬妮-辉耀			1	supplies.pieces030	5	1510013	1530004		1										999
5	4	8	4	提取物·芬妮-澄意			1	supplies.pieces046	5	1510013	1530021		1										999
																							
5	4	2	2	提取物·里芙-狂猎			1	supplies.pieces011	5	1510013	1520011		1										999
5	4	2	3	提取物·里芙-无限之视			1	supplies.pieces031	5	1510013	1530005		1										999
5	4	2	4	提取物·里芙-永恒			1	supplies.pieces053	5	1510013	1530031		1										999
5	4	10	1	提取物·肴			1	supplies.pieces012	4	1510013	1520012		1										999
5	4	11	1	提取物·恩雅			1	supplies.pieces013	4	1510013	1520013		1										999
5	4	11	2	提取物·恩雅-羽蜕			1	supplies.pieces028	5	1510013	1530002		1										999
5	4	11	3	提取物·恩雅-澜风			1	supplies.pieces040	5	1510013	1530014		1										999
5	4	4	2	提取物·芙提雅-缄默			1	supplies.pieces014	5	1510013	1520014		1										999
5	4	4	3	提取物·芙提雅-驰掣			1	supplies.pieces035	5	1510013	1530009		1										999
5	4	10	2	提取物·肴-冬至			1	supplies.pieces015	5	1510013	1520016		1										999
5	4	10	3	提取物·肴-夜天光			1	supplies.pieces039	5	1510013	1530012		1										999
5	4	1	2	提取物·安卡希雅-辉夜			1	supplies.pieces016	5	1510013	1520015		1										999
5	4	1	3	提取物·安卡希雅-时之重奏			1	supplies.pieces050	5	1510013	1530027		1										999
5	4	12	1	提取物·猫汐尔			1	supplies.pieces017	4	1510013	1520017		1										999
5	4	12	2	提取物·猫汐尔-溯影			1	supplies.pieces023	5	1510013	1520041		1										999
																							
5	4	8	2	提取物·芬妮-咎冠			1	supplies.pieces018	5	1510013	1520018		1										999
5	4	13	1	提取物·瑟瑞斯			1	supplies.pieces019	4	1510013	1520019		1										999
5	4	13	2	提取物·瑟瑞斯-瞬刻			1	supplies.pieces029	5	1510013	1530003		1										999
5	4	13	3	提取物·瑟瑞斯-悠游			1	supplies.pieces047	5	1510013	1530022		1										999
5	4	14	1	提取物·辰星			1	supplies.pieces020	4	1510013	1520020		1										999
5	4	14	2	提取物·辰星-云篆			1	supplies.pieces021	5	1510013	1520021		1										999
5	4	14	3	提取物·辰星-琼弦			1	supplies.pieces038	5	1510013	1530013		1										999
5	4	6	2	提取物·晴-藏锋			1	supplies.pieces022	5	1510013	1520031		1										999
5	4	17	1	提取物·苔丝-魔术师			1	supplies.pieces024	5	1510013	1520042		1										999
5	4	17	2	提取物·苔丝-绮幻			1	supplies.pieces044	5	1510013	1530019		1										999
5	4	15	1	提取物·凯茜娅-蓝闪			1	supplies.pieces025	5	1510013	1520045		1										999
5	4	15	2	提取物·凯茜娅-朝翼			1	supplies.pieces033	5	1510013	1530007		1										999
5	4	15	3	提取物·凯茜娅-狂诗			1	supplies.pieces043	5	1510013	1530018		1										999
5	4	16	1	提取物·伊切尔-豹豹			1	supplies.pieces026	5	1510013	1520046		1										999
5	4	18	1	提取物·薇蒂雅-龙舌兰			1	supplies.pieces032	5	1510013	1530006		1										999
5	4	18	2	提取物·薇蒂雅-天鹅座			1	supplies.pieces042	5	1510013	1530017		1										999
5	4	20	1	提取物·卜卜-小天师			1	supplies.pieces037	5	1510013	1530011		1										999
5	4	20	2	提取物·卜卜-灵鉴			1	supplies.pieces049	5	1510013	1530025		1										999
5	4	21	1	提取物·奈莉德-冥河代理人			1	supplies.pieces041	5	1510013	1530015		1										999
5	4	22	1	提取物·克罗瑞娜-绯月			1	supplies.pieces045	5	1510013	1530020		1										999
5	4	23	1	提取物·米娅-星彩			1	supplies.pieces048	5	1510013	1530023		1										999
5	4	24	1	提取物·胧嫣-瑞狐			1	supplies.pieces052	5	1510013	1530029		1										999
																							
5	5	1	1	合成颗粒			3	supplies.weaponbreak001	2	1510014			1						500				999
5	5	1	2	芳烃塑料			3	supplies.weaponbreak002	3	1510015			1						1000				999
5	5	1	3	单极纤维			3	supplies.weaponbreak003	4	1510016			1						5000				999
5	5	1	4	碳原子板			3	supplies.weaponbreak004	5	1510017			1						10000				999
5	20	1	1	低温钢	1		3	supplies.weaponbreak005	2	1510018			1										999
5	20	1	2	磁性钛	1		3	supplies.weaponbreak006	3	1510019			1										999
