道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	等级限制配置ID,与level_limit.txt中配置ID对应	附加参数1	附加参数2	附加参数3	成长属性ID	外观ID	后勤卡默认技能ID(数组）	套装技能对应ID	词缀池{A,B}	单次洗炼消耗	一二词条洗炼消耗	保底洗炼消耗	提供经验值	消耗金币	分解回收配置，对应recycle.txt中得ID列	档案解锁条件	GM投放	掉落途径	可查看时间限制
Genre	Detail	Particular	Level	Comment	Close	LuaType	I18n	Color	InitBreak	Icon	IconBreak	UseMode	CanStack	CanEnhance	LevelLimitID	Param1	Param2	Param3	GrowupID	AppearID	DefaultSkillID	SuitSkillID	AffixPool	AffixCost	InitialAffixCost	FixedAffixCost	ProvideExp	ConsumeGold	RecycleID	StoryUnlock	GMnum	DropWay	limitTime
3	1	1	1	阿尔斯特-科尼		support_card	support.name001	3	1	11100011	11100011			1	1007				10011			10001	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	1	1	阿尔斯特-梅芙		support_card	support.name002	3	1	11100012	11100012			1	1007				10012			10001	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	1	1	阿尔斯特-弗拉梅		support_card	support.name003	3	1	11100013	11100013			1	1007				10013			10001	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	1	2	1	堤丰-613		support_card	support.name004	3	1	11100021	11100021			1	1007				10014			10002	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	2	1	堤丰-多尼尔		support_card	support.name005	3	1	11100022	11100022			1	1007				10015			10002	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	2	1	堤丰-焰心		support_card	support.name006	3	1	11100023	11100023			1	1007				10016			10002	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	1	3	1	御守-桃子		support_card	support.name007	3	1	11100031	11100031			1	1007				10017			10003	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	3	1	御守-香蒲		support_card	support.name008	3	1	11100032	11100032			1	1007				10018			10003	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	3	1	御守-灼		support_card	support.name009	3	1	11100033	11100033			1	1007				10019			10003	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
