字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	基地生活区大厅的显示屏上，正播放着一日新闻。	基地生活區大廳的顯示螢幕上，正播放著一日新聞。	寮のロビーにあるスクリーンに、今日のニュースが流れている。	숙소 생활 구역 로비에 있는 스크린에서 뉴스가 방영되고 있었다.	The screen in the hall was showing the daily news.						0	
2	如果说一成不变的新闻能让人发困，那么我身后的视线则让我如坐针毡般清醒。	如果說一成不變的新聞能讓人打瞌睡，那麼我身後的視線則讓我如坐針氈般清醒。	代わり映えしないニュースは眠気を誘うが、背中に突き刺さる視線のおかげで頭は冴えわたっている。	한결같이 따분한 주제로 졸음이 몰려왔지만, 뒤에서 느껴지는 인기척 때문에 졸음이 순식간에 달아났다.	The constant, monotonous news might have made me sleepy, if it wasn't for the piercing gaze coming from behind me, making me feel like I was sitting on a pin cushion.						0	
b-1											0	
3	琴诺……	琴諾……	チェルノ……	체르노…	Uh, Cherno...						0	
4	琴诺不说话。	琴諾不說話。	チェルノは黙り込んでいる。	체르노는 아무 말도 하지 않았다.	Cherno remained silent.						0	
b-2											0	
5	小琴诺？	小琴諾？	チェルノちゃん？	체르노?	Cherno?						0	
6	……嗯。	……嗯。	……はい。	… 네!	...Yes.						0	
7	分析员，我有，我有一个请求！	分析員，我有，我有一個請求！	分析員さん……その、お願いがあって……	분석가님! 부… 부탁이 있어요!	Adjutant, I, uh... I have a request!						0	
8	还没等我回复，琴诺又立马缩回了沙发后面。仿佛被虫子咬了一样，用力地甩了甩头。	還沒等我回覆，琴諾又立刻縮回了沙發後面。彷彿被蟲咬到一樣，用力地甩了甩頭。	突然時間を早送りしたのかのように、私が返事するよりも素早く、チェルノはソファーの後ろに引っ込んだ。そして大きく首を振った。	내가 대답을 하기도 전에 체르노는 소파 뒤로 몸을 숨겼고, 마치 벌레에 물린 것처럼 고개를 흔들어댔다.	Before I had the chance to respond, Cherno shrank backward behind the sofa. She shook her head vigorously, as though trying to shake off a fly.						0	
9	不答应也可以的！对不起，是因为分析员叫我，我才说的！	不答應也可以的！對不起，是因為分析員叫我，我才說的！	あっあのすみません断ってもいいんです！その、声をかけられてつい口を滑らせてしまって……	거절하셔도 괜찮아요! 그냥… 분석가님이 절 불러서 말한 것뿐이에요!	You don't have to agree to it! I'm sorry! It's only because you told me to that I asked!						0	
10	不是琴诺的意思……	不是琴諾的意思……	言うつもりはなかったんです……	제가 원했던 건 아니었어요…	I wouldn't have asked otherwise...						0	
11	还不等我张口，琴诺已经握着自己的终端，用着我恰好能听到的声音说起来。	還不等我張口，琴諾已經握著自己的終端，用著我恰好能聽到的聲音說了起來。	チェルノは自分の端末をぎゅっと握りしめている。	내가 입을 열기도 전에 체르노는 자신의 단말기를 꽉 쥐고, 나에게 겨우 들릴 수 있을 만한 목소리로 말을 건넸다.	Without waiting for my response, Cherno had already grabbed her terminal and begun mumbling in a voice I could just barely hear.						0	
b-3											0	
12	是莫尔索的电话？	是莫爾索的電話？	ムルソーからの電話か？	모르소 전화야?	Got a call from Meursault?						0	
13	嗯嗯，莫尔索在拜托我帮忙……	嗯嗯，莫爾索在拜託我幫忙……	はい、ムルソーが手伝ってほしいって……	네… 맞아요. 모르소가 도움을 청해서…	Yeah, that's right. Meursault wanted me to help her with something...						0	
b-4											0	
14	帮忙吗？	幫忙嗎？	手伝う？	도움?	Help her?						0	
b-4-2	说吧，有什么事？	說吧，有什麼事？	何を？言ってみて。	무슨 일 있어?	Go on, what's the matter?						0	
16	嗯，这个……我果然还是不该麻烦分析员！	嗯，這個……我果然還是不該麻煩分析員！	えっと、その……うう、やっぱり大丈夫です！分析員さんには迷惑をかけられません！	아… 그게… 이런 걸로 분석가님을 귀찮게 할 순 없어요!	Uh, well... Actually, I don't think I should bother you after all!						0	
17	莫尔索提的问题就让我自己来解决吧！	莫爾索提的問題就讓我自己來解決吧！	ムルソーの問題は、じ、自力で解決します！	모르소 문제는 제가 알아서 해결할게요!	I'll find the answer to Meursault's question myself!						0	
18	然而琴诺只是摇了摇头，拿起她不会亮屏的终端。	然而琴諾只是搖了搖頭，拿起她螢幕不曾亮起過的終端。	と言いつつも、チェルノは首を振って、真っ黒な画面の端末に向かって話し始めた。	체르노는 고개를 흔들며 화면이 꺼진 단말기를 들어 올렸다.	Cherno simply shook her head and picked up her terminal, the screen still off.						0	
19	我正在和分析员讨价还价呀！……不是你想的那个意思。	我正在和分析員討價還價呀！ ……不是你想的那樣。	今、分析員さんと交渉してる……そうじゃない！違うよムルソー……	지금 분석가랑 협상 중이잖아! 네가 생각했던 그런 게 아니야.	I'm currently trying to settle the terms with the Adjutant! ...No, it's not what you're thinking.						0	
20	明明是莫尔索你拜托我的，也得，也得拿出拜托人的样子来……吧？	明明是莫爾索你拜託我的，也得，也得拿出拜託人的誠意來……吧？	ムルソーはお願いする立場でしょ、なのに、その、それなりの態度じゃなきゃ……ね？	그리고 나한테 부탁하는 거면, 부탁하는 척이라도 해야 하는 거 아니야…?	Meursault, you were the one who asked me! You should at least act like I'm doing you a favor... right?						0	
21	尽管琴诺缩着肩膀，语气却十分强硬。这是我第一次遇到琴诺对莫尔索表示出不满的情况。	儘管琴諾縮著肩膀，語氣卻十分強硬。這是我第一次看到琴諾對莫爾索表示出不滿的情況。	チェルノは肩をすくめているものの、口調がかなり強い。チェルノがムルソーに対し不満を示すところは初めて見た。	체르노는 어깨를 잔뜩 웅크렸지만 단호하게 말을 이어갔다. 그녀가 모르소에게 불만을 표출한 건 이번이 처음이었다.	Her tone was quite strong, in contrast with the way she had hung her head. It was my first time seeing her upset with Meursault.						0	
b-5											0	
22	别和莫尔索生气，我没有说不同意。	別和莫爾索鬥氣，我沒有不答應。	ムルソーと喧嘩しないで。断るとは言っていないよ。	다툴 필요 없어. 안된다고 한 적도 없는걸.	Don't get angry at Meursault. I never said I wouldn't agree.						0	
23	然而琴诺依旧自顾自地说着。	然而琴諾依舊自顧自地說著。	しかしチェルノは私を無視して話し続けている。	하지만 체르노는 계속해서 혼잣말을 이어갔다.	Then, as usual, Cherno began muttering away to herself.						0	
24	就算你要骂我也行，不可以老是麻烦分析员，他也有自己的事情要忙。	就算你要罵我也可以，不可以老是麻煩分析員，他也有自己的事情要忙。	私に怒るのは構いません。でも分析員さんはお仕事があるから、毎回手間をかけるわけにはいきません。	나한테는 욕해도 돼. 그렇지만 계속해서 분석가님을 귀찮게 해서는 안 돼. 분석가님은 굉장히 바쁜 사람이니까.	I don't mind if you scold me. I can't just keep bothering the Adjutant all the time, he has his own work to handle.						0	
25	你说分析员不会？你知道他不会帮忙？你说什么呢……分析员明明——	你說分析員不會？你知道他不會幫忙？你說什麼呢……分析員明明——	手伝ってくれない？分析員さんが？何を言って……分析員さんはそんな――	분석가님이 거절할 게 뻔하다고? 도움을 안 줄 거라고? 무슨 소리야… 분석가님이 분명히…	You said the Adjutant won't? How do you know he won't help? What are you on about... He just said tha—						0	
26	琴诺抬起头来望着我，像一只等待喂食的宠物狗。	琴諾抬起頭來望著我，像一隻等待餵食的寵物狗狗。	チェルノは上目遣いで私に振り向いた。それは、ご飯を待っている子犬のような目だ。	순간 체르노는 고개를 들고 간식을 기다리는 반려견처럼 날 쳐다봤다.	Cherno raised her head and gazed at me, like a little puppy waiting to be fed.						0	
27	原来在这里等着我啊，琴诺那无意识的绑架式求助。	原來是在等著我回應啊，琴諾那無意識的綁架式求助。	チェルノの無意識おねだりだ、これを断れる人間はいない。	그렇다. 사실은 체르노도 내심 내가 동의하는 것만을 기다려왔던 것이다. 그렇게 체르노는 반강제적으로 나의 의사를 구했다.	So she was waiting for me... Cherno really has a knack for dragging people in to help her without realizing it.						0	
b-6											0	
28	我当然什么都会答应你和莫尔索了。	只要是你和莫爾索的請求，我當然都會答應啊。	チェルノとムルソーのお願いならなんでも聞くよ。	당연히 체르노랑 모르소가 부탁하는 거라면 들어줘야지.	I'll agree to anything for you and Meursault, don't worry.						0	
29	真，真的吗？太好了，分析员真好。	真，真的嗎？太好了，分析員真好。	！！ほ、本当ですか！？よかった、です……優しいですね、分析員さん。	정말요? 역시나! 분석가님은 정말 좋은 분이세요!	R—Really? That's great, you're so nice, Adjutant.						0	
30	什么？你先说说看是什么事。	什麼？你先說說看是什麼事。	と、とりあえず内容を聞かせてくれ。	그럼 일단 무슨 일인지부터 말해줄 수 있을까?	So what's up? Tell me what's going on first.						0	
31	嗯嗯，我就知道分析员一定不会拒绝我。	嗯嗯，我就知道分析員一定不會拒絕我。	はい、分析員さんならきっと聞いてくれると思っていました……	물론이죠! 분석가님이라면 제가 부탁하는 걸 거절하지 않으실 줄 알았어요.	Yeah, of course. I—I knew you'd never turn me down, Adjutant.						0	
b-7											0	
32	莫尔索只说在这里掉了东西吗？	莫爾索只有說在這裡掉了東西是嗎？	……ここで物を落としたってこと以外、ムルソーは何も言わなかったのか？	모르소가 이곳에서 물건을 잃어버렸다고만 했다고?	Did Meursault say she'd dropped something around here?						0	
33	嗯……其他的她不肯说。对不起对不起！要是我再劝劝她，她应该会说的……都怪我没什么用。	嗯……其他的她不肯說。對不起對不起！要是我再勸勸她，她應該會說的……都怪我太沒用。	はい……詳しいことは教えてくれなくて。ごめんなさい！私がもっと粘れば話してくれたかもしれないのに……私が不甲斐ないばかりに。	맞아요… 다른 내용은 알려주지 않았어요. 정말 죄송해요! 조금만 더 부탁하면 말해줄 것 같은데… 전부 제 잘못이에요.	Uh... actually, she refused to tell me. I'm sorry... I'm so sorry! If I keep asking her, she should eventually say... It's all my fault for being so useless.						0	
b-8											0	
34	我不是怪琴诺的意思哦……	我不是怪琴諾的意思哦……	別にチェルノを責めてるわけじゃないさ……	체르노를 탓하려는 게 아니야…	I didn't mean to blame you, Cherno... okay?						0	
35	我是在怀疑琴诺……因为莫尔索出现的时候，琴诺已经离开天楼了。	我是在懷疑琴諾……因為莫爾索出現的時候，琴諾已經離開天樓了。	責めているのではなく、疑っているのだ……なぜならムルソーが現れた時、チェルノは既にスカイタワーにいなかったはずだ。	체르노를 의심할 수밖에 없었다… 모르소가 나타났을 때, 체르노는 이미 스카이 타워에 없었기 때문이다.	I was suspicious of Cherno... Because she'd already left the Towers when Meursault appeared.						0	
