字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	从出生到死亡，世界树公司竭诚为您服务。	從出生到死亡，世界樹公司竭誠為您服務。	ゆりかごから墓場まで、ユグドラシル社が貴方に真心をお届け致します。	태어나서 죽을 때까지 위그드라실에서 당신을 성심성의껏 모시겠습니다.	From birth to death, Yggdrasil is here to happily serve you.						0	
2	关闭雷吉乌斯辅助，它可能会受到“埃达”影响。	關閉雷吉烏斯輔助，它可能會受到“埃達”影響。	「エッダ」の影響を受ける可能性があるから、レイギウスアシストをオフにしよう。	레지오스 보조를 차단하세요. '에다'의 영향을 받을 수 있어요.	Turn off Regius support. Edda might be affecting it.						0	
3	切换为手动操作模式，机械臂助力设为10。	切換為手動操作模式，機械臂助力設為10。	手動モードに切り替えて、アームアシストを10に設定しよう。	수동 조작 모드로 전환하고, 로봇팔 도움 수준을 10으로 설정하세요.	Switch to manual operation. Set the mechanical arm power assist to 10.						0	
4	我又一次躺在医疗舱内，失去意识……	我又一次躺在醫療艙內，失去意識……	またしても医療カプセルに入れられた私は意識を失った……	난 다시 의료 캡슐에 누워 의식을 잃는다…	I was lying in the medical pod once again, unconscious...						0	
5	战后的废墟。	戰後的廢墟。	戦後の廃墟。	전쟁이 휩쓸고 간 폐허.	The destruction of war.						0	
6	空旷无人，大雨滂沱。	空曠無人，大雨滂沱。	誰もいない広い空間に、凄まじい豪雨が降っている。	드넓은 공간에 사람의 모습은 찾을 수 없었고 폭우가 쏟아졌다.	The rain continued to pour down on the desolate land.						0	
7	霓虹灯管从高处垂落，线缆裸露在外。全息广告牌在雨水中短路，不停迸射出火花。	霓虹燈管從高處垂落，線纜裸露在外。全息廣告牌在雨水中短路，不停迸射出火花。	ネオンチューブが高いところから垂れ下がり、ケーブルがむき出しになっている。雨の中でショートしたホログラム看板は、パチパチと火花を放っている。	네온사인이 높은 곳에서 떨어지고, 전선이 튀어나와 있었다. 홀로그램 광고판은 빗물에 합선되어 스파크를 튀긴다.	Neon tubes hung down from up high, their cables exposed. A holographic billboard short circuited amidst the rainfall, endlessly spitting out sparks.						0	
8	唯一鲜活而正常的，只有始终不停的雨声。	唯一鮮活而正常的，只有始終不停的雨聲。	生き生きとしていて普通なのは、止まない雨の音だけだった。	유일하게 생기가 돌고 정상적인 것은 끊임없이 들려오는 빗소리뿐이다.	The sound of rain persisted as the only sign of life and normalcy.						0	
9	或许还有一座老式的电话亭，它仍旧完好，孤单地伫立在荒弃之城。	或許還有一座老式的電話亭，它仍舊完好，孤單地佇立在荒棄之城。	古い電話ボックスもしっかりと残っていて、荒れ果てた町にぽつんと佇んでいる。	그리고 오래된 전화 부스 하나가 외롭게 폐허가 된 도시 속에 우뚝 서 있었다.	There was the semblance of an old telephone booth as well, standing alone in the deserted city.						0	
