字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	下午5点30分，我到约定地点的时候，猫汐尔已经静静地站在那里了。	下午5點30分，我到約定地點的時候，貓汐爾已經靜靜地站在那裡了。	午後5時30分、約束の場所に着いた時、マーシルは既に静かにそこに立っていた。	오후 5시 30분, 약속 장소에 도착했을 때, 시에라는 인기척이 없이 해당 장소에 서 있었다.	I got to the meeting point that Mauxir and I had agreed on at 5:30 on the dot. She was already waiting for me.						0	
2	意料之中的守时呢。	意料之中的守時呢。	思った通り、時間厳守だ。	예상대로 시간을 준수했다고 생각했는데…	Very punctual. Not that I would have expected anything else.						0	
3	你晚到了36秒72。	你晚到了36秒72。	36秒72遅い。	당신은 36.72초나 늦었다.	Arrival time is 36.72 seconds later than we had agreed.						0	
4	猫汐尔上下打量了我一下，似乎想通了什么似的凝视着我。	貓汐爾上下打量了我一下，似乎想通了什麼似的凝視著我。	マーシルは上から下まで私をジロジロと見た。何か納得したように私を見つめている。	시에라는 위아래로 날 훑어보며 순간 무슨 생각이 들었는지 나를 뚫어져라 쳐다봤다.	Mauxir looked me up and down, then gave me a look that said she had come to some kind of realization about me.						0	
5	是因为腿短吗？	是因為腿短嗎？	足が短いせい？	혹시 다리가 짧아서 그런 건가?	Were you late on account of your having unusually short legs?						0	
b-1											0	
6	……我腿才不短！	……我腿才不短！	……短くないし！	… 허… 참! 나 다리 짧지 않거든!!!	... I do not have unusually short legs...						0	
7	哦。	哦。	そう。	그런가.	Oh.						0	
8	总之，我们的行程时长被压缩，你的时速需要相应提升。	總之，我們的行程時間被壓縮，你的時速需要相應提升。	とにかく、時間をロスした分、あなたには急いでもらわないと。	결론적으로 우리의 시간이 줄었다는 것이다. 따라서 평상시보다 진행 속도를 높일 필요가 있다.	If you say so. We have less than we had agreed we would need, you will need to adjust your pace.						0	
9	那么，出发。	那麼，出發。	では、出発。	그럼 출발하겠다.	Let's go.						0	
b-2											0	
10	我一定比你先到！	我一定比你先到！	絶対先にゴールする！	그래. 어디 한번 해보자!	Go on then, I'll race you there!						0	
11	暗自较着劲儿，我这次比猫汐尔早到了足足一分钟。	有暗自較勁的心理作祟，我的的確確比貓汐爾早到了足足一分鐘。	意地になり、私はマーシルより1分早く着いた。	시에라가 한 말에 나도 모르게 비교 심보가 생겨 그녀보다 1분이나 일찍 도착했다.	I set off at a sprint, probably hoping to show her I could run a lot faster than she could. I did get to the expo site before she did.						0	
12	如释重负地松了口气之后，我转身微笑着看着猫汐尔落地。她察觉到我的目光，歪着头看着我。	如釋重負地鬆了口氣之後，我轉身微笑著看著貓汐爾落地。她察覺到我的目光，歪著頭看著我。	ほっとした私は、振り返ってマーシルが着陸するのを笑って見た。彼女は私の視線に気づいて、首を傾げて私を見ている。	그리고 안도의 한숨을 내쉬며 돌아서서 시에라를 바라보며 웃었다. 그녀는 고개를 갸웃거리며 나를 쳐다봤는데.	Panting yet relieved, I found myself grinning as she approached. When she saw the look on my face, I got a head tilt as a response.						0	
13	有事？	有事？	何か用？	무슨 문제라도 있는가?	Need something?						0	
b-3											0	
