字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	和少女紧紧相拥，一起空降的感觉怎么样？	和少女緊緊相擁，一起空降的感覺怎麼樣？	少女をギュッと抱きしめ、一緒に飛び降りた気分はどうです？	소녀들을 껴안은 채 하늘에서 같이 뛰어내린 소감이 어떠셨어요?	How does it feel to parachute with a girl hugged tightly in your arms?						0	
b-1											0	
2	卡罗琳，我们已经成功进入天楼区域，并肃清周围敌军。	卡羅琳，我們已經成功進入天樓區域，並肅清周圍敵軍。	カロリン、私たちはスカイタワーエリアに侵入し、周りの敵を排除した。	캐롤린, 스카이 타워에 진입했어. 주변에 타깃들도 모두 제거했고.	Caroline, we've successfully entered the Towers and eliminated all surrounding enemies.						0	
3	面不改色，厉害。	面不改色，厲害。	顔色ひとつ変えないとは、すごいですね。	안색 하나 안 변하시고, 정말 대단하시네요.	So calm and collected. Impressive.						0	
4	行了，接下来找到晴前辈，我就不用操心了。	好了，接下來找到晴前輩，我就不用擔心了。	まあいいです、この後は晴先輩を探すだけ、もう心配いりませんね。	하루 선배만 찾으면 더 이상 제가 신경 쓸 필요는 없겠어요.	Alright, look for Captain Haru next. Then I can relax.						0	
b-2											0	
5	晴前辈？	晴前輩？	晴先輩？	하루 선배?	Captain Haru?						0	
6	哦……不小心跟着她们叫顺口了。	哦……不小心跟著她們叫順口了。	ああ……彼女たちにつられてつい。	아… 저도 모르게 팀원들이 부르는 대로 똑같이 말하다 보니 입에 붙어버렸어요.	Ah... I mentioned her so casually.						0	
7	晴以前应该在安全部实习过吧？也算你的老部下了。	晴以前應該在安全部實習過吧？也算你的老部下了。	晴は昔安全部でインターンに参加したことがあって、分析員とは付き合いの長い部下とも言えるでしょう。	하루도 안전부에서 실습을 한 적이 있지 않나요? 어떻게 보면 분석가님의 과거 동료로 볼 수 있어요.	Haru was an intern in the Security Department, right? She worked under you before.						0	
b-3											0	
8	她当时的表现很出色。	她當時的表現很出色。	あの時の働きぶりは素晴らしかったよ。	그땐 정말 엄청난 실력을 뽐냈었죠.	Yeah, she was fantastic.						0	
9	我记得，那时候她就有“前辈”这个外号了吧。	我記得，那時候她就有“前輩”這個外號了吧。	確か、あの時から既に「先輩」って呼ばれてましたよね。	아마 그때부터 '선배'라는 별명이 있었던 걸로 기억해요.	I remember that even back then, people had started calling her "Captain."						0	
b-4											0	
10	嘘，有人来了，保持静默。	噓，有人來了，保持靜默。	しっ、誰かが来た、静かに。	쉿, 누군가 온 것 같아. 조용히 해봐.	Shh, someone's coming. Keep quiet.						0	
11	一个天楼居民忽然从前方的岔路中拐出，正好跟我们面对面撞上。	一個天樓居民忽然從前方的岔路中拐出，正好跟我們面對面撞上。	一人のスカイタワーの住民が突然前方の路地から出てきて、私たちにぶつかった。	갈림길에서 갑자기 스카이 타워의 주민이 튀어나오며 우리와 마주쳤다.	A Towers resident suddenly turned the corner up ahead, rushing up to us.						0	
12	你！你们！	你！你們！	お前！お前たち！	당! 당신들은!	You! You guys!						0	
b-5											0	
13	嘘，别紧张，我们是来发放物资的。	噓，別緊張，我們是來發放物資的。	しー、落ち着いて、私たちは物資を配りにきました。	쉿… 긴장하실 필요 없어요. 물자 지급을 하러 온 거니.	Shh, stay calm. We're here to distribute supplies.						0	
b-6											0	
14	来，拿好这个。	來，拿好這個。	はい、これをどうぞ。	자, 이거 받으세요.	Here, take this.						0	
15	此前在我的示意下，队员都将武器收了起来。我拿出早就准备好的食物包递了过去。	此前在我的示意下，隊員都將武器收了起來。我拿出早就準備好的食物包遞了過去。	私の合図で、隊員たちは武器を収めた。私は事前に用意した食べ物を渡した。	내 지시에 따라 헤임달 팀원들은 무기를 전부 거뒀고, 난 미리 준비했던 음식 가방을 건네주었다.	Under my command, the member put away his weapons. I passed him the food parcel I'd prepared earlier.						0	
16	在正式实行抓捕行动前，我不希望抓捕对象过早警觉。	在正式實行抓捕行動前，我不希望抓捕對象過早警覺。	本格的な捕獲作戦の前に、相手に警戒されたくない。	정식적으로 사르트르 포획 작전을 시작하기 전에, 우리가 온 목적에 대해서 낌새를 못 차리도록 하기 위함이었다.	I was here to make an arrest, but I didn't want to alert the target too soon.						0	
17	海姆达尔部队？	海姆達爾部隊？	ヘイムダル部隊の人間か？	헤임달 부대?	Are you Heimdall Force?						0	
18	你们是来找鸣濑晴的？	你們是來找鳴瀨晴的？	お前たちは鳴瀬晴を探しに来たのか？	설마 나루세 하루를 찾으러 온 건가요?	Are you here for Naruse Haru?						0	
19	你是什么人！	你是什麼人！	お前、何者だ！	잠깐, 넌 정체가 뭐지!?	Who are you!?						0	
20	别紧张……别紧张……	別緊張……別緊張……	そう慌てるな、落ち着いてくれ……	긴장하지 말고… 긴장 풀어요…	Calm down... Take it easy...						0	
21	我是鸣濑晴的线人，石竹。	我是鳴瀨晴的線人，石竹。	鳴瀬晴に協力する情報提供者、カーネーションだ。	전 나루세 하루의 정보원, 석죽이라고 해요.	I'm Dianthus, Naruse Haru's informant.						0	
