商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
Id	GoodsId	IsBpSkin	PreId	GoodsTag	IosId	AndroidId	PcId	comments	Type	Item	DIYItem	LimitType	LimitTimes	Cost	Cost2	ShowCostId	ItemName	ItemPicture	PreviewPicture	ListIcon	Condition	OffRate	OffStartTime	OffEndTime	StartTime	EndTime	ShowStartTime	ShowEndTime	Addiction	tbParam	Index	BindId	BindList	GachaTryActId	Version
	1				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{1,1}					
	2				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{1,2}					
	3				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{1,3}					
	4				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{2,1}					
	5				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{2,2}					
	6				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{2,3}					
	7				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{3,1}					
	8				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{3,2}					
	9				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{3,3}					
	10				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{4,1}					
	11				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{4,2}					
	12				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{4,3}					
	13				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{5,1}					
	14				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{5,2}					
	15				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{5,3}					
	16				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{6,1}					
	17				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{6,2}					
	18				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{6,3}					
	19				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{7,1}					
	20				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{7,2}					
	21				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{7,3}					
	22				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{8,1}					
	23				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{8,2}					
	24				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{8,3}					
	25				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{9,1}					
	26				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{9,2}					
	27				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{9,3}					
	28				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{10,1}					
	29				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{10,2}					
	30				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{10,3}					
	31				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{11,1}					
	32				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{11,2}					
	33				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{11,3}					
	34				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC23高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{12,1}					
	35				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC23凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{12,2}					
	36				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC23特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{12,3}					
	37				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC24高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{13,1}					
	38				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC24凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{13,2}					
	39				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC24特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{13,3}					
	40				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC25高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{14,1}					
	41				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC25凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{14,2}					
	42				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC25特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{14,3}					
	43				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC26高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{15,1}					
	44				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC26凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{15,2}					
	45				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC26特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{15,3}					
	46				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC27高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{16,1}					
	47				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC27凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{16,2}					
	48				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC27特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{16,3}					
	49				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC28高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{17,1}					
	50				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC28凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{17,2}					
	51				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC28特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{17,3}					
	52				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC30高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{18,1}					
	53				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC30凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{18,2}					
	54				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC30特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{18,3}					
