Id	China (CNY)	United States (USD)	Taiwan (TWD)	Hong Kong(HKD)	Eurozone(EUR)	UK(GBP)	Korea(KRW)	Japan(JPY)	Thailand(THB)	Indonesia(IDR)	Brazil(BRL)
Tier 1	6	0.99	30	8	0.99	0.89	1200	120	29	16000	4.9
Tier 2	12	1.99	70	15	2.29	1.59	2150	240	64.39	35000	10.9
Tier 3	18	2.99	100	23	3.49	2.39	3230	360	96.79	49000	16.9
Tier 4	25	3.99	130	31	4.59	3.19	4310	480	129.19	65000	22.9
Tier 5	30	4.99	170	38	4.99	4.29	5900	610	199	79000	27.9
Tier 6	40	5.99	190	46	6.89	4.79	6470	710	193.89	99000	34.9
Tier 7	45	6.99	230	54	8.09	5.59	7540	830	226.29	109000	39.9
Tier 8	50	7.99	270	62	9.19	6.39	8620	950	258.69	129000	44.9
Tier 9	60	8.99	290	70	10.39	7.19	9700	1070	291.09	149000	49.9
Tier 10	68	9.99	330	77	11.49	7.99	10780	1190	323.39	159000	54.9
Tier 11	73	10.99	370	85	12.69	8.79	11860	1310	355.79	179000	59.9
Tier 12	78	11.99	390	93	13.89	9.59	12940	1430	388.19	199000	69.9
Tier 13	88	12.99	430	101	14.99	10.39	14020	1550	420.59	209000	74.9
Tier 14	93	13.99	470	108	16.19	11.19	15100	1670	452.99	229000	79.9
Tier 15	98	14.99	490	118	14.99	12.49	19000	1840	499	249000	84.9
Tier 16	108	15.99	530	124	18.49	12.89	17260	1900	517.69	259000	89.9
Tier 17	113	16.99	570	132	19.59	13.69	18340	2020	550.09	279000	94.9
Tier 18	118	17.99	590	139	20.79	14.49	19420	2140	582.49	299000	99.9
Tier 19	123	18.99	630	147	21.89	15.29	20500	2260	614.79	309000	104.9
Tier 20	128	19.99	670	155	23.09	16.09	21580	2380	647.19	329000	109.9
Tier 21	138	20.99	690	163	24.29	16.89	22660	2500	679.59	349000	119.9
Tier 22	148	21.99	730	170	25.39	17.69	23730	2620	711.99	359000	124.9
Tier 23	153	22.99	770	178	26.59	18.49	24810	2740	744.29	369000	129.9
Tier 24	158	23.99	790	186	27.69	19.29	25890	2860	776.69	379000	134.9
Tier 25	163	24.99	830	194	28.89	20.09	26970	2980	809.09	399000	139.9
Tier 26	168	25.99	870	201	29.99	20.89	28050	3090	841.49	429000	144.9
