国家和地区	缩写	对应语言版本	对应货币缩写	对应货币符号
Desc	Abbr	Language	Currency	Symbol
中国	CN	zh_CN	CNY	USD
不丹	BT	en_US	USD	USD
东帝汶	TL	en_US	USD	USD
乌兹别克斯坦	UZ	en_US	USD	USD
也门	YE	en_US	USD	USD
亚美尼亚	AM	en_US	USD	USD
以色列	IL	en_US	USD	USD
伊拉克	IQ	en_US	USD	USD
伊朗	IR	en_US	USD	USD
卡塔尔	QA	en_US	USD	USD
印度	IN	en_US	USD	USD
土耳其	TR	en_US	USD	USD
丹麦	DK	en_US	EUR	EUR
捷克	CZ	en_US	EUR	EUR
瑞士	CH	en_US	USD	USD
加拿大	CA	en_US	USD	USD
阿根廷	AR	en_US	USD	USD
罗马尼亚	RO	en_US	EUR	EUR
美国	US	en_US	USD	USD
哈萨克斯坦	KZ	en_US	USD	USD
哥斯达黎加	CR	en_US	USD	USD
德国	DE	en_US	EUR	EUR
阿尔及利亚	DZ	en_US	USD	USD
印度尼西亚	ID	en_US	IDR	IDR
赞比亚	ZM	en_US	USD	USD
乌干达	UG	en_US	USD	USD
圣多美和普林西比	ST	en_US	USD	USD
苏丹	SD	en_US	USD	USD
塞舌尔	SC	en_US	USD	USD
马拉维	MW	en_US	USD	USD
利比里亚	LR	en_US	USD	USD
佛得角	CV	en_US	USD	USD
博茨瓦纳	BW	en_US	USD	USD
布基纳法索	BF	en_US	USD	USD
安哥拉	AO	en_US	USD	USD
斯洛文尼亚	SI	en_US	USD	USD
挪威	NO	en_US	USD	USD
叙利亚	SY	en_US	USD	USD
吉尔吉斯斯坦	KG	en_US	USD	USD
北马其顿	MK	en_US	USD	USD
黑山	ME	en_US	USD	USD
拉脱维亚	LV	en_US	EUR	EUR
土库曼斯坦	TM	en_US	USD	USD
圣诞岛	CX	en_US	USD	USD
塔吉克斯坦	TJ	en_US	USD	USD
孟加拉	BD	en_US	USD	USD
尼泊尔	NP	en_US	USD	USD
卢森堡	LU	en_US	EUR	EUR
巴勒斯坦	PS	en_US	USD	USD
巴基斯坦	PK	en_US	USD	USD
巴林	BH	en_US	USD	USD
文莱	BN	en_US	USD	USD
