标签Id	组别	商店组名字	商店组Icon	商店名字	排序	备注	显示模板1推荐页2比特金3月卡4礼包5皮肤6兑换数据金	背景	标签	页面标题	说明文本	3合1礼包橱窗图文本颜色配置（配置颜色代码，顺序为{礼包名,倒计时,购买按钮}	美宣图	跳转界面	跳转参数({类型1商店2商品,id})	开始时间	结束时间	区服id	说明
Id	GroupId	GroupName	GroupIcon	Name	Index	Common	WidgetType	BG	Label	Title	Info	Colors	Pic	GotoUI	tbParam	StartTime	EndTime	AId	Null
1	1	shop.mall.GroupName1	1701162	supplies.giftbox20	3	天启者精英聘任包	1	1602138	ui.TxtMallTxtBanner1					Mall	{2,305}	[202208070400]	[202308070400]		
2	1	shop.mall.GroupName1	1701162	supplies.giftbox8	1	推荐超值聘任包	1	1602139	ui.TxtMallTxtBanner1		supplies.giftbox8_des		1510064	Mall	{2,302}	[202208070400]	[202308070400]		
																			
13	1	shop.mall.GroupName1	1701162	supplies.giftbox27	4	灰岩资金包	1	1602177	ui.TxtMallTxtBanner1					Mall	{2,321}	[202309211000]	[202311020400]		
16	1	shop.mall.GroupName1	1701162	supplies.giftbox26	3	钨息·天启者聘任包	1	1602178	ui.TxtMallTxtBanner1					Mall	{2,320}	[202309211000]	[202311020400]		
14	1	shop.mall.GroupName1	1701162	cardskin.skin06202	1	藏锋皮肤凛冽冬花橱窗图	1	1602157	ui.TxtMallTxtBanner1					Mall	{2,603}	[202309211000]	[202310190400]		
15	1	shop.mall.GroupName1	1701162	cardskin.skin04202	2	缄默皮肤行疾脱兔橱窗图	1	1602166	ui.TxtMallTxtBanner1					Mall	{2,604}	[202310121000]	[202311020400]		
																			
17	1	shop.mall.GroupName1	1701162	supplies.giftbox31	4	溢晴·天启者聘任包	1	1602220	ui.TxtMallTxtBanner1					Mall	{2,325}	[202311021000]	[202312140400]		
18	1	shop.mall.GroupName1	1701162	supplies.giftbox33	3	沉鎏·资金包	1	1602219	ui.TxtMallTxtBanner1					Mall	{2,328}	[202311021000]	[202312140400]		
19	1	shop.mall.GroupName1	1701162	supplies.giftbox34	5	漪云·顶级物资包	1	1602221	ui.TxtMallTxtBanner1					Mall	{2,326}	[202311021000]	[202312140400]		
20	1	shop.mall.GroupName1	1701162	cardskin.skin14203	2	云纂DLC3皮	1	1602194	ui.TxtMallTxtBanner1					Mall	{2,606}	[202311021000]	[202312140400]		
