碎片Id	旋转Id	起始点相对锚点偏移	碎片形状(以左下角为起始点，从下到上描述每行的信息	是否是特殊碎片	特殊碎片奖励	是否可回收	是否能通过采集得到	采集产出权重	碎片图片对应	默认发放数量	参与赠送祈愿的随机获取池子	参与赠送祈愿的随机获取池子权重
ClipId	RoaId	StartOffset	ClipInfo	IsSp	SpReward	CanGC	CanGetByDrop	DropWeight	IconId	DefaultNum	CanGetFromSendWish	SendWishDropWeight
1	1	{0,0}	{{1,1},{1,1}}	0		1	1	10	2500001	4	1	1
1	2	{0,-1}	{{1,1},{1,1}}	0		1	1	10	2500001		1	1
1	3	{-1,-1}	{{1,1},{1,1}}	0		1	1	10	2500001		1	1
1	4	{-1,0}	{{1,1},{1,1}}	0		1	1	10	2500001		1	1
2	1	{0,0}	{{1},{1},{1},{1}}	0		1	1	10	2500002	1	1	1
2	2	{0,0}	{{1,1,1,1}}	0		1	1	10	2500002		1	1
2	3	{0,-3}	{{1},{1},{1},{1}}	0		1	1	10	2500002		1	1
2	4	{-3,0}	{{1,1,1,1}}	0		1	1	10	2500002		1	1
3	1	{0,0}	{{0,1,1},{1,1,0}}	0		1	1	10	2500003	1	1	1
3	2	{0,-2}	{{1,0},{1,1},{0,1}}	0		1	1	10	2500003		1	1
3	3	{-2,-1}	{{0,1,1},{1,1,0}}	0		1	1	10	2500003		1	1
3	4	{-1,0}	{{1,0},{1,1},{0,1}}	0		1	1	10	2500003		1	1
4	1	{0,0}	{{1,1,0},{0,1,1}}	0		1	1	10	2500004	1	1	1
4	2	{0,-2}	{{0,1},{1,1},{1,0}}	0		1	1	10	2500004		1	1
4	3	{-2,-1}	{{1,1,0},{0,1,1}}	0		1	1	10	2500004		1	1
4	4	{-1,0}	{{0,1},{1,1},{1,0}}	0		1	1	10	2500004		1	1
5	1	{0,0}	{{1,1},{0,1},{0,1}}	0		1	1	10	2500005	1	1	1
5	2	{0,-1}	{{1,1,1},{1,0,0}}	0		1	1	10	2500005		1	1
5	3	{-1,-2}	{{1,0},{1,0},{1,1}}	0		1	1	10	2500005		1	1
5	4	{-2,0}	{{0,0,1},{1,1,1}}	0		1	1	10	2500005		1	1
6	1	{0,0}	{{1,1},{1,0},{1,0}}	0		1	1	10	2500006	1	1	1
6	2	{0,-1}	{{1,0,0},{1,1,1}}	0		1	1	10	2500006		1	1
6	3	{-1,-2}	{{0,1},{0,1},{1,1}}	0		1	1	10	2500006		1	1
6	4	{-2,0}	{{1,1,1},{0,0,1}}	0		1	1	10	2500006		1	1
7	1	{0,0}	{{0,1,0},{1,1,1}}	0		1	1	10	2500007	1	1	1
7	2	{0,-2}	{{0,1},{1,1},{0,1}}	0		1	1	10	2500007		1	1
7	3	{-2,-1}	{{1,1,1},{0,1,0}}	0		1	1	10	2500007		1	1
7	4	{-1,0}	{{1,0},{1,1},{1,0}}	0		1	1	10	2500007		1	1
8	1	{0,0}	{{0,1,0},{1,1,1},{0,1,0}}	1	{{4,1,6,5,10}}	1	1	1	2500008	1		
8	2	{0,-2}	{{0,1,0},{1,1,1},{0,1,0}}	1	{{4,1,6,5,10}}	1	1	1	2500008			
8	3	{-2,-2}	{{0,1,0},{1,1,1},{0,1,0}}	1	{{4,1,6,5,10}}	1	1	1	2500008			
8	4	{-2,0}	{{0,1,0},{1,1,1},{0,1,0}}	1	{{4,1,6,5,10}}	1	1	1	2500008			
9	1	{0,0}	{{1}}	0		0	0		2500009	1	1	1
9	2	{0,0}	{{1}}	0		0	0		2500009		1	1
9	3	{0,0}	{{1}}	0		0	0		2500009		1	1
9	4	{0,0}	{{1}}	0		0	0		2500009		1	1
10	1	{0,0}	{{1},{1}}	0		0	0		2500010		1	1
10	2	{0,0}	{{1,1}}	0		0	0		2500010		1	1
10	3	{0,-1}	{{1},{1}}	0		0	0		2500010		1	1
10	4	{-1,0}	{{1,1}}	0		0	0		2500010		1	1
11	1	{0,0}	{{1,1},{1,0}}	0		0	0		2500011		1	1
11	2	{0,-1}	{{1,0},{1,1}}	0		0	0		2500011		1	1
11	3	{-1,-1}	{{0,1},{1,1}}	0		0	0		2500011		1	1
11	4	{-1,0}	{{1,1},{0,1}}	0		0	0		2500011		1	1
