ID（1至6500之间）	备注	关卡ID（对应Level.txt中的ID）	索引到具体BOSS	索引到具体BOSS2	难度对应等级{难度,等级,倍率,基础分,时间分（1秒）}	词条库ID	对应scene_data.txt中的ID	对应scene_data.txt中的ID
ID	Comment	LevelID	BossID	BossID2	BossLevel	BossEntries	DataId	DataId2
1	凯西娅	515	6001505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,12,20,27,30,118}	14	
2	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,11,20,28,31,114}	10	
3	荒猎（107）-高热抗性	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,16,27,31,107}	5	
4	海拉-动能抗性	503	6003201		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,8,16,26,30,104}	3	
5	威尔-电击抗性	514	600150101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,15,27,30,117}	13	
6	波伏娃13-特异抗性	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,19,27,29,106}	4	
7	加文-高热抗性	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,11,18,26,28,111}	7	
8	“野牛”约瑟夫（102）-电击抗性	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,13,25,27,102}	2	
9	二型验证机甲-低温抗性	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,14,25,29,101}	1	
10	刻耳柏洛斯-低温抗性	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,19,26,31,113}	9	
11	萨特（109）-特异抗性	506	6002103		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,14,26,30,109}	6	
12	海拉·怒棘-动能抗性	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,17,28,31,112}	8	
13	透墨索斯-电抗-120	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,13,22,120}	15	
14	祟·焚风-特抗-115	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,14,22,115}	11	
15	刻耳柏洛斯-火抗-113	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,13,22,113}	9	
16	加文-动能抗性-111	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,19,22,111}	7	
17	“野牛”约瑟夫-冰抗-103	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,19,21,103}	2	
18	荒猎-火抗-108	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,17,21,108}	5	
19	海拉·怒棘-112-冰抗	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,7,15,21,112}	8	
20	海拉-105-电抗	503	6003201		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,13,21,105}	3	
21	透墨索斯2-121-特抗	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,18,23,121}	15	
22	冰祟-116-物抗	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,20,23,116}	12	
