ID	注释	索引到具体词条技能	解锁条件（1:积分 2:等级,不填表示不需要解锁）	难度限制	显示优先级	类型（1：时间限制类  2：角色存活限制 3：更换地图 0或不配表示其他类）	扩展参数{}	具体描述
ID	Comment	EntryID	Condition	DiffLimit	Sort	Type	tbParam	Desc
2001	二型验证机甲火神炮子弹伤害类型变更为雷属性并增加伤害			{2,3,4,5}	4			bossentries.boss2001
2002	二型验证机甲导弹发射数量+4			{6}	4			bossentries.boss2002
2003	二型验证机甲蓄力炮击爆炸后也会残留一个伤害区域			{3,4,5}	4			bossentries.boss2003
2004	二型验证机甲跳跃落地时向四周发射一圈弹幕			{4,5}	4			bossentries.boss2004
2005	“野牛”约瑟夫一阶段释放的电墙会把目标围住			{5}	4			bossentries.boss2005
2006	“野牛”约瑟夫一阶段蓄力直射子弹变更为火属性并增加伤害			{2,3,4,5}	4			bossentries.boss2006
2007	“野牛”约瑟夫一阶段跳跃位移后必定衔接蓄力直射技能			{4,5}	4			bossentries.boss2007
2008	“野牛”约瑟夫二阶段冲拳附加直线冲击波效果			{3,4,5}	4			bossentries.boss2008
2009	“野牛”约瑟夫二阶段进行冲锋腕刃攻击后会衔接三连击技能			{4,5}	4			bossentries.boss2009
2010	“野牛”约瑟夫二阶段俯冲砸地会升起一圈子弹，落下后爆炸			{3,4,5}	4			bossentries.boss2010
2011	“野牛”约瑟夫二阶段投射圆环接俯冲砸地连招，圆环变为内部分隔的正方形			{5}	4			bossentries.boss2011
2012	“野牛”约瑟夫二阶段投射圆环接俯冲砸地连招，圆环会完全封锁			{5}	4			bossentries.boss2012
2013	海拉手臂扫击时会在地面生成一些喷溅形式的子弹			{2,3,4,5}	4			bossentries.boss2013
2014	海拉践踏后，还会升起一些延迟发射的跟踪子弹			{5}	4			bossentries.boss2014
2015	海拉双肩喷射跟踪弹时还会发射出一些大而慢的跟踪弹			{5}	4			bossentries.boss2015
2016	海拉喷射头部激光的效果改为造成全屏伤害和击飞			{3,4,5}	4			bossentries.boss2016
2017	海拉召唤的泰坦杂兵会附带霸体特化技能			{4,5}	4			bossentries.boss2017
2018	海拉释放的激光纵扫的条数从3条增加到5条			{4,5}	4			bossentries.boss2018
2019	波伏娃13发射三连跟踪光弹时会同时释放双边扇形跟踪弹			{2,3,4,5}	4			bossentries.boss2019
2020	波伏娃13释放瞬移时会在原地留下一个延迟追踪光弹			{3,4,5}	4			bossentries.boss2020
2021	波伏娃13释放封锁光束一齐发射间隔光束的数量从1提升至3			{4,5}	4			bossentries.boss2021
2022	波伏娃13三连胸炮的伤害提升50%			{5}	4			bossentries.boss2022
2023	波伏娃13释放落雷的轮数由3轮提升至5轮，且每轮落雷的数量由3枚提升至5枚			{5}	4			bossentries.boss2023
2024	二型验证机甲动力版会在朝目标跳跃和冲锋结束后固定衔接小型榴弹射击			{4,5}	4			bossentries.boss2024
2025	二型验证机甲动力版原地跳跃时产生的地波数量由四条增加为八条			{4,5}	4			bossentries.boss2025
2026	二型验证机甲动力版跳跃后会在落地时会留下一圈持续造成燃烧伤害的火焰区域			{2,3,4,5}	4			bossentries.boss2026
2027	二型验证机甲动力版三连践踏的最终重踏落地时会发射一圈扩散弹幕			{3,4,5}	4			bossentries.boss2027
2028	二型验证机甲动力版最大冲锋轮数由1提升为3，每段冲锋完成时若距离目标12米以内则会提前停止冲刺，执行其他行为			{5}	4			bossentries.boss2028
2029	二型验证机甲动力版冲刺时会在经过路径上留下持续造成燃烧伤害的火焰区域			{5}	4			bossentries.boss2029
2030	萨特瞬移喷溅重力子弹同时会召唤一个波伏娃系统复制人，其释放一次技能后离场			{4,5}	4			bossentries.boss2030
2031	萨特释放的封锁光束由规律间隔发射变为齐射			{2,3,4,5}	4			bossentries.boss2031
2032	萨特释放锥形弹幕时，左右两侧会增加额外的弹幕，拓宽横向覆盖面积			{4,5}	4			bossentries.boss2032
2033	萨特释放扇形间隔弹幕的轮数由5轮增加至7轮，且每轮弹幕的运行速度加快			{5}	4			bossentries.boss2033
2034	萨特释放转盘弹幕的转动速度增快。且其中单个子弹的运行速度加快			{5}	4			bossentries.boss2034
2035	萨特通过召唤技能召唤波伏娃系统时，召唤的数量由1增加至2			{3,4,5}	4			bossentries.boss2035
2036	加文全阶段在使用位移技能时会在位移前的位置留下一个接触爆炸的幻象（最多五个）			{5}	4			bossentries.boss2036
2037	加文一阶段增添连段，斜斩后固定衔接一次突刺，突刺后固定衔接一次竖劈			{2,3,4,5}	4			bossentries.boss2037
2038	加文二、三阶段释放所有X字斩击时都会射出X型剑气			{4,5}	4			bossentries.boss2038
2039	加文二、三阶段增添连段，斜斩后固定衔接一次没有地波的X字斩击			{3,4,5}	4			bossentries.boss2039
2040	加文三阶段瞬移回场中蓄力时，蓄力过程中每隔0.5s都会向外射出一圈弹幕			{5}	4			bossentries.boss2040
2041	二型海拉四肢受到伤害降低70%			{4,5}	4			bossentries.boss2041
2042	二型海拉冲击波释放时，还会生成旋转扩散的子弹			{2,3,4,5}	4			bossentries.boss2042
2043	二型海拉扩散弹释放时，还会在地面额外生成2个环形扩散弹			{3,4,5}	4			bossentries.boss2043
2044	二型海拉阻挡体将形成完全包围			{5}	4			bossentries.boss2044
2045	二型海拉旋转弹命中将会发生爆炸			{5}	4			bossentries.boss2045
2046	刻耳柏洛斯人形状态进行后跳后会衔接地波，左右滑步后会衔接三连跟踪弹			{4,5}	4			bossentries.boss2046
2047	刻耳柏洛斯犬形状态进行后跳后会衔接扩散弹幕，左右跳后会衔接前扑攻击			{5}	4			bossentries.boss2047
2048	刻耳柏洛斯人形状态释放弹幕时增加弹幕释放的波次			{2,3,4,5}	4			bossentries.boss2048
2049	刻耳柏洛斯犬形状态释放弹幕时增加弹幕释放的波次			{3,4,5}	4			bossentries.boss2049
2050	刻耳柏洛斯召唤能量球离场后，蓄力期间会持续召唤幻象无人机攻击玩家			{5}	4			bossentries.boss2050
2051	二型验证机甲释放导弹时，覆盖区域由十字形替换成米字型			{5}	4			bossentries.boss2051
2052	二型验证机甲加农炮蓄力后，炮击次数从1次增加至3次			{5}	4			bossentries.boss2052
2053	爱思特地面旋转冲击次数变为3次			{4,5}	4			bossentries.boss2053
2054	爱思特旋转射击子弹变为火属性，并提高伤害			{2,3,4,5}	4			bossentries.boss2054
2055	爱思特导弹齐射的导弹数量增加，速度加快			{3,4,5}	4			bossentries.boss2055
2056	爱思特旋转轰炸留下的羽毛不再直接爆炸，触碰或一段时间延迟后爆炸			{5}	4			bossentries.boss2056
2057	爱思特初始即进入二阶段			{5}	4	3	{511}	bossentries.boss2057
2058	祟在近战三连击后会派生火柱和扑击			{2,3,4,5}	4			bossentries.boss2058
2059	祟的蓄力扑击伤害范围变为全屏			{4,5}	4			bossentries.boss2059
