地图Id	总Npc数量	Npc数据
Id	TotalNpc	NpcData
2	14	{{4001603,3},{4001604,2},{4001605,9}}
3	14	{{4001603,3},{4001604,2},{4001605,9}}
4	13	{{4001004,2},{4001006,2},{4001007,3},{4002002,2},{4002006,2},{4002007,2}}
5	14	{{4001211,6},{4001212,6},{4001215,2}}
6	13	{{4001211,6},{4001212,5},{4001215,2}}
1001	14	{{4001603,3},{4001604,2},{4001605,9}}
1002	12	{{4001602,3},{4001604,1},{400160302,2},{400160401,2},{400901302,4}}
1003	10	{{4001004,5},{4001005,2},{4001008,3}}
1004	10	{{4001004,3},{4001008,3},{4002003,2},{4002007,2}}
1005	10	{{4001409,2},{4001410,3},{400130105,2},{400130405,3}}
1006	10	{{400121105,3},{400121107,2},{400121204,3},{400121303,2}}
2001	13	{{4001211,6},{4001212,5},{4001215,2}}
2002	11	{{4001215,2},{400121102,2},{400121203,7}}
2003	11	{{4001108,3},{4001112,4},{4001114,3},{4002103,1}}
2004	14	{{4001005,2},{4001007,3},{4002003,2},{4002004,3},{4002006,2},{400160601,2}}
2005	15	{{4001211,2},{4001212,9},{4001213,2},{4001215,2}}
2006	4	{{5001501,2},{5001504,2}}
2007	14	{{4001004,3},{4002007,2},{4002016,2},{400160202,5},{400160601,2}}
2008	10	{{4001212,6},{4001215,2},{400121302,2}}
2009	14	{{4001310,2},{400130101,6},{400130401,2},{400130601,4}}
2010	15	{{500130701,1},{4001310,2},{400130101,6},{400130401,2},{400130601,4}}
2011	14	{{4001409,4},{4001410,2},{400130105,8}}
3001	13	{{4001004,2},{4001005,2},{4001006,2},{4001007,3},{4002006,2},{4002007,2}}
3002	14	{{5001010,1},{5001018,1},{4001003,1},{4001004,9},{4001006,2}}
3003	12	{{5001402,1},{400130103,7},{400130403,3},{400150602,1}}
3004	12	{{500110901,1},{500110902,1},{4001103,2},{4001108,3},{4001116,5}}
3005	11	{{500110901,1},{500110902,1},{4001102,2},{4001103,4},{4001108,3}}
3006	12	{{5001402,1},{5001403,1},{400130103,2},{400150602,5},{400350602,3}}
3007	14	{{5001101,1},{500110901,1},{4001002,1},{4001005,1},{4001112,3},{4001114,2},{4002003,2},{4002007,3}}
3008	13	{{5001010,1},{4001002,1},{4002004,3},{4002006,2},{4003003,2},{400100403,3},{400160601,1}}
3009	14	{{5001307,1},{4001301,9},{4001303,4}}
3010	12	{{5001111,1},{500110901,1},{4001102,3},{4001104,2},{4001108,2},{4002106,3}}
3011	11	{{5001010,1},{5001019,1},{4001017,1},{4002004,3},{400160202,5}}
3012	11	{{5001010,1},{5001018,1},{5001019,1},{4002003,2},{4002004,6}}
3013	18	{{5001214,1},{4001212,7},{4001213,4},{4001215,4},{4001216,2}}
3014	13	{{5001010,1},{5002010,1},{4001004,2},{4001006,3},{4001016,2},{4002002,4}}
3015	11	{{5001010,1},{5001018,1},{4001003,2},{4001004,3},{4001016,1},{4002004,3}}
3016	12	{{5001018,1},{5001302,1},{5001307,1},{4001304,2},{4002004,3},{4002006,4}}
3017	13	{{500100901,1},{4001404,2},{400130102,3},{400130402,3},{400150601,2},{400250601,2}}
3018	11	{{500130201,1},{500130501,1},{500130701,1},{400130101,5},{400130401,3}}
3019	12	{{5001101,1},{5001111,1},{4001103,2},{4001112,6},{4001114,2}}
3020	14	{{5001402,1},{5001403,1},{500100902,2},{400130103,6},{400130403,2},{400350602,2}}
3021	14	{{5001311,1},{500130201,1},{500130701,2},{4001310,3},{400130101,5},{400130301,1},{400130601,1}}
3022	14	{{5001405,1},{5001406,2},{500130705,1},{400130105,8},{400131005,2}}
3023	14	{{5001001,1},{5001009,1},{5001018,1},{5001019,1},{4001002,1},{4002003,1},{4002006,2},{4003004,1},{4007013,1},{400100403,2},{400100601,2}}
4001	1	{{600120501,1}}
4002	1	{{6001302,1}}
4003	1	{{6001003,1}}
4004	1	{{6001006,1}}
4005	1	{{6002101,1}}
4006	1	{{600150101,1}}
4007	1	{{6002102,1}}
4008	1	{{6001005,1}}
4009	1	{{6001004,1}}
4010	1	{{6001206,1}}
4011	1	{{6001302,1}}
4012	1	{{6001301,1}}
4013	1	{{6001303,1}}
4014	2	{{6001302,1},{6001303,1}}
4015	1	{{6001003,1}}
5001	0	{}
5002	0	{}
5003	0	{}
5004	0	{}
5005	0	{}
5006	0	{}
5007	0	{}
5008	0	{}
5009	0	{}
5010	0	{}
5011	0	{}
6001	0	{}
6002	10	{{400150603,5},{400901303,5}}
