ID	对应关卡图标	关卡名称	关卡描述	备注	开启时间	结束时间	关卡类型(线性1 困难2 终局3 )	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	下一关ID	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	关卡buff组	轮换buff组（2天一刷，刷完数组重置）	关卡概念图	关卡目标描述	首次通关奖励	关卡对应商店组	胜利所需发电量	发电机100电量转化金钱	初始发电机（发电机id，发电位置）
ID	ReferIcon	LevelName	LevelDes	Comments	StartTime	EndTime	LevelType	MapID	FightID	Condition	NextID	Monster	LevelStrength	BuffGroup1	BuffGroup2	PictureLevel	LevelPassDes	PassRewards	ReferGroup	WinNeedElctric	ElctricToMoneyPerHundred	InitialElctric
1001	1001357	armoredrider.Levelname_01	armoredrider.Leveldes_01	线性关卡第1关	[202606011000]	[202607020400]	1	840	1		1002	{4801112,4801114,4801102,4801104}	4	{1001}		1803090	armoredrider.Leveldes_01	{{64,40000}}	1	1000	100	{{2002,1},{2003,2},{2004,3}}
1002	1001365	armoredrider.Levelname_02	armoredrider.Leveldes_02	线性关卡第2关	[202606011000]	[202607020400]	1	841	1	{{2,1001,48}}	1003	{4803116,4801112,4801117,5801111,5801113,4801114}	4	{1002}		1803090	armoredrider.Leveldes_02	{{64,40000}}	2	1000	100	{{0,1},{2001,2},{0,3}}
1003	1001364	armoredrider.Levelname_03	armoredrider.Leveldes_03	线性关卡第3关	[202606011000]	[202607020400]	1	842	1	{{2,1002,48}}	1004	{4801116,4801102,4801104,5801111,4801117,5801113,6801302}	4	{1003}		1803090	armoredrider.Leveldes_03	{{64,40000}}	3	1000	100	{{0,1},{2001,2},{0,3}}
1004	1001361	armoredrider.Levelname_04	armoredrider.Leveldes_04	线性关卡第4关	[202606011000]	[202607020400]	1	843	1	{{2,1003,48}}	1005	{4803116,4801112,5801111,5801101,5801113,4801114}	4	{1004}		1801004	armoredrider.Leveldes_04	{{64,50000}}	4	1000	100	{{0,1},{2001,2},{0,3}}
1005	1001360	armoredrider.Levelname_05	armoredrider.Leveldes_05	线性关卡第5关	[202606011000]	[202607020400]	1	844	1	{{2,1004,48}}	1006	{4801112,4801114,4801116,5801111,4801104,5801101,4801102,6801206}	4			1801004	armoredrider.Leveldes_05	{{64,50000}}	5	1000	100	{{0,1},{2001,2},{0,3}}
1006	1001362	armoredrider.Levelname_06	armoredrider.Leveldes_06	线性关卡第6关	[202606011000]	[202607020400]	1	845	1	{{2,1005,48}}	1007	{4803116,4801112,5801101,4801117,5801111,4801102,4801114}	4			1801004	armoredrider.Leveldes_06	{{64,50000}}	6	1000	100	{{0,1},{2001,2},{0,3}}
1007	1001364	armoredrider.Levelname_07	armoredrider.Leveldes_07	线性关卡第7关	[202606011000]	[202607020400]	1	846	1	{{2,1006,48}}	1008	{4801112,4801114,4801116,4801104,4801102,4801117,5801113,5801111,5801101,6801206}	4			1801016	armoredrider.Leveldes_07	{{64,80000}}	7	1000	100	{{0,1},{2001,2},{0,3}}
1008	1001366	armoredrider.Levelname_08	armoredrider.Leveldes_08	线性关卡第8关	[202606011000]	[202607020400]	1	847	1	{{2,1007,48}}		{4801116,4801102,4801112,4801114,4801117,4801104,5801111,5801113,5801101,6801302}	4			1801016	armoredrider.Leveldes_08	{{64,100000}}	8	1000	100	{{0,1},{2001,2},{0,3}}
1101	1001368	armoredrider.Levelname_09	armoredrider.Leveldes_09	困难关卡第1关	[202606080400]	[202607020400]	2	848	1	{{2,1008,48}}	1102	{4801112,4801114,4801102,4801117,4801104,5801111,4801116,5801101,6801302,5801113,6801206}	4	{2001}		1803090	armoredrider.Leveldes_09	{{64,100000}}	9	1000	150	{{0,1},{2001,2},{0,3}}
