活动ID（期数）	索引	所需积分	奖励
SeasonID	Index	NeedScore	ScoreAward
1	1	1000	{4,3,1,1,5000}
1	2	1500	{4,1,48,1,10}
1	3	2000	{5,29,21,1,10}
1	4	2500	{4,1,48,1,10}
1	5	3000	{4,3,1,1,5000}
1	6	3500	{4,1,48,1,10}
1	7	4000	{5,29,21,1,10}
1	8	4500	{4,1,48,1,10}
1	9	5000	{4,3,1,1,6000}
1	10	5500	{4,1,48,1,10}
1	11	9000	{5,29,21,1,10}
1	12	12000	{4,1,48,1,20}
1	13	15000	{4,3,1,1,6000}
1	14	18000	{4,1,48,1,20}
1	15	21000	{5,29,21,1,10}
1	16	24000	{4,1,48,1,20}
1	17	27000	{4,3,1,1,6000}
1	18	30000	{4,1,48,1,20}
1	19	33000	{5,29,21,1,10}
1	20	36000	{4,1,48,1,20}
1	21	40000	{4,3,1,1,6000}
1	22	53000	{4,1,48,1,30}
1	23	56000	{5,29,21,1,10}
1	24	59000	{4,1,48,1,30}
1	25	62000	{13,1,4,1,48,1,1,1}
1	26	65000	{4,1,48,1,30}
1	27	68000	{5,29,21,1,10}
1	28	71000	{4,1,48,1,30}
1	29	74000	{5,29,21,1,10}
1	30	77000	{4,1,48,1,30}
1	31	80000	{4,3,1,1,6000}
1	32	83000	{4,1,48,1,30}
1	33	86000	{4,3,1,1,6000}
1	34	89000	{4,1,48,1,30}
1	35	92000	{4,3,1,1,6000}
1	36	95000	{4,1,48,1,30}
1	37	98000	{5,29,21,1,10}
1	38	101000	{4,1,48,1,30}
1	39	104000	{4,3,1,1,6000}
1	40	107000	{4,1,48,1,30}
1	41	110000	{4,3,1,1,6000}
1	42	113000	{4,1,48,1,30}
1	43	116000	{5,29,21,1,10}
1	44	119000	{4,1,48,1,30}
1	45	122000	{4,3,1,1,6000}
1	46	125000	{4,1,48,1,30}
1	47	128000	{4,1,48,1,30}
1	48	131000	{4,1,48,1,30}
1	49	134000	{4,1,48,1,30}
1	50	137000	{4,1,48,1,30}
