ID	商品类型（1.buff 2.全局道具 3.防线 4.回复 5.数值碎片宝箱,6.具体碎片 1001-1008武器类型，2001-2004发电机类型）	商品图片	商品标签（1-5（全局/武器/发电机/角色/子弹），6-10（伤害/增益/治疗/衍生/其他），11-14（自动/控制/DOT/随机））	商品名称	商品描述	商品价格	商品复购增加价格	作用对象（1.我方 2.发电机 3.敌人）	商品效果	商品效果（调用蓝图文件参数）	参数名（AddBuffToPlayer/AddBuffToArmor/AddOneArmorGun/UpgradeWeapon）	参数数值	商品权重	商品刷新后增加权重	商品出现前置道具	商品限购次数（0不限购 ，1及以上限购）	商品价值	商品稀有度(1.普通 2稀有 3罕见 4传说)	商品角标(0.不需要 1.实弹 2.能量 3.通用)
ID	ItemType	ItemPic	ItemTag	ItemName	Itemdes	Itemprice	ReapeatPrice	ReferActor	ItemBuff	ItemEff	ItemFunc	FuncParam	ItemWeight	ItemWeightAdd	ItemNeed	ItemBuyLimit	ItemPrice	ValueLevel	ItemLittleTag
1001	1001	1546054	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName01	armoredrider.ArmoredRiderWeaponshopDes01	100	0	1	1001	1001	AddOneArmorGun	{1005}	30000	100		1	0	2	0
1002	1001	1546055	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName02	armoredrider.ArmoredRiderWeaponshopDes02	100	0	1		1002	UpgradeWeapon	{1005}	30000	0	{1001}	1	0	3	0
1003	1001	1546056	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName03	armoredrider.ArmoredRiderWeaponshopDes03	100	0	1		1003	UpgradeWeapon	{1005}	30000	0	{1002}	1	0	4	0
1004	1002	1546051	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName04	armoredrider.ArmoredRiderWeaponshopDes04	100	0	1	1001	1001	AddOneArmorGun	{1002}	30000	100		1	0	2	0
1005	1002	1546052	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName05	armoredrider.ArmoredRiderWeaponshopDes05	100	0	1		1002	UpgradeWeapon	{1002}	30000	0	{1004}	1	0	3	0
1006	1002	1546053	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName06	armoredrider.ArmoredRiderWeaponshopDes06	100	0	1		1003	UpgradeWeapon	{1002}	30000	0	{1005}	1	0	4	0
1007	1003	1546069	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName07	armoredrider.ArmoredRiderWeaponshopDes07	100	0	1	1001	1001	AddOneArmorGun	{1001}	30000	100		1	0	2	0
1008	1003	1546070	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName08	armoredrider.ArmoredRiderWeaponshopDes08	100	0	1		1002	UpgradeWeapon	{1001}	30000	0	{1007}	1	0	3	0
1009	1003	1546071	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName09	armoredrider.ArmoredRiderWeaponshopDes09	100	0	1		1003	UpgradeWeapon	{1001}	30000	0	{1008}	1	0	4	0
1010	1004	1546057	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName10	armoredrider.ArmoredRiderWeaponshopDes10	100	0	1	1001	1001	AddOneArmorGun	{1004}	30000	100		1	0	2	0
1011	1004	1546058	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName11	armoredrider.ArmoredRiderWeaponshopDes11	100	0	1		1002	UpgradeWeapon	{1004}	30000	0	{1010}	1	0	3	0
1012	1004	1546059	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName12	armoredrider.ArmoredRiderWeaponshopDes12	100	0	1		1003	UpgradeWeapon	{1004}	30000	0	{1011}	1	0	4	0
1013	1005	1546048	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName13	armoredrider.ArmoredRiderWeaponshopDes13	100	0	1	1001	1001	AddOneArmorGun	{1007}	30000	100		1	0	2	0
1014	1005	1546049	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName14	armoredrider.ArmoredRiderWeaponshopDes14	100	0	1		1002	UpgradeWeapon	{1007}	30000	0	{1013}	1	0	3	0
1015	1005	1546050	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName15	armoredrider.ArmoredRiderWeaponshopDes15	100	0	1		1003	UpgradeWeapon	{1007}	30000	0	{1014}	1	0	4	0
1016	1006	1546060	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName16	armoredrider.ArmoredRiderWeaponshopDes16	100	0	1	1001	1001	AddOneArmorGun	{1003}	30000	100		1	0	2	0
1017	1006	1546061	{1,6,9}	armoredrider.ArmoredRiderWeaponshopName17	armoredrider.ArmoredRiderWeaponshopDes17	100	0	1		1002	UpgradeWeapon	{1003}	30000	0	{1016}	1	0	3	0
