装备ID	装备名称	装备描述	装备类型（1.武器 2.防线）	装备解锁	装备实际关联武器ID	装备升级花销	装备升级获取内容（1.属性(属性ID，具体数值) 2.buff（buffID） 3.武器插槽（插槽给与数量））	升级获取描述	升级描述标红（0.黑 1.红）	装备图片	枪械备注						
Equipid	EquipName	EquipDed	Type	UnlockLevelID	WeaponUnlockLevel	WeaponUnlockCost	weaponupgradeget	weaponupgradedes	weaponupgradedestag	EquipPic							
1001	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1	0	1005		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade01	0	5274008	机枪						
1002	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,750}	{1,3003}	armoredrider.ArmoredRiderWeaponUpgrade02	0	5274008							
1003	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,1100}	{2,8}	armoredrider.ArmoredRiderWeaponUpgrade03	1	5274008							
1004	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade04	0	5274008							
1005	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,2500}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade05	0	5274008							
1006	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade06	1	5274008							
1007	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade07	0	5274008							
1008	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,8500}	{1,3003}	armoredrider.ArmoredRiderWeaponUpgrade08	0	5274008							
1009	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,12000}	{2,2}	armoredrider.ArmoredRiderWeaponUpgrade09	1	5274008							
1010	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade10	0	5274008							
1011	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,28800}	{1,3003}	armoredrider.ArmoredRiderWeaponUpgrade11	0	5274008							
1012	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade12	1	5274008							
1013	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade13	0	5274008							
1014	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,97000}	{1,3009}	armoredrider.ArmoredRiderWeaponUpgrade14	0	5274008							
1015	armoredrider.ArmoredRiderWeaponName01	armoredrider.ArmoredRiderWeaponDes01	1		1005	{64,146000}	{2,38}	armoredrider.ArmoredRiderWeaponUpgrade15	1	5274008							
1016	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1	0	1003		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade76	0	5274013	火焰喷射器						
1017	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,750}	{1,3004}	armoredrider.ArmoredRiderWeaponUpgrade77	0	5274013							
1018	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,1100}	{2,16}	armoredrider.ArmoredRiderWeaponUpgrade78	1	5274013							
1019	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade79	0	5274013							
1020	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,2500}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade80	0	5274013							
1021	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade81	1	5274013							
1022	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade82	0	5274013							
1023	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,8500}	{1,3004}	armoredrider.ArmoredRiderWeaponUpgrade83	0	5274013							
1024	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,12000}	{2,30}	armoredrider.ArmoredRiderWeaponUpgrade84	1	5274013							
1025	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade85	0	5274013							
1026	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,28800}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade86	0	5274013							
1027	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade87	1	5274013							
1028	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade88	0	5274013							
1029	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,97000}	{1,3009}	armoredrider.ArmoredRiderWeaponUpgrade89	0	5274013							
1030	armoredrider.ArmoredRiderWeaponName06	armoredrider.ArmoredRiderWeaponDes06	1		1003	{64,146000}	{2,75}	armoredrider.ArmoredRiderWeaponUpgrade90	1	5274013							
1031	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1	1001	1001		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade31	0	5274010	激光						
1032	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,750}	{1,3008}	armoredrider.ArmoredRiderWeaponUpgrade32	0	5274010							
1033	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,1100}	{2,15}	armoredrider.ArmoredRiderWeaponUpgrade33	1	5274010							
1034	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade34	0	5274010							
1035	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,2500}	{1,3007}	armoredrider.ArmoredRiderWeaponUpgrade35	0	5274010							
1036	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade36	1	5274010							
1037	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade37	0	5274010							
1038	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,8500}	{1,3008}	armoredrider.ArmoredRiderWeaponUpgrade38	0	5274010							
1039	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,12000}	{2,23}	armoredrider.ArmoredRiderWeaponUpgrade39	1	5274010							
1040	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade40	0	5274010							
1041	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,28800}	{1,3005}	armoredrider.ArmoredRiderWeaponUpgrade41	0	5274010							
1042	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade42	1	5274010							
1043	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade43	0	5274010							
1044	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,97000}	{1,3009}	armoredrider.ArmoredRiderWeaponUpgrade44	0	5274010							
1045	armoredrider.ArmoredRiderWeaponName03	armoredrider.ArmoredRiderWeaponDes03	1		1001	{64,146000}	{2,76}	armoredrider.ArmoredRiderWeaponUpgrade45	1	5274010							
1046	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1	1002	1002		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade16	0	5274009	霰弹枪						
1047	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,750}	{1,3008}	armoredrider.ArmoredRiderWeaponUpgrade17	0	5274009							
1048	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,1100}	{2,10}	armoredrider.ArmoredRiderWeaponUpgrade18	1	5274009							
1049	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade19	0	5274009							
1050	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,2500}	{1,3007}	armoredrider.ArmoredRiderWeaponUpgrade20	0	5274009							
1051	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade21	1	5274009							
1052	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade22	0	5274009							
1053	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,8500}	{1,3008}	armoredrider.ArmoredRiderWeaponUpgrade23	0	5274009							
1054	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,12000}	{2,6}	armoredrider.ArmoredRiderWeaponUpgrade24	1	5274009							
1055	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade25	0	5274009							
1056	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,28800}	{1,3005}	armoredrider.ArmoredRiderWeaponUpgrade26	0	5274009							
1057	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade27	1	5274009							
1058	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade28	0	5274009							
1059	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,97000}	{1,3009}	armoredrider.ArmoredRiderWeaponUpgrade29	0	5274009							
1060	armoredrider.ArmoredRiderWeaponName02	armoredrider.ArmoredRiderWeaponDes02	1		1002	{64,146000}	{2,61}	armoredrider.ArmoredRiderWeaponUpgrade30	1	5274009							
1061	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1	1003	1004		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade46	0	5274011	扩散激光						
1062	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,750}	{1,3002}	armoredrider.ArmoredRiderWeaponUpgrade47	0	5274011							
1063	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,1100}	{2,17}	armoredrider.ArmoredRiderWeaponUpgrade48	1	5274011							
1064	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade49	0	5274011							
1065	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,2500}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade50	0	5274011							
1066	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade51	1	5274011							
1067	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade52	0	5274011							
