	注释	血量	攻击力	防御	气绝时间	破坏值血量	移动速度	发电量	图标	商店ID	波次回复
ID	Comment	Health_n	Attack_n	Defence_n	BreathlessTime_n	DestroyHealth_n	MoveSpeed_n	Power	Icon	ShopID	WaveRecovery_n
37002	乙型异化人	{{1,800},{2,1600}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	1	0	1				
37003	丙型异化人	{{1,1200},{2,2400}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	1				
37004	钻头	{{1,400},{2,800}}	{{1,50},{10,50}}	{{1,1000},{10,1000}}	0	0	3				
37005	埃罗	{{1,400},{2,800}}	{{1,15},{10,15}}	{{1,1000},{10,1000}}	0	0	1				
37006	盖弥尔	{{1,16000},{2,32000}}	{{1,750},{10,1000}}	{{1,1000},{10,1000}}	0	600	1				
37007	水母	{{1,400},{2,800}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	3				
37008	金鱼	{{1,800},{2,1600}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	2				
37009	空壳守卫	{{1,14000},{2,28000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	1				
37100	发电机-原版	{{1,40000},{2,40000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0	300	5272000	2001	0
37101	发电机-机枪	{{1,32000},{2,32000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0	300	5272002	2003	0
37102	发电机-导弹	{{1,32000},{2,32000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0	300	5272003	2004	0
37103	发电机-喷火	{{1,32000},{2,32000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0	300	5272001	2002	0
37010	天启对策机	{{1,800},{2,1600}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	1200	1				
37011	海拉	{{1,1200},{2,2400}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0.5				
37012	莱拉普斯（鬣狗）	{{1,800},{2,1600}}	{{1,50},{10,50}}	{{1,1000},{10,1000}}	0	450	2				
37013	格里芬	{{1,800},{2,1600}}	{{1,15},{10,15}}	{{1,1000},{10,1000}}	0	450	1				
37014	祸斗	{{1,16000},{2,32000}}	{{1,750},{10,1000}}	{{1,1000},{10,1000}}	0	0	2				
37015	滚石	{{1,400},{2,800}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	3				
37016	格伦德尔	{{1,800},{2,1600}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	0				
37017	鼯鼠无人机	{{1,14000},{2,28000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	3				
37018	播种使徒	{{1,14000},{2,28000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	0	2				
37019	塞壬	{{1,14000},{2,28000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	600	1				
37020	尼亚尔	{{1,14000},{2,28000}}	{{1,40},{10,40}}	{{1,1000},{10,1000}}	0	600	1				
