//描述	GDPL(有根据时间判断和谐的内容，就填写资源对应的GDPL，没有就不填)	原资源路径	其他资源路径
Des	GDPL	Original_Path	18ban_path
##结算seq			
芬妮-不灭傲姿-结算动画		/Game/Cinematics/girl008_03_victory/Sequence/girl008_03_wp03a_victory_Master.girl008_03_wp03a_victory_Master	/Game/Cinematics/girl008_03_a_victory/Sequence/girl008_03_wp03a_victory_Master_a.girl008_03_wp03a_victory_Master_a
肴-不灭残辉-a手-结算动画		/Game/Cinematics/girl010_03_victory/Sequence/girl010_03_wp02a_victory_Master.girl010_03_wp02a_victory_Master	/Game/Cinematics/girl010_03_a_victory/Sequence/girl010_03_wp02a_victory_Master_a.girl010_03_wp02a_victory_Master_a
肴-不灭残辉-b手-结算动画		/Game/Cinematics/girl010_03_victory/Sequence/girl010_03_wp02b_victory_Master.girl010_03_wp02b_victory_Master	/Game/Cinematics/girl010_03_a_victory/Sequence/girl010_03_wp02b_victory_Master_a.girl010_03_wp02b_victory_Master_a
凯西娅-日常出行-结算动画		/Game/Cinematics/girl015_03_victory/Sequence/girl015_03_wp06a_victory_Master.girl015_03_wp06a_victory_Master	/Game/Cinematics/girl015_03_a_victory/Sequence/girl015_03_wp06a_victory_Master_a.girl015_03_wp06a_victory_Master_a
凯西娅本体-结算动画		/Game/Cinematics/girl015_victory/Sequence/girl015_wp06a_victory_Master.girl015_wp06a_victory_Master	/Game/Cinematics/girl015_a_victory/Sequence/girl015_wp06a_victory_Master_a.girl015_wp06a_victory_Master_a
芬妮-辉耀本体-结算动画		/Game/Cinematics/girl008b_victory/Sequence/girl008b_wp05a_victory_Master.girl008b_wp05a_victory_Master	/Game/Cinematics/girl008b_a_victory/Sequence/girl008b_wp05a_victory_Master_a.girl008b_wp05a_victory_Master_a
肴-冬至-粼粼尾浪-结算动画		/Game/Cinematics/girl010a_03_victory/Sequence/girl010a_03_wp02a_victory_Master.girl010a_03_wp02a_victory_Master	/Game/Cinematics/girl010a_03_a_victory/Sequence/girl010a_03_wp02a_victory_Master_a.girl010a_03_wp02a_victory_Master_a
猫汐尔-溯影-灼阳假期-结算动画		/Game/Cinematics/girl012a_02_victory/Sequence/girl012a_02_wp01a_victory_Master.girl012a_02_wp01a_victory_Master	/Game/Cinematics/girl012a_02_a_victory/Sequence/girl012a_02_wp01a_victory_Master_a.girl012a_02_wp01a_victory_Master_a
晨星-云篆-波光倩影-结算动画		/Game/Cinematics/girl014a_03_victory/Sequence/girl014a_03_wp05a_victory_Master.girl014a_03_wp05a_victory_Master	/Game/Cinematics/girl014a_03_a_victory/Sequence/girl014a_03_wp05a_victory_Master_a.girl014a_03_wp05a_victory_Master_a
凯茜娅-朝翼-沐浪倦姿-结算动画		/Game/Cinematics/girl015a_02_victory/Sequence/girl015a_02_wp05a_victory_Master.girl015a_02_wp05a_victory_Master	/Game/Cinematics/girl015a_02_a_victory/Sequence/girl015a_02_wp05a_victory_Master_a.girl015a_02_wp05a_victory_Master_a
恩雅-羽蜕-浅憩之处-结算动画		/Game/Cinematics/girl011a_03_victory/Sequence/girl011a_03_wp04a_victory_Master.girl011a_03_wp04a_victory_Master	/Game/Cinematics/girl011a_03_a_victory/Sequence/girl011a_03_wp04a_victory_Master_a.girl011a_03_wp04a_victory_Master_a
琴诺-悖谬-静聆潮韵-结算动画		/Game/Cinematics/girl007a_04_victory/Sequence/girl007a_04_wp01a_victory_Master.girl007a_04_wp01a_victory_Master	/Game/Cinematics/girl007a_04_a_victory/Sequence/girl007a_04_wp01a_victory_Master_a.girl007a_04_wp01a_victory_Master_a
茉莉安-幽潮-灿阳一刻-结算动画		/Game/Cinematics/girl005b_02_victory/Sequence/girl005b_02_wp03a_victory_Master.girl005b_02_wp03a_victory_Master	/Game/Cinematics/girl005b_02_a_victory/Sequence/girl005b_02_wp03a_victory_Master_a.girl005b_02_wp03a_victory_Master_a
2.3芙提雅本体-结算动画		/Game/Cinematics/girl004b_victory/Sequence/girl004b_wp02a_victory_Master.girl004b_wp02a_victory_Master	/Game/Cinematics/girl004b_a_victory/Sequence/girl004b_wp02a_victory_Master_a.girl004b_wp02a_victory_Master_a
2.3芙提雅-毛绒派对-结算动画		/Game/Cinematics/girl004b_02_victory/Sequence/girl004b_02_wp02a_victory_Master.girl004b_02_wp02a_victory_Master	/Game/Cinematics/girl004b_02_a_victory/Sequence/girl004b_02_wp02a_victory_Master_a.girl004b_02_wp02a_victory_Master_a
瑟瑞斯-瞬刻-斑斓水色-结算动画		/Game/Cinematics/girl013a_04_victory/Sequence/girl013a_04_wp03a_victory_Master.girl013a_04_wp03a_victory_Master	/Game/Cinematics/girl013a_04_a_victory/Sequence/girl013a_04_wp03a_victory_Master_a.girl013a_04_wp03a_victory_Master_a
伊切尔-捕猎演习-结算动画		/Game/Cinematics/girl016_04_victory/Sequence/girl016_04_wp03a_victory_Master.girl016_04_wp03a_victory_Master	/Game/Cinematics/girl016_04_victory_a/Sequence/girl016_04_wp03a_victory_Master_a.girl016_04_wp03a_victory_Master_a
琴诺-悖谬-清荷雅弈-结算动画		/Game/Cinematics/girl007a_05_victory/Sequence/girl007a_05_wp01a_victory_Master.girl007a_05_wp01a_victory_Master	/Game/Cinematics/girl007a_05_victory_a/Sequence/girl007a_05_wp01a_victory_Master_a.girl007a_05_wp01a_victory_Master_a
凯茜娅蓝闪-结算动画		/Game/Cinematics/girl015_06_victory/Sequence/girl015_06_wp06a_victory_Master.girl015_06_wp06a_victory_Master	/Game/Cinematics/girl015_06_victory_a/Sequence/girl015_06_wp06a_victory_Master_a.girl015_06_wp06a_victory_Master_a
卜卜-结算动画		/Game/Cinematics/girl020_victory/Sequence/girl020_wp04a_victory_Master.girl020_wp04a_victory_Master	/Game/Cinematics/girl020_a_victory/Sequence/girl020_wp04a_victory_Master_a.girl020_wp04a_victory_Master_a
茉莉安-雨燕-绯染夜幕-结算动画	{7,5,2,3}	/Game/Cinematics/girl005a_03_victory/Sequence/girl005a_03_wp02a_victory_Master.girl005a_03_wp02a_victory_Master	/Game/Cinematics/girl005a_03_a_victory/Sequence/girl005a_03_wp02a_victory_Master_a.girl005a_03_wp02a_victory_Master_a
薇蒂雅-龙舌兰-翠翎倩姿-结算动画01	{7,18,1,2}	/Game/Cinematics/girl018_02_victory/Sequence/girl018_02_1_wp04a_victory_Master.girl018_02_1_wp04a_victory_Master	/Game/Cinematics/girl018_02_a_victory/Sequence/girl018_02_1_wp04a_victory_Master_a.girl018_02_1_wp04a_victory_Master_a
薇蒂雅-龙舌兰-翠翎倩姿-结算动画02	{7,18,1,2}	/Game/Cinematics/girl018_02_victory/Sequence/girl018_02_2_wp04a_victory_Master.girl018_02_2_wp04a_victory_Master	/Game/Cinematics/girl018_02_a_victory/Sequence/girl018_02_2_wp04a_victory_Master_a.girl018_02_2_wp04a_victory_Master_a
