//描述	GDPL(有根据时间判断和谐的内容，就填写资源对应的GDPL，没有就不填)	原资源路径	其他资源路径
Des	GDPL	Original_Path	18ban_path
指挥速升背景图		1602302	1602480
首充活动背景图		1602106	1602481
首充活动登录弹窗图		1602111	1602482
			
凯茜娅-蓝闪_A		3501067	3501122
好感度-凯茜娅_A		3501085	3501123
重伤的凯茜娅_A		3501098	3501124
			
芬妮皮肤妄想新星*130		130130007	130130019
芬妮皮肤妄想新星*200		130130008	130130020
芬妮皮肤妄想新星*400		130130009	130130021
芬妮皮肤妄想新星立绘大图		130130010	130130024
芬妮皮肤妄想新星*800		130130011	130130022
芬妮皮肤妄想新星*144		130130012	130130023
芬妮皮肤妄想新星道具*130		110200018	110200104
芬妮皮肤妄想新星道具*200		110200019	110200105
芬妮皮肤战损皮*130		130130013	130130025
芬妮皮肤战损皮*200		130130014	130130026
芬妮皮肤战损皮*400		130130015	130130027
芬妮皮肤战损皮立绘大图		130130016	130130030
芬妮皮肤战损皮*800		130130017	130130028
芬妮皮肤战损皮*144		130130018	130130029
芬妮战损皮道具*130		110200048	110200106
芬妮战损皮道具*200		110200049	110200107
肴战损皮*200		130140013	130140020
肴战损皮*130		130140014	130140019
肴战损皮立绘*800		130140015	130140022
肴战损皮立绘*400		130140016	130140021
肴战损皮立绘大图		130140017	130140024
肴战损皮立绘*144		130140018	130140023
肴战损皮皮肤道具*130		110200032	110200108
肴战损皮皮肤道具*200		110200033	110200109
凯西娅换色皮*130		130250013	130250031
凯西娅换色皮*200		130250014	130250032
凯西娅换色皮*400		130250015	130250033
凯西娅换色皮*800		130250016	130250034
凯西娅换色皮*144		130250017	130250035
凯西娅换色皮*立绘大图		130250018	130250036
凯西娅换色皮道具*130		110200056	110200110
凯西娅换色皮道具*200		110200057	110200111
凯西娅*立绘		130250001	130250039
凯西娅*800		130250004	130250038
凯西娅*400		130250005	130250037
藏锋_A*400	{1,6,2,1}	130220022	130220019
藏锋_A*800	{1,6,2,1}	130220023	130220020
藏锋_A*立绘	{1,6,2,1}	130220024	130220021
苔丝_A*400		130240022	130240019
苔丝_A*800		130240023	130240020
苔丝_A*立绘		130240024	130240021
悖谬_A*400		130270022	130270019
悖谬_A*800		130270023	130270020
悖谬_A*立绘		130270024	130270021
			
凯茜娅沐浪倦姿_A*400		130330009	130330013
凯茜娅沐浪倦姿_A*800		130330010	130330014
凯茜娅沐浪倦姿_A*立绘大图		130330012	130330015
茉莉安灿阳一刻_A*400		130340009	130340013
茉莉安灿阳一刻_A*800		130340010	130340014
茉莉安灿阳一刻_A*立绘大图		130340012	130340015
悖谬静聆潮韵_A*400		130270015	130270025
悖谬静聆潮韵_A*800		130270016	130270026
悖谬静聆潮韵_A*立绘大图		130270018	130270027
冬至粼粼尾浪立绘_A*400		130150009	130150019
冬至粼粼尾浪立绘_A*800		130150010	130150020
冬至粼粼尾浪立绘_A*144		130150011	130150021
冬至粼粼尾浪立绘大图_A		130150012	130150022
羽蜕浅憩之处_A*400		130280015	130280025
羽蜕浅憩之处_A*800		130280016	130280026
羽蜕浅憩之处_A*立绘大图		130280018	130280027
猫汐尔溯影灼阳假期_A*400		130230009	130230019
猫汐尔溯影灼阳假期_A*800		130230010	130230020
猫汐尔溯影灼阳假期_A*144		130230011	130230021
猫汐尔溯影灼阳假期_A*立绘大图		130230012	130230022
晨星云篆波光倩影立绘_A*400		130210015	130210025
晨星云篆波光倩影立绘_A*800		130210014	130210026
晨星云篆波光倩影_A*144		130210016	130210027
晨星云篆波光倩影立绘大图_A		130210017	130210028
芬妮辉耀_A*400		130310005	130310013
芬妮辉耀_A*800		130310004	130310014
芬妮辉耀_A*立绘		130310001	130310019
茉莉安幽潮皮肤橱窗图_A		1602524	1602540
2.2茉莉安幽潮皮肤打脸图_A		1602526	1602541
恩雅羽蜕皮肤橱窗图_A		1602527	1602542
2.2恩雅羽蜕皮肤打脸图_A		1602528	1602543
凯茜娅朝翼皮肤橱窗图_A		1602529	1602544
2.2凯茜娅朝翼皮肤打脸图_A		1602530	1602545
dlc3云篆皮肤商店橱窗图_A		1602194	1602546
dlc3云篆皮肤登录打脸图_A		1602196	1602547
猫汐尔溯影灼阳假期封面立绘		3000042	3000470
晨星云篆波光倩影封面立绘		3000052	3000471
冬至粼粼尾浪封面立绘		3000072	3000472
茉莉安灿阳一刻封面立绘		3000432	3000473
恩雅羽蜕浅憩之处封面立绘		3000442	3000474
溯影皮肤灼阳假期道具_A*130		110200026	110200120
溯影皮肤灼阳假期道具_A*200		110200027	110200121
云篆皮肤波光倩影道具_A*130		110200028	110200122
云篆皮肤波光倩影道具_A*200		110200029	110200123
冬至皮肤粼粼尾浪道具_A*130		110200030	110200124
冬至皮肤粼粼尾浪道具_A*200		110200031	110200125
琴诺静聆潮韵道具_A*130		110200100	110200126
琴诺静聆潮韵道具_A*200		110200101	110200127
恩雅浅憩之处道具_A*130		110200102	110200128
恩雅浅憩之处道具_A*200		110200103	110200129
2.2悖谬泳装BP皮肤切图_A		1602497	1602548
辉耀恒约_A*400		130310009	130310015
辉耀恒约_A*800		130310010	130310016
辉耀恒约_A*144		130310011	130310017
辉耀恒约_A*立绘大图		130310012	130310018
无限之视恒约_A*400		130300009	130300013
无限之视恒约_A*800		130300010	130300014
无限之视恒约_A*立绘大图		130300012	130300015
雨燕晚礼服_A*130	{7,5,2,3}	130100013	130100019
雨燕晚礼服_A*200	{7,5,2,3}	130100014	130100020
雨燕晚礼服_A*400	{7,5,2,3}	130100015	130100021
雨燕晚礼服_A*800	{7,5,2,3}	130100016	130100022
雨燕晚礼服_A*144	{7,5,2,3}	130100017	130100023
雨燕晚礼服立绘大图_A	{7,5,2,3}	130100018	130100024
星期三宇航服战损_A*200		130040013	130040019
星期三宇航服战损_A*130		130040014	130040020
星期三宇航服战损立绘_A*800		130040015	130040021
星期三宇航服战损立绘_A*400		130040016	130040022
星期三宇航服战损立绘大图_A		130040017	130040023
星期三宇航服战损立绘*144_A		130040018	130040024
里芙宇航服战损道具_A*130		110200086	110200138
里芙宇航服战损道具_A*200		110200087	110200139
茉莉安晚礼服道具_A*130	{7,5,2,3}	110200088	110200140
茉莉安晚礼服道具_A*200	{7,5,2,3}	110200089	110200141
里芙恒约道具_A*130		110200080	110200142
里芙恒约道具_A*200		110200081	110200143
芬妮恒约道具_A*130		110200082	110200144
芬妮恒约道具_A*200		110200083	110200145
里芙恒约封面立绘		3000322	3000475
芬妮恒约封面立绘		3000332	3000476
茉莉安晚礼服封面立绘	{7,5,2,3}	3000342	3000477
2.2版本打脸图_A		1602525	1602549
凯茜娅朝翼互动场景捆绑图_A*1080		1601130	1601140
凯茜娅朝翼互动场景捆绑图_A*140		1601131	1601141
凯茜娅朝翼互动场景捆绑图_A*444		1601132	1601142
茉莉安幽潮互动场景捆绑图_A*1080		1601135	1601143
茉莉安幽潮互动场景捆绑图_A*140		1601136	1601144
茉莉安幽潮互动场景捆绑图_A*444		1601137	1601145
凯茜娅朝翼_A*800		130330004	130330016
凯茜娅朝翼_A*400		130330005	130330017
凯茜娅朝翼_A*立绘		130330001	130330018
凯茜娅沐浪倦姿封面立绘		3000422	3000480
			
瑟瑞丝瞬刻斑斓水色橱窗图_A		1602553	1602561
2.3芙提雅毛绒派对橱窗图_A		1602554	1602562
2.3版本打脸图_A		1602558	1602563
斑斓水色皮肤打脸图_A		1602559	1602564
毛绒派对皮肤打脸图_A		1602560	1602565
芙提雅毛绒派对_A*400		130350009	130350013
芙提雅毛绒派对_A*800		130350010	130350014
芙提雅毛绒派对_A*立绘大图		130350012	130350015
芙提雅猎兔_A*800		130350004	130350016
芙提雅猎兔_A*400		130350005	130350017
芙提雅猎兔_A*立绘		130350001	130350018
瑟瑞丝斑斓水色_A*400		130290021	130290025
瑟瑞丝斑斓水色_A*800		130290022	130290026
瑟瑞丝斑斓水色_A*立绘大图		130290024	130290027
2.3芙提雅专武*时装_A		142200016	142200017
瑟瑞丝瞬刻专武*瞬刻时装_A		142300025	142300027
2.3芙提雅毛绒派对封面立绘		3000452	3000478
瑟瑞丝斑斓水色封面立绘		3000462	3000479
			
DLC11活动入口图		2400011	2400013
			
DLC12活动入口图_A		2400012	2400014
芙提雅嘻嘻_A		3501128	3501142
芙提雅戏水_A		3501129	3501143
PlotCG_087_A		1501158	1501159
PlotCG_085_1_A		1501156	1501160
PlotCG_086_1_A		1501157	1501161
PlotCG_083_2_A		1501155	1501162
芙提雅俯瞰_A		1501154	1501163
羽蜕专属教练_A*400		130280021	130280028
羽蜕专属教练_A*800		130280022	130280029
羽蜕专属教练_A*144		130280023	130280030
羽蜕专属教练_A*立绘大图		130280024	130280031
羽蜕专属教练道具_A*130		110200116	110200146
羽蜕专属教练道具_A*200		110200117	110200147
2.3恩雅瑜伽服BP皮肤切图_A		1602534	1602569
花开花谢_A		3501133	3501150
芙提雅离开_A		3501134	3501151
逆光微笑_A		3501135	3501152
岩壁悬吊2_A		3501131	3501153
2.3芙提雅-个人故事_A		3501136	3501154
图鉴BGM封面13_A		3700012	3700020
			
浴室内的分析员与罗赞_A		3501093	3501155
死亡魔术_A		3501036	3501137
奥米茄的陨落_A		3501045	3501138
辉耀战斗_A		3501104	3501139
浴血奋战的三人_A		3501105	3501140
龙舌兰导剪工作视角_A		3501106	3501141
恩雅组获胜_A		3501049	3501144
完美假日_A		3501050	3501145
辰星的羞意_A		3501051	3501146
蓝眼泪的告白_A		3501127	3501147
惩罚游戏_A		3501115	3501148
CG424_A		1501134	1501164
CG070_A		1501116	1501165
CG071_A		1501117	1501166
CG076_A		1501120	1501167
CG061_A		1501096	1501168
Q版泳装少女_A		3501119	3501149
泳装猫希尔_A*130		2600341	2600661
泳装猫希尔_A*200		2600342	2600662
泳装晨星_A*130		2600361	2600771
泳装晨星_A*200		2600362	2600772
图鉴BGM封面3_A		3700002	3700013
图鉴BGM封面4_A		3700003	3700014
图鉴BGM封面5_A		3700004	3700015
图鉴BGM封面6_A		3700005	3700016
图鉴BGM封面8_A		3700007	3700017
图鉴BGM封面11_A		3700010	3700018
图鉴BGM封面12_A		3700011	3700019
茉莉安微笑_A		3501117	3501156
芬妮-辉耀		3501095	3501157
触不可及		3501118	3501158
Q版凯茜娅公主抱分析员_A		3501120	3501159
			
##DLC24			
悖谬旗袍_A*400		130270030	130270034
悖谬旗袍_A*800		130270031	130270035
悖谬旗袍_A*立绘大图		130270033	130270036
pic_playerbg049_A(封面)		3000502	3000511
悖谬旗袍皮肤捆绑包时装页签_A		142100003	142100005
悖谬旗袍皮肤捆绑包时装_A		142100004	142100006
			
伊切尔捕猎演习_A*400		130260021	130260025
伊切尔捕猎演习_A*800		130260022	130260026
伊切尔捕猎演习_A*立绘大图		130260024	130260027
pic_playerbg048_A(封面)		3000492	3000510
伊切尔睡衣皮肤捆绑包时装_A		142300033	142300035
伊切尔睡衣皮肤捆绑包时装页签_A		142300034	142300036
			
凯茜娅战损皮_A*400		130250042	130250046
凯茜娅战损皮_A*800		130250043	130250047
凯茜娅战损皮_A*立绘大图		130250045	130250048
			
悖谬旗袍道具_A*130		110200154	110200150
悖谬旗袍道具_A*200		110200155	110200151
			
PlotCG_088_1_A		3501160	1501169
PlotCG_088_2_A		1501178	1501170
PlotCG_089_A		3501161	1501171
PlotCG_090_A		3501162	1501172
PlotCG_134_A		3501163	1501173
卜卜小天师_A*800		130370004	130370007
卜卜小天师_A*400		130370005	130370008
