//描述	GDPL(有根据时间判断和谐的内容，就填写资源对应的GDPL，没有就不填)	原资源路径	其他资源路径
Des	GDPL	Original_Path	18ban_path
DLC1泰坦降临		/Game/Plot/CgPlot/Dlc1_Plots/PoltAsset/Scene/PlotCG_401.PlotCG_401	/Game/Plot/CgPlot/Dlc1_Plots/PoltAsset/Scene/PlotCG_401_a.PlotCG_401_a
DLC3海边的猫猫		/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_409.PlotCG_409	/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_409_a.PlotCG_409_a
DLC3悠哉悠哉		/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_410.PlotCG_410	/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_410_a.PlotCG_410_a
DLC3辰星的羞意		/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_415.PlotCG_415	/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_415_A.PlotCG_415_a
DLC3恩雅组获胜		/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_413.PlotCG_413	/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_413_a.PlotCG_413_a
DLC3冰淇淋车		/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_411.PlotCG_411	/Game/Plot/CgPlot/Dlc3_Plots/PoltAsset/Scene/PlotCG_411_a.PlotCG_411_a
DLC4苔丝抬头		/Game/Plot/CgPlot/Chapter12_Plots/PoltAsset/Scene/PlotCG_049.PlotCG_049	/Game/Plot/CgPlot/Chapter12_Plots/PoltAsset/Scene/PlotCG_049_a.PlotCG_049_a
DLC4魔术师的死亡		/Game/Plot/CgPlot/Chapter12_Plots/PoltAsset/Scene/PlotCG_048.PlotCG_048	/Game/Plot/CgPlot/Chapter12_Plots/PoltAsset/Scene/PlotCG_048_a.PlotCG_048_a
DLC5审讯女间谍		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_060.PlotCG_060	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_060_a.PlotCG_060_a
DLC6拯救伊切尔		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_063.PlotCG_063	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_063_a.PlotCG_063_a
DLC7莫尔索的道别		/Game/Plot/CgPlot/Dlc7_Plots/Scene/PlotCG_418.PlotCG_418	/Game/Plot/CgPlot/Dlc7_Plots/Scene/PlotCG_418_a.PlotCG_418_a
DLC8镜		/Game/Plot/CgPlot/Chapter14_Plots/PoltAsset/Scene/PlotCG_065.PlotCG_065	/Game/Plot/CgPlot/Chapter14_Plots/PoltAsset/Scene/PlotCG_065_a.PlotCG_065_a
DLC9无限之视登场1		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_069_01.PlotCG_069_01	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_069_01_a.PlotCG_069_01_a
DLC9无限之视登场2		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_069_02.PlotCG_069_02	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_069_02_a.PlotCG_069_02_a
DLC9芬妮登场		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_070.PlotCG_070	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_070_a.PlotCG_070_a
DLC9并肩作战		/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_071.PlotCG_071	/Game/Plot/CgPlot/Chapter13_Plots/PoltAsset/Scene/PlotCG_071_a.PlotCG_071_a
DLC21拥抱薇蒂雅		/Game/Plot/CgPlot/Dlc10_Plots/PoltAsset/Scene/PlotCG_077.PlotCG_077	/Game/Plot/CgPlot/Dlc10_Plots/PoltAsset/Scene/PlotCG_077_a.PlotCG_077_a
DLC21牵手薇蒂雅		/Game/Plot/CgPlot/Dlc10_Plots/PoltAsset/Scene/PlotCG_080.PlotCG_080	/Game/Plot/CgPlot/Dlc10_Plots/PoltAsset/Scene/PlotCG_080_a.PlotCG_080_a
DLC22蓝眼泪的告白-暗		/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_420_01.PlotCG_420_01	/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_420_01_a.PlotCG_420_01_a
DLC22蓝眼泪的告白-亮		/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_420_02.PlotCG_420_02	/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_420_02_a.PlotCG_420_02_a
DLC22两人的静谧		/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_423.PlotCG_423	/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_423_a.PlotCG_423_a
DLC22惩罚游戏		/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_424.PlotCG_424	/Game/Plot/CgPlot/Dlc11_Plots/PoltAsset/Scene/PlotCG_424_a.PlotCG_424_a
DLC23芙提雅望远镜		/Game/Plot/CgPlot/Dlc12_Plots/PoltAsset/Scene/PlotCG_082.PlotCG_082	/Game/Plot/CgPlot/Dlc12_Plots/PoltAsset/Scene/PlotCG_082_a.PlotCG_082_a
DLC23芙提雅踢水		/Game/Plot/CgPlot/Dlc12_Plots/PoltAsset/Scene/PlotCG_083.PlotCG_083	/Game/Plot/CgPlot/Dlc12_Plots/PoltAsset/Scene/PlotCG_083_a.PlotCG_083_a
DLC25辰星膝枕		/Game/Plot/CgPlot/Dlc14_Plots/PoltAsset/Scene/PlotCG_093.PlotCG_093	/Game/Plot/CgPlot/Dlc14_Plots/PoltAsset/Scene/PlotCG_093_a.PlotCG_093_a
DLC25万家灯火		/Game/Plot/CgPlot/Dlc14_Plots/PoltAsset/Scene/PlotCG_095.PlotCG_095	/Game/Plot/CgPlot/Dlc14_Plots/PoltAsset/Scene/PlotCG_095_a.PlotCG_095_a
DLC26共眠		/Game/Plot/CgPlot/Dlc15_Plots/PoltAsset/Scene/PlotCG_429.PlotCG_429	/Game/Plot/CgPlot/Dlc15_Plots/PoltAsset/Scene/PlotCG_429_a.PlotCG_429_a
DLC26温馨一刻		/Game/Plot/CgPlot/Dlc15_Plots/PoltAsset/Scene/PlotCG_430.PlotCG_430	/Game/Plot/CgPlot/Dlc15_Plots/PoltAsset/Scene/PlotCG_430_a.PlotCG_430_a
DLC27奈莉德的黎明告白		/Game/Plot/CgPlot/Dlc16_plots/Scene/PlotCG_0108.PlotCG_0108	/Game/Plot/CgPlot/Dlc16_plots/Scene/PlotCG_0108_a.PlotCG_0108_a
DLC27妮塔的虚脱上位法		/Game/Plot/CgPlot/Dlc16_plots/Scene/PlotCG_0112.PlotCG_0112	/Game/Plot/CgPlot/Dlc16_plots/Scene/PlotCG_0112_a.PlotCG_0112_a
DLC28异议		/Game/Plot/CgPlot/Dlc17_plots/PoltAsset/Scene/PlotCG_0134.PlotCG_0134	/Game/Plot/CgPlot/Dlc17_plots/PoltAsset/Scene/PlotCG_0134_a.PlotCG_0134_a
DLC30凯茜娅觉醒		/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0139.PlotCG_0139	/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0139_a.PlotCG_0139_a
DLC30接住苔丝		/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0137.PlotCG_0137	/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0137_a.PlotCG_0137_a
DLC30凯茜娅的逆转		/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0138.PlotCG_0138	/Game/Plot/CgPlot/Dlc18_plots/PoltAsset/Scene/PlotCG_0138_a.PlotCG_0138_a
DLC31命运之夜		/Game/Plot/CgPlot/Dlc19_plots/PoltAsset/Scene/PlotCG_0148.PlotCG_0148	/Game/Plot/CgPlot/Dlc19_plots/PoltAsset/Scene/PlotCG_0148_a.PlotCG_0148_a
DLC31无神论者的祈祷		/Game/Plot/CgPlot/Dlc19_plots/PoltAsset/Scene/PlotCG_0149.PlotCG_0149	/Game/Plot/CgPlot/Dlc19_plots/PoltAsset/Scene/PlotCG_0149_a.PlotCG_0149_a
DLC32夏意入侵		/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_434.PlotCG_434	/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_434_a.PlotCG_434_a
DLC32璀璨之忆		/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_433.PlotCG_433	/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_433_a.PlotCG_433_a
DLC32群美环绕		/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_0155.PlotCG_0155	/Game/Plot/CgPlot/Dlc20_plots/PoltAsset/Scene/PlotCG_0155_a.PlotCG_0155_a
