日历活动id	活动名称	//备注	起始日期	结束日期	奖励预览	活动标签文字	跳转界面({类型,值}1类型,function id;2类型,ui窗口名字;3类型,lua函数)	跳转参数	条件跳转	检查是否已领取	活动置顶（根据填写大小进行内部排序,值越大越靠前，默认或不填则为0）
content_id	name	Common	StartTime	EndTime	preview	label	GotoUI	tbParam	ConditionGoto	CheckCompleted	Top
100001	card.girl084_suits	芬妮-澄意（共鸣）	[202509250400]	[202511060400]	{{1,8,4,1},{2,1,33,1}}	ui.TextCalendarTag1		{3,179}	FunctionRouter.GoTo		
100002	card.girl133_suits	瑟瑞丝-悠游（共鸣）	[202510161000]	[202511060400]	{{1,13,3,1},{2,4,32,1}}	ui.TextCalendarTag1		{3,181}	FunctionRouter.GoTo		
100003	activity.Lable28	特别邀请-瑟瑞丝-悠游	[202510161000]	[202511060400]	{{1,13,3,1},{3,1,54,2,1},{3,2,54,2,1},{3,3,54,2,1}}	activity.sign					
100004	ui.TxtDLC32.BtnRmol	绘梦沙盘	[202509250400]	[202511060400]	{{4,3,2,1},{11,1,56,1},{4,1,6,5},{5,29,16,2},{4,3,1,1}}	ui.TxtDLC1ChessMark			DLC_RMOL.CheckOpenUI(1)		
100005	ui.TxtDLC32.BtnRush	海姆优化作战	[202509280400]	[202511060400]	{{4,3,2,1},{9,2,96,1},{11,1,54,1},{5,29,16,2},{4,3,1,1}}	ui.TxtDLC1ChessMark			Online.GoToUI({91,92})		
100006	ui.TxtDLC24.BtnMow	异星守护	[202510130400]	[202511020400]	{{4,3,2,1},{13,1,32,1},{5,29,16,2},{4,3,1,1}}	ui.TxtDLC2TowerMark			AlienDefense.CheckOpenAct()		
100007	ui.TxtOnlineSeaName	激浪联航	[202510200400]	[202511060400]	{{4,3,2,1},{11,1,55,1},{13,1,33,1},{5,29,16,2},{4,3,1,1}}	ui.TxtDLC2OnlineMark			Online.GoToUI({88,90})		
100008	ui.TxtDLC24.BtnBoss	噬神斗场	[202509250400]	[202510230400]	{{5,6,2,1},{5,29,16,2},{5,5,1,2},{5,5,1,1},{4,3,1,1}}	ui.TxtDLC2TowerMark			SeasonBossLogic.CheckOpen(true)		
100009	ui.TxtDLC32.BtnDefense	沁凉异象(荣誉冲突)	[202510060400]	[202510200400]	{{4,3,2,1},{5,29,16,2},{4,3,1,1}}	ui.TxtDLC2TowerMark			DefendLogic.CheckOpenAct()		
100010	ui.TxtOnlineEvent3	勇者游戏	[202510230400]	[202511060400]	{{4,3,2,1},{5,6,1,2},{5,3,1,3}}	ui.TxtDLC2OnlineMark			Online.GoToUI({93})		
											
100101	card.girl231_suits	米娅（共鸣）	[202511060400]	[202512180400]	{{1,23,1,1},{2,3,33,1}}	ui.TextCalendarTag1		{3,187}	FunctionRouter.GoTo		
100102	ui.TxtDLC33.BtnPuzzle1	适格启忆录（晴-霆光）	[202511271000]	[202512180400]	{{1,6,3,1},{2,5,31,1},{3,1,56,2},{3,2,56,2},{3,3,56,2}}	ui.TxtDLC1ChessMark			JigsawPuzzle.EnterByActivityId(390)		
