活动Id	累签天数	重点标记	颜色	奖励	提示信息	额外参数	额外参数
ActivityId	DayId	Special	Color	SignReward	Notice	Param1	Param2
2	1			{{2,1,3,1,1},{4,2,1,3,1}}			
2	2	2	#9C4315FF	{{1,5,2,1,1},{4,2,1,3,1}}			
2	3			{{5,21,2,4,1},{4,2,1,3,1}}			
2	4			{{5,9,1,2,2},{4,2,1,3,1}}			
2	5			{{5,5,1,4,5},{4,2,1,3,1}}			
2	6			{{5,21,2,4,1},{4,2,1,3,1}}			
2	7	2	#9C4315FF	{{2,2,4,1,1},{4,2,1,3,1}}			
2	8			{{5,21,1,4,1},{4,2,1,3,1}}			
7	1			{{5,1,1,2,5}}			
7	2			{{5,21,1,4,2}}			
7	3			{{5,21,1,4,2}}			
7	4	1		{{4,2,1,3,2}}			
7	5			{{5,21,1,4,2}}			
7	6			{{4,2,1,3,2}}			
7	7			{{1,10,1,1,1}}	activity.character10	1602091	
9	1			{{5,21,1,4,10}}			
9	2			{{1,5,2,1,1}}			
9	3			{{2,2,4,1,1}}			
9	4			{{1,4,1,1,1}}			
9	5			{{1,6,1,1,1}}			
9	6			{{2,4,3,1,1}}			
9	7	2	#9C4315FF	{{1,10,1,1,1},{2,1,30,1,1}}	ui.TxtNewSign14Tips		
9	8			{{2,1,4,1,1}}			
9	9			{{1,7,1,1,1}}			
9	10			{{2,3,4,1,1}}			
9	11			{{1,10,1,1,1}}			
9	12			{{1,5,1,1,1}}			
9	13			{{1,71,1,1,1}}			
9	14	2	#9C4315FF	{{1,10,2,1,1},{2,1,30,1,1}}	ui.TxtNewSign14Tips2		
13	1			{{5,21,1,5,1}}			
13	2			{{5,21,1,5,1}}			
13	3	1		{{5,21,1,5,2}}			
13	4			{{5,21,1,5,1}}			
13	5			{{5,21,1,5,1}}			
13	6			{{5,21,1,5,1}}			
13	7	2		{{5,21,1,5,3}}			
15	1			{{5,1,1,2,5}}			
15	2			{{5,21,1,4,2}}			
15	3			{{5,21,1,4,2}}			
15	4	1		{{4,2,1,3,2}}			
15	5			{{5,21,1,4,2}}			
15	6			{{4,2,1,3,2}}			
15	7			{{1,10,1,1,1}}	activity.character10	1602091	1602031
15	8			{{5,21,1,4,5}}			
15	9			{{5,21,2,4,5}}			
15	10			{{5,21,1,4,10}}			
15	11			{{5,21,2,4,10}}			
15	12			{{5,21,1,4,10}}			
15	13			{{5,21,2,4,10}}			
15	14			{{1,4,1,1,1}}	activity.character12	1602092	
17	1			{{5,1,1,2,10}}			
17	2			{{5,21,1,4,2}}			
17	3			{{5,21,1,4,2}}			
17	4			{{4,2,1,6,2}}			
17	5			{{5,21,1,4,2}}			
17	6			{{4,2,1,6,2}}			
17	7			{{1,10,1,1,1}}	activity.character10	1602102	1602031
17	8			{{4,2,1,6,2}}			
17	9			{{5,4,10,1,10}}			
17	10			{{5,21,1,4,2}}			
17	11			{{5,4,10,1,20}}			
17	12			{{5,21,1,4,2}}			
17	13			{{5,4,10,1,30}}			
17	14			{{7,10,1,2,1}}	activity.character11	1602101	1602030
38	1			{{5,21,1,5,1}}			
38	2			{{5,21,1,5,1}}			
38	3	1		{{5,21,1,5,2}}			
38	4			{{5,21,1,5,1}}			
38	5			{{5,21,1,5,1}}			
38	6			{{5,21,1,5,1}}			
38	7	2		{{5,21,1,5,3}}		1602190	
42	1			{{5,21,1,5,1}}			
42	2			{{5,21,1,5,1}}			
42	3	1		{{5,21,1,5,2}}			
42	4			{{5,21,1,5,1}}			
42	5			{{5,21,1,5,1}}			
42	6			{{5,21,1,5,1}}			
42	7	2		{{5,21,1,5,3}}		1602184	
61	1			{{5,21,1,5,1}}			
61	2			{{5,21,1,5,1}}			
61	3	1		{{5,21,1,5,2}}			
61	4			{{5,21,1,5,1}}			
61	5			{{5,21,1,5,1}}			
61	6			{{5,21,1,5,1}}			
61	7	2		{{5,21,1,5,3}}		1602223	
69	1			{{9,2,28,1,1}}			
69	2	1		{{5,21,2,4,1}}			
69	3			{{4,2,1,4,1}}			
69	4	1		{{5,21,2,4,1}}			
69	5			{{4,2,1,4,1}}			
69	6	1		{{5,21,2,4,3}}			
69	7	2		{{10,1,13,1,1}}		1602233	
80	1			{{5,21,1,5,1}}			
80	2			{{5,21,1,5,1}}			
80	3	1		{{5,21,1,5,2}}			
80	4			{{5,21,1,5,1}}			
80	5			{{5,21,1,5,1}}			
80	6			{{5,21,1,5,1}}			
80	7	2		{{5,21,1,5,3}}		1602249	
81	1	2		{{9,2,30,1,1}}			
81	2			{{5,21,2,5,1}}			
81	3	1		{{4,5,18,3,1}}			
81	4			{{5,21,2,5,1}}			
81	5	1		{{4,5,18,3,1}}			
81	6			{{5,21,2,5,1}}			
81	7	2		{{15,1,1,1,1}}		1602230	
88	1			{{5,21,1,5,1}}			
88	2			{{5,21,1,5,1}}			
88	3	1		{{5,21,1,5,2}}			
88	4			{{5,21,1,5,1}}			
88	5			{{5,21,1,5,1}}			
88	6			{{5,21,1,5,1}}			
88	7	2		{{5,21,1,5,3}}		1602291	
108	1			{{5,21,1,5,1}}			
108	2			{{5,21,1,5,1}}			
108	3	1		{{5,21,1,5,2}}			
108	4			{{5,21,1,5,1}}			
108	5			{{5,21,1,5,1}}			
108	6			{{5,21,1,5,1}}			
108	7	2		{{5,21,1,5,3}}		1602341	
112	1			{{5,21,2,5,1}}			
112	2			{{5,21,2,5,1}}			
112	3	1		{{5,21,2,5,2}}			
112	4			{{5,21,2,5,1}}			
112	5			{{5,21,2,5,1}}			
112	6			{{5,21,2,5,1}}			
112	7	2		{{5,21,2,5,3}}		1602362	
120	1			{{5,21,1,5,1}}			
120	2			{{5,21,1,5,1}}			
120	3	1		{{5,21,1,5,2}}			
120	4			{{5,21,1,5,1}}			
120	5			{{5,21,1,5,1}}			
120	6			{{5,21,1,5,1}}			
120	7	2		{{5,21,1,5,3}}		1602349	
148	1	2		{{7,2,1,3,1}}			
148	2	1		{{5,21,1,5,2}}			
148	3	1		{{5,21,1,5,2}}			
148	4			{{5,21,1,5,1}}			
148	5			{{5,21,1,5,1}}			
148	6			{{5,21,1,5,1}}			
148	7	2		{{5,21,1,5,3}}		1602389	
150	1			{{5,21,2,5,1}}			
150	2			{{5,21,2,5,1}}			
150	3	1		{{5,21,2,5,2}}			
150	4			{{5,21,2,5,1}}			
150	5			{{5,21,2,5,1}}			
150	6			{{5,21,2,5,1}}			
150	7	2		{{5,21,2,5,3}}		1602424	
164	1			{{5,21,1,5,1}}			
164	2			{{5,21,1,5,1}}			
164	3	1		{{5,21,1,5,2}}			
