活动Id	日期	奖励{g,d,p,l,n}
ActivityId	DayId	SignReward
1	1	{{4,3,1,1,2000}}
1	2	{{5,1,1,2,5}}
1	3	{{5,5,1,1,5}}
1	4	{{5,2,1,2,5}}
1	5	{{5,5,1,1,5}}
1	6	{{5,3,1,2,5}}
1	7	{{4,3,2,1,50}}
1	8	{{4,3,1,1,2000}}
1	9	{{5,1,1,2,5}}
1	10	{{5,5,1,2,2}}
1	11	{{5,2,1,2,5}}
1	12	{{5,5,1,2,2}}
1	13	{{5,3,1,2,5}}
1	14	{{5,21,2,4,1}}
1	15	{{4,3,1,1,2000}}
1	16	{{5,1,1,2,5}}
1	17	{{5,5,1,3,1}}
1	18	{{5,2,1,2,5}}
1	19	{{5,5,1,3,1}}
1	20	{{5,3,1,2,5}}
1	21	{{4,3,2,1,50}}
1	22	{{4,3,1,1,2000}}
1	23	{{5,1,1,2,5}}
1	24	{{5,9,1,2,2}}
1	25	{{5,2,1,2,5}}
1	26	{{5,9,1,2,2}}
1	27	{{5,3,1,2,5}}
1	28	{{5,21,1,4,1}}
1	29	{{4,3,1,1,2000}}
1	30	{{5,1,1,2,5}}
1	31	{{4,2,1,3,1}}
