字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	T被救的队友		海……海姆达尔？！怎么会是你们——！！	0	
page1.2	T晴藏锋		喂，你还能动吧？能动就赶紧站起来。	0	
page1.3	T被救的队友		……这和说好的根本不一样！奥尔洛娃她就是个骗子！	0	
page1.4	T晴藏锋		你走不走？！	0	
page1.5	T被救的队友		我走！我走！！来了来了……	0	
					
					
page2.1	T被救的队友		那个蓝衣服的女人……太可怕了，太可怕了！	0	
page2.2	T苔丝		蓝衣服的女人……你看见她了？她去哪儿了？	0	
page2.3	T被救的队友		她是个疯子……我不想死！我不要死——！	0	
page2.4	T苔丝		算了，先把他带出去。	0	
					
					
page3.1	T被救的队友		救救我！求你们了！	0	
page3.2	T苔丝		你不会有事的，冷静点，深呼吸。	0	
page3.3	T苔丝		跟在后面，我们带你离开。	0	
