字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	哗啦——！	嘩啦——！	バシャッ――！	첨벙!	Whoosh—!						0	3.2主线剧情
2	水不知道从哪里涌了出来，突然而猛烈。	水不知道從哪裡湧了出來，突然而猛烈。	水がいつの間にか湧き出し、激しく襲ってきた。	어디선가 갑작스럽고도 거센 물이 솟구쳐 나왔다.	Water surged up out of nowhere, icy and overwhelming.						0	3.2主线剧情
3	冰凉的触感很快就蔓延过瑟瑞斯的膝盖，贴着肌肤一路攀爬而上。	冰涼的觸感很快就蔓延過瑟瑞斯的膝蓋，貼著肌膚一路攀爬而上。	冷たい感触はすぐにシーリスの膝を越え、肌に張り付きながら這い上がった。	차가운 감촉이 금세 세리스의 무릎을 타고, 피부를 따라 올라왔다.	It wrapped around Siris' knees and kept rising, crawling up her body with a cold persistence.						0	3.2主线剧情
4	少女朝长廊尽头望了一眼，再走几步就是花根的位置。	少女朝長廊盡頭望了一眼，再走幾步就是花根的位置。	シーリスは廊下の奥を一瞥した。あと数歩で根っこの位置に辿り着けるようだ。	소녀는 긴 복도 끝을 멀리 내다보았다. 꽃 뿌리가 있는 곳까지 머지않았다.	She looked toward the end of the corridor — the root of the experimental plant was just a few steps away.						0	3.2主线剧情
5	但水上涨的速度快得出乎意料，没过几分钟就漫过了瑟瑞斯的腰部，最后将她整个身躯包裹其中。	但水上漲的速度快得出乎意料，沒過幾分鐘就漫過了瑟瑞斯的腰部，最後將她整個身軀包裹其中。	しかし水かさの増すスピードは予想以上に速く、数分もしないうちにシーリスの腰まで達し、ついに彼女の全身を包み込んだ。	하지만 물은 빠르고 거세게 불어났고, 몇 분도 채 지나지 않아 세리스의 허리를 넘어서더니, 결국 그녀의 온몸을 집어삼켰다.	But the water climbed faster than she could move, lapping at her waist, then pulling her under entirely.						0	3.2主线剧情
6	就差一点点了。	就差一點點了。	あと少しで……	거의 다 왔는데.	Almost there...						0	3.2主线剧情
7	瑟瑞斯的身体在水中无助地浮沉着，甚至离花根越来越远。	瑟瑞斯的身體在水中無助地浮沉著，甚至離花根越來越遠。	シーリスの体は水中で浮き沈みし、根っこからどんどん遠ざかっていく。	세리스의 몸은 물속에서 무기력하게 떠다녔고, 오히려 꽃 뿌리에서 점점 멀어져갔다.	Her limbs drifted, weightless. Her body was being carried away, further and further from the root.						0	3.2主线剧情
8	这是过敏反应吧……	這是過敏反應吧……	これって、アレルギーが出てるよね……	이건 알레르기 반응인가…	This must be the allergic reaction...						0	3.2主线剧情
9	她的声音在水中变得模糊而遥远，像是从深海传来的呢喃。	她的聲音在水中變得模糊而遙遠，像是從深海傳來的呢喃。	声は水中でぼやけ、遠くなり、深海から聞こえる囁きみたいになった。	그녀의 목소리는 심해에서 들려오는 속삭임처럼 물속에서 희미하고 아득해졌다.	Her voice dissolved into the water, no louder than a whisper from the depths.						0	3.2主线剧情
10	水流将她的话语打散，化作细小的气泡在她唇边破裂。	水流將她的話語打散，化作細小的氣泡在她唇邊破裂。	言葉は海水に散らされ、唇元から浮き上がる小さな泡となってはじけた。	물살이 그녀의 말을 흩어버렸고, 작은 거품이 되어 그녀의 입술에서 부서졌다.	The current scattered her words into bubbles that burst gently against her lips.						0	3.2主线剧情
11	虽然感官被眼前的一切冲击着，但瑟瑞斯感觉自己的脑子还保持着清醒，能够冷静地思考现状。	雖然感官被眼前的一切衝擊著，但瑟瑞斯感覺自己的腦子還保持著清醒，能夠冷靜地思考現狀。	目の前の光景に衝撃を受けているが、シーリスは自分がまだ冷静でいることに気づいた。	눈앞의 모든 것이 감각을 뒤흔들고 있었지만, 세리스는 자신이 지금 상황을 냉철하게 판단할 만큼 두뇌가 깨어 있다고 느꼈다.	Even as her senses blurred, her mind remained oddly lucid — she could still think straight.						0	3.2主线剧情
12	克罗瑞娜说过，孢子素只会对焦虑人群产生影响。	克羅瑞娜說過，孢子素只會對焦慮人群產生影響。	クラウリナは確か、スポロポレニンは不安を抱える人々にだけ影響を与えると言っていた。	클라리나가 말했듯이, 포자소는 불안한 사람들에게만 영향을 미친다.	Clarina had said the sporogenic pheromone only reacted to heightened anxiety.						0	3.2主线剧情
13	那自己内心深处最隐秘的恐惧究竟是什么呢？	那自己內心深處最隱秘的恐懼究竟是什麼呢？	なら、自分の心の奥底に潜んでいる、秘めたる恐怖とは一体なんなのか？	그렇다면 자기 마음속 깊은 곳에 가장 은밀하게 숨겨진 두려움은 과연 무엇일까?	So what was that fear buried deepest in her heart?						0	3.2主线剧情
14	恍惚间，那个温柔的声音又在耳边响起。	恍惚間，那個溫柔的聲音又在耳邊響起。	ぼんやりしていると、あの優しい声が再び耳元で響いた。	그 순간, 그 온화한 목소리가 다시 귓가에 울렸다.	In a haze, that gentle voice echoed once again in her mind.						0	3.2主线剧情
15	不要尝试记住这些动作，而是用身体来记住现在的感受……	不要嘗試記住這些動作，而是用身體來記住現在的感受……	今の感じを、身体で覚えてみよう。	이 자세들을 기억하려 하지 말고, 지금의 느낌을 몸으로 기억해 봐…	Don't rely on your brain to memorize the moves — feel them with your body.						0	3.2主线剧情
16	直到融入你的本能，让这种感觉成为你的一部分。	直到融入你的本能，讓這種感覺成為你的一部分。	それを本能に刷り込み、自分の一部にするんだ。	네 본능에 녹아들어 이 감각이 너의 일부가 될 때까지.	Let the feeling sink in. Make it second nature.						0	3.2主线剧情
