字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	也就是说…现在的我还没准备好吗……	也就是說…現在的我還沒準備好嗎……	つまり、今のあたしじゃ無理ってことだよね…？	그러니까… 난 아직 준비가 안 됐단 말이지…?	So... you think I'm still not ready.						0	3.3预告剧情
2	那分析员认为我欠缺的究竟是——	那分析員認為我欠缺的究竟是——	じゃさ、あたしには何が足りないの？	그러면 분석가는 나한테 뭐가 부족한 것 같아…?	Then what is it I'm missing?						0	3.3预告剧情
3	清醒的判断力。米娅，无论何时都要保持冷静。	清醒的判斷力。米婭，無論何時都要保持冷靜。	冷静な判断力、だな。どんな時でも、冷静さが大事だ。	냉철한 판단력. 미아, 어떤 상황에서도 침착함을 잃지 마.	Clarity of judgment. Mia, no matter what happens — you need to stay calm.						0	3.3预告剧情
4	但也不是说要压抑自己的情绪，明白什么时候该克制，什么时候该行动。	但也不是說要壓抑自己的情緒，明白什麼時候該克制，什麼時候該行動。	感情を殺せという意味じゃない。我慢すべきタイミングと行動するタイミングを見極める、ということだ。	감정을 억누르라는 말이 아니야. 언제 자제하고, 언제 행동해야 하는지를 알아야 해.	But that doesn't mean bottling things up. It means knowing when to hold back... and when to act.						0	3.3预告剧情
5	在踏上这条路之前，勇气和镇静，缺一不可。	在踏上這條路之前，勇氣和鎮靜，缺一不可。	ヘイムダルの隊員になるには、勇気と冷静さ、どちらも欠かせない。	이 길에 발을 들이기 전에, 용기와 침착함은 필수사항이야.	To walk this path, you'll need both courage and composure.						0	3.3预告剧情
6	勇气和镇静……勇气和镇静啊……	勇氣和鎮靜……勇氣和鎮靜啊……	勇気と冷静さ……か……	용기와 침착함… 용기와 침착함이라…	Courage and composure... courage and composure...						0	3.3预告剧情
7	米娅……	米婭……	ミア……	미아…	Mia...						0	3.3预告剧情
8	也就是说，我有些操之过急了吗……	也就是說，我有些操之過急了嗎……	あたし、焦りすぎてたのかなぁ……	그러니까, 내가 좀 성급했다는 말인가…	So I just need to be more patient, huh...?						0	3.3预告剧情
9	米娅，你有听见我在说话吗？	米婭，你有聽見我在說話嗎？	ミア、聞いてる？	미아, 내 말 듣고 있니?	Mia, are you listening to me?						0	3.3预告剧情
