ID	备注	类型	地图资产路劲	玩法	LuaClass	Loading图	背景音乐	背景环境音	加载额外参数
ID	Comments	Type	MapPath	GameMode	LuaClass	LoadingImage	Music	Ambience	AdditionParam
1	Entry	-1	/Game/Maps/Entry	/Game/Startup/BP_StartupMode.BP_StartupMode_C			BGM|UI|None		
2	MainMap	-1	/Game/Maps/MainMap	/Game/UI/Config/BP_UIGameMode.BP_UIGameMode_C	MainMap		BGM|UI|Main		
3	RoleSkinMap	-1	/Game/Maps/RoleSkin	/Game/UI/Config/BP_RoleSkinGameMode.BP_RoleSkinGameMode_C	RoleSkinMap				
									
10	测试用的空地	0	Level00/MonsterTestMap	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
11	大世界01	0	DLC2Level/OWLevel_01	BP_GameBaseMode			BGM|Fight|Openworld|SHGC,Battle|Off		
12	技能性能测试地图	0	Level00/Benchmark/SkillBenchmark	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
13	怪物技能性能测试地图	0	Level00/Benchmark/MonsterSkillBenchmark	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
14	自动跑PSO	0	AutoPSO	BP_AutoPSOGameMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
15	棋盘	0	/Game/Maps/chess/Chess	BP_ChessGameMode			BGM|UI|Main		
16	大鹏争霸性能测试	0	Level00/FarmWar_1	BP_GameBaseMode			BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off		
17	水体测试关	0	Level00/WaterBodyLevel/WaterTestMap	BP_GameBaseMode					
20	宿舍	-2	/Game/Maps/House/HouseMain	BP_HouseGameMode	HouseMap				
21	照相馆	-1	/Game/Blueprints/PhotoStudio/Maps/Map_PSMain						
22	宿舍3.5推币机游戏小场景	-3	/Game/Maps/House/SubLevels/Area91ArcadeGameRoom	BP_HouseGameMode			BGM|UI|DLC35_Dorm		
