字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	使用安全屋留下的设备，我顺利和芙提雅建立了联系，计划的大部分细节都需要她来帮忙完善。	使用安全屋留下的裝置，我順利和芙提雅建立了聯繫，計劃的大部分細節都需要她來幫忙完善。	セーフハウスにある通信設備を使って、私はフリティアに連絡した。計画の細部は、彼女に調整してもらわないと話にならない。	대피소에 남겨진 장비를 사용하여, 나는 무사히 프티야와 연락을 맺었고, 계획의 대부분 세부 사항을 그녀가 도와 완성해야 한다.	I was able to get in contact with Fritia by using equipment left behind in the safe house. I needed her help to perfect a majority of the plan's details.						0	
2	芙提雅能帮我伪造信息，引导那些人追查导演在网络遗留的蛛丝马迹，最终查到导演录制的部分黑料片段，让他们意识到现在掌控在我手中的这批资料有多高的价值。	芙提雅能幫我偽造訊息，引導那些人追查導演在網路遺留的蛛絲馬跡，最後查到導演錄製的部分黑料片段，讓他們意識到現在掌控在我手中的這批資料有多高的價值。	彼女には代わりに情報を偽造してもらう。ネット上で相手にディレクターが残した手がかりを調べるように誘導させて、最終的にはディレクターが撮った都合の悪い映像の一部をチラつかせる。これだけ見れば、相手は私達が持っている資料の価値に気づくだろう。	프티야는 정보를 위조해 감독이 인터넷에 남긴 실마리를 추적하도록 유도할 수 있다. 결국 그들은 감독이 녹화한 일부 약접 자료를 찾게 되어, 내가 현재 가지고 있는 이 정보의 가치가 얼마나 높은지 깨닫게 될 것이다.	Fritia could help me falsify information and ultimately guide the enemy to discover traces the director left on the internet. We would reveal some of the dirt the director had on them so that they would see how valuable the information I held really was.						0	
3	等到他们焦头烂额时，我会在适时让芙提雅向情报贩子“泄露”我们的行踪。	等到他們焦頭爛額時，我會在適時讓芙提雅向情報販子「洩漏」我們的行蹤。	やつらが血眼になって私達を探し始めたら、フリティアがタイミングを見計らって、情報屋に私達の情報をわざと流すように指示する。	그들이 당황할 때, 나는 적절한 시기에 프티야가 정보 판매자에게 우리의 위치를 '누설'하게 할 것이다.	Then just when they began to sweat, I would have Fritia "leak" our location to an outside intel buyer at the perfect time.						0	
4	那群人为了避免素材丢失、黑料扩散，必然会咬死我和龙舌兰的踪迹，被我们牵去最后演出的舞台。	那群人為了避免素材遺失、黑料擴散，必然會咬死我和龍舌蘭的蹤跡，被我們牽去最後演出的舞台。	素材や自身に関する映像のために、やつらはきっと食いついてくる。そうなれば、やつらを「最後の舞台」に誘導することだって可能だ。	그 사람들은 자료 손실과 비밀 유출을 피하기 위해 반드시 나와 아가베의 흔적을 쫓을 것이며, 우리는 그들을 마지막 공연 무대로 끌어갈 것이다.	To avoid damaging their interests or spreading their dirty laundry, I was sure the enemy would jump at the bait. We would lead them right to the final stage of performance.						0	
5	芙提雅，炸弹的布置，隐蔽式辅助翼装的运送，在规定时间内应该都能搞定吧？	芙提雅，炸彈的佈置，隱蔽式輔助翼裝的運送，在規定時間內應該都能搞定吧？	フリティア。爆弾の設置や補助翼装備の手配は時間までにできそうか？	프티야, 폭탄 설치와 은폐형 보조 윙슈트 운송은 정해진 시간 내에 모두 해결할 수 있겠지?	Fritia, the bombs and the concealed flight suit should be ready in time, right?						0	
6	时间绰绰有余，后勤会全力支援你们。	時間綽綽有餘，後勤會全力支援你們。	時間的に問題はないよ。バッチリ後方支援するね。	시간은 충분하니, 후방 지원은 전력으로 지원할 거야.	There's more than enough time. Logistics has your guys' backs.						0	
7	……等等，分析员，我有异议。	……等等，分析員，我有異議。	……待ってくれ、分析員。それは承服できない。	…잠깐만, 분석가, 이의가 있어.	...Wait, Adjutant. I have to object.						0	
8	开口打断我们对话的是晴。我联系芙提雅的时候，芙提雅正在给她进行装备的调试。得知我的计划后，她一起加入了这场会议的讨论。	開口打斷我們對話的是晴。我聯絡芙提雅的時候，芙提雅正在幫她進行裝備的調整。得知我的計劃後，她一起加入了這場會議的討論。	異を唱えたのは晴だ。私がフリティアに連絡したとき、フリティアはちょうど彼女の装備を整備していたらしい。私が計画を打ち明けると、彼女も議論に参加した。	우리 대화를 끊은 것은 하루였다. 내가 프티야와 연락할 때, 프티야는 그녀의 장비를 조정하고 있었다. 내 계획을 들은 후, 그녀도 이 회의에 참여했다.	Haru interrupted our conversation. When I had contacted Fritia, she was debugging Haru's equipment. After hearing about my plan, she joined our discussion.						0	
9	晴是觉得计划有什么问题吗？	晴是覺得計劃有什麼問題嗎？	何か問題でも？	하루는 계획에 어떤 문제가 있다고 생각하나요?	Haru, do you think there's something wrong with the plan?						0	
10	这太危险了，分析员。	這太危險了，分析員。	リスクが高すぎる。	너무 위험해, 분석가.	It's too dangerous, Adjutant.						0	
11	不用太担心，晴。我并非孤身奋战，龙舌兰会配合我。	不用太擔心，晴。我並非孤身奮戰，龍舌蘭會配合我。	心配することはないよ、晴。私ひとりでやるわけじゃない。アガベもいるじゃないか。	너무 걱정하지 마요, 하루. 나는 혼자 싸우는 것이 아니고 아가베가 나와 협력할 거예요.	You don't need to worry too much, Haru. I'm not alone. Agave is going to help me.						0	
