问卷ID	优先级(越大越优先)	互斥ID(同ID不可多次回答,100001为回归问卷)	问卷链接	调查表编号	密钥	回调地址	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 4日常本是否通关 5联机通关次数 8登陆天数大于 17登陆天数小于）	开始时间	结束时间	奖励道具列表	邮件标题	邮件内容	邮件发送人	邮件保存时间	大区限制	渠道限制	语言限制目前可填：{zh_CN,....}，不填则无限制
QuestID	Priority	MutexID	Link	Index	SecretKey	Callback	Condition	StartTime	EndTime	Rewards	Tittle	Content	Sender	Life	AreaLimit	ChannelLimit	LanguageLimit
1	5	1	https://www.diaochapai.com/survey/1381e0cb-8d03-4a4a-a6ff-aa3f9238512f	1381e0cb-8d03-4a4a-a6ff-aa3f9238512f	ae361a67b0bca68f032710a3b9288d14	http://qn.xoyo.com/questionnaireservice/autoclose.html	{{2,10112}}	[202203241000]	[202206301200]	{{5,9,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
2	4	2	https://www.diaochapai.com/survey/c952c90f-cdbf-47c5-a8c9-a1dfbf8af289	c952c90f-cdbf-47c5-a8c9-a1dfbf8af289	ae361a67b0bca68f032710a3b9288d14	http://qn.xoyo.com/questionnaireservice/autoclose.html	{{2,10312}}	[202204151000]	[202206301200]	{{5,9,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
3	2	3	https://www.diaochapai.com/survey/742c1a37-48fd-47f5-8fbd-ce1c61c991e0	742c1a37-48fd-47f5-8fbd-ce1c61c991e0	ae361a67b0bca68f032710a3b9288d14	http://qn.xoyo.com/questionnaireservice/autoclose.html	{{1,1}}	[202204201000]	[202206301200]	{{5,9,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
4	3	4	https://www.diaochapai.com/survey/c7d7bb4e-0960-4951-a4cd-62bdebe1f1ea	c7d7bb4e-0960-4951-a4cd-62bdebe1f1ea	ae361a67b0bca68f032710a3b9288d14	http://qn.xoyo.com/questionnaireservice/autoclose.html	{{5,1}}	[202203241000]	[202206301200]	{{5,9,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
1001	5	1001	https://www.diaochapai.com/survey/e600a384-e05c-4994-ab24-505df2c53539			https://www.project-snow.com/show-6974-59-1.html	{{1,1},{8,50}}	[202212061000]	[202301151200]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1}	{"jinshan","development"}	{"zh_CN"}
1002	5	1002	https://www.diaochapai.com/survey/e600a384-e05c-4994-ab24-505df2c53539			https://www.project-snow.com/show-6974-59-1.html	{{1,1}}	[202212061000]	[202301151200]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{11}		{"ja_JP"}
1003	5	1002	https://www.diaochapai.com/survey/e600a384-e05c-4994-ab24-505df2c53539			https://www.project-snow.com/show-6974-59-1.html	{{1,1}}	[202212061000]	[202301151200]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{11}		{"en_US"}
5	5	5	https://www.diaochapai.com/survey/08a0db11-c85b-4ca8-aab8-2fd4f3d29ad2	08a0db11-c85b-4ca8-aab8-2fd4f3d29ad2	ae361a67b0bca68f032710a3b9288d14	https://www.project-snow.com/show-6974-59-1.html	{{2,10109}}	[202201101000]	[202303011200]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
6	4	6	https://www.diaochapai.com/survey/20f2108d-7398-448e-8dd4-002227273487	20f2108d-7398-448e-8dd4-002227273487	ae361a67b0bca68f032710a3b9288d14	https://www.project-snow.com/show-6974-59-1.html	{{2,10208},{8,2}}	[202201101000]	[202303011200]	{{5,21,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
7	2	7	https://www.diaochapai.com/survey/8d7aa3a7-8116-4a6c-9b25-b06ad86c8eb2	8d7aa3a7-8116-4a6c-9b25-b06ad86c8eb2	ae361a67b0bca68f032710a3b9288d14	https://www.project-snow.com/show-6974-59-1.html	{{8,3}}	[202201101000]	[202303011200]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
8	3	8	https://www.diaochapai.com/survey/d42da15d-c17b-463c-9cc3-9eb3e0d8e2cb	d42da15d-c17b-463c-9cc3-9eb3e0d8e2cb	ae361a67b0bca68f032710a3b9288d14	https://www.project-snow.com/show-6974-59-1.html	{{2,10412},{8,3}}	[202201101000]	[202303011200]	{{5,21,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
9	3	9	https://www.diaochapai.com/survey/6fb13e40-f8b9-418c-a47c-4c669a93cdae	6fb13e40-f8b9-418c-a47c-4c669a93cdae	f5d250edf89bb2f68b871d509997c3a6	https://www.project-snow.com/show-6974-59-1.html	{{2,6085}}	[202303151600]	[202303201800]	{{5,6,1,2,400},{4,2,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
10	2	10	https://www.diaochapai.com/survey/dc213acc-92b0-4477-8ae5-74e006a77d60	dc213acc-92b0-4477-8ae5-74e006a77d60	f5d250edf89bb2f68b871d509997c3a6	https://www.project-snow.com/show-6974-59-1.html	{{2,6095}}	[202303171600]	[202303201800]	{{5,6,1,2,600}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
2001	5	2001	http://www.surveypie.com/survey/35ee936d-c8dc-4a3d-8168-70b670253245	35ee936d-c8dc-4a3d-8168-70b670253245	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10312}}	[202303231900]	[202303251800]	{{4,3,2,1,20}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			{"en_US"}
2002	4	2002	http://www.surveypie.com/survey/5d8ced7a-f8a0-4f80-b38b-ae937f2adcc8	5d8ced7a-f8a0-4f80-b38b-ae937f2adcc8	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10312}}	[202303231900]	[202303251800]	{{4,3,2,1,20}}	설문지 작성 장려금	설문지 작성 인센티브 분석원 안녕하세요, 이번 설문지 조사에 참여해 주셔서 감사합니다, 설문지 보너스를 받으세요!	系统	30			{"ko_KR"}
2003	5	2003	https://zh.surveymonkey.com/r/JSQQ776?lang=en&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202304111000]	[202304242300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30			{"en_US"}
2004	5	2003	https://zh.surveymonkey.com/r/JSQQ776?lang=ja&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202304111000]	[202304242300]	{{5,21,2,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30			{"ja_JP"}
2005	5	2003	https://zh.surveymonkey.com/r/JSQQ776?&lang=ko&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202304111000]	[202304242300]	{{5,21,2,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30			{"ko_KR"}
2006	5	2003	https://zh.surveymonkey.com/r/JSQQ776?ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202304111000]	[202304242300]	{{5,21,2,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30			{"zh_TW"}
2007	4	2007	https://zh.surveymonkey.com/r/JBNBJZ6?lang=en&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202304111000]	[202304242300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30			{"en_US"}
2008	4	2007	https://zh.surveymonkey.com/r/JBNBJZ6?lang=ja&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202304111000]	[202304242300]	{{5,21,1,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30			{"ja_JP"}
2009	4	2007	https://zh.surveymonkey.com/r/JBNBJZ6?lang=ko&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202304111000]	[202304242300]	{{5,21,1,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30			{"ko_KR"}
