少女ID	评价
Girl	Evaluate
1	house.MassageSucess_girl01_1
1	house.MassageSucess_girl01_2
1	house.MassageSucess_girl01_3
1	house.MassageSucess_girl01_4
1	house.MassageSucess_girl01_5
	
2	house.MassageSucess_girl02_1
2	house.MassageSucess_girl02_2
2	house.MassageSucess_girl02_3
2	house.MassageSucess_girl02_4
2	house.MassageSucess_girl02_5
	
8	house.MassageSucess_girl08_1
8	house.MassageSucess_girl08_2
8	house.MassageSucess_girl08_3
8	house.MassageSucess_girl08_4
8	house.MassageSucess_girl08_5
	
10	house.MassageSucess_girl10_1
10	house.MassageSucess_girl10_2
10	house.MassageSucess_girl10_3
10	house.MassageSucess_girl10_4
10	house.MassageSucess_girl10_5
	
15	house.MassageSucess_girl15_1
15	house.MassageSucess_girl15_2
15	house.MassageSucess_girl15_3
15	house.MassageSucess_girl15_4
15	house.MassageSucess_girl15_5
