角色id	触发情况（1开始，2短反馈，3胜利，4失败,5鼓励暂不用）	语音id	文本
NpcId	Condition	VoiceId	Null
1	1	40121	哟，那就麻烦你了。
1	1	40122	期待你露一手喽~
1	2	40123	嘶
1	2	40124	等哈哈
1	2	40125	唔~
1	5	40126	哦？感觉有效果。
1	5	40127	刚刚干得不错！
1	3	40128	可以继续趴着打游戏了，谢啦。
1	3	40129	确实不疼了，干得好分析员。
1	4	40130	身上好像更酸痛了……
			
2	1	40221	那么就拜托分析员了。
2	1	40222	我会好好配合你的。
2	2	40223	唔
2	2	40224	咳
2	2	40225	嗯
2	5	40226	刚刚感觉很好。
2	5	40227	待会儿可以再用力点。
2	3	40228	身体感觉轻松多了。
2	3	40229	分析员可以再陪我会儿吗？
2	4	40230	无论如何，还是谢谢分析员了。
			
8	1	40821	可不是谁都能为大明星服务的哦！
8	1	40822	不好好表现的话，本小姐可不会轻饶了你~
8	2	40823	唔！
8	2	40824	呵呵……
8	2	40825	啊~
8	5	40826	嗯~表现不错，等下继续哦。
8	5	40827	哈！就知道分析员和我心有灵犀~
8	3	40828	以后也要为本小姐好好服务哦。
8	3	40829	分析员，你看我的身材有没有更好一点呢？
8	4	40830	下一次，分析员可要再加把劲儿喽。
			
10	1	41021	（哈欠）哈哦~分析员快想办法帮我缓解疲劳吧！
10	1	41022	（伸懒腰）嗯啊~我来你这儿偷睡会儿嘿嘿。
10	2	41023	唔诶？
10	2	41024	噗呵~
10	2	41025	呼~
10	5	41026	刚刚舒服得我都快睡着了~
10	5	41027	嗯~歇会儿就继续吧。
10	3	41028	（伸懒腰）嗯——舒服了，再睡会儿~
10	3	41029	啊~一放松下来又困了~
10	4	41030	啊……更累了，我要请病假。
			
15	1	41521	呵呵呵，别让我等太久哦~
15	1	41522	现在这里，只有我们两个人。
15	2	41523	嘶——
15	2	41524	呵呵~
15	2	41525	嗯~
15	5	41526	呵呵呵，我已经开始期待下一轮~
15	5	41527	哦？干劲满满嘛~
15	3	41528	不再多陪我一会儿吗
15	3	41529	还想再来一轮吗
15	4	41530	下次，还是让我亲手教教你吧~
