字符串索引	中文简体	中文繁体	日语	韩语	英语	法语	西班牙语	德语	泰语	印尼语	1=临时文案  0和不填都=正式文案	备注
Key	zh_CN	zh_TW	ja_JP	ko_KR	en_US	fr_FR	es_ES	de_DE	th_TH	id_ID	disable	Remark
1	海姆达尔部队成员快速响应，用高超的作战能力迅速消灭了泰坦。	海姆達爾部隊成員快速響應，用高超的作戰能力迅速消滅了泰坦。	ヘイムダル部隊は迅速に対応し、卓越した作戦能力ですぐタイタンを殲滅した。	헤임달 대원들은 순식간에 엄청난 전투력으로 타이탄을 소멸시켰다.	The Heimdall Force operatives responded swiftly, immediately defeating the Titan with their incredible combat skills.						0	
2	或许是见到偶像星期三出现，会场的人们的情绪很快平静下来。迪特里希的无人机早已不知所踪。	或許是見到偶像星期三的身影，會場的人們的情緒很快便平復了下來。迪特里希的無人機早已不知去向。	憧れのウェンズデーに会えたおかげか、会場の人々はすぐ落ち着いてきた。ディートリッヒのドローンはとっくに消えてなくなった。	웬스데이가 나타나서인지 현장에 있던 사람들은 평정심을 되찾았고, 디트릭의 드론은 어느새 모습을 감추고 없었다.	Perhaps due to seeing their idol, Wednesday, the festivalgoers quickly calmed down. Dietrich's drone had long since disappeared.						0	
3	分析员，你看这个，我在这附近发现的哦。	分析員，你看這個，我在這附近發現的哦。	分析員、これを見て。近くで見つけたものだよ。	분석가, 이것 좀 봐. 이 근처에서 발견한 거야.	Adjutant, look at this. I found it nearby.						0	
b-1											0	
4	果然。	果然。	やっぱりね。	과연…	Surprise, surprise.						0	
5	我问过现场目击者，在逐光者开始直播前，这几个人的情绪就格外激动。	我問過現場目擊者，在逐光者開始直播前，這幾個人的情緒就格外激動。	ドローンが配信を始める前に、この数人はすでに激昂していた。	현장에 있는 목격자한테 물어봤는데, 축광단이 방송을 하기 전에 사람들의 감정이 갑자기 격해졌다고 했어.	I asked a few eyewitnesses who were especially emotional before the Light Chaser went live.						0	
6	最开始只是一句牢骚，逐渐发展成了咒骂，这才被他们捕捉到。	最開始只是一句牢騷，逐漸發展成了咒罵，這才被他們捕捉到。	最初はただ文句を一言垂れただけだったが、少しずつ罵り合いになり、そこをディートリッヒたちに撮られた。	처음에는 그냥 불평하는 정도였는데, 나중에는 욕까지 했고 그러고 나서 잡혔다고 해.	It started with a simple complaint, then gradually grew into cursing. That's the part they caught.						0	
7	咳，根据这一路发现的种种线索，芙提雅老师已经有了结论！	咳，根據這一路發現的種種線索，芙提雅老師已經有了結論！	コホン。これらの手がかりによって、フリティア先生は結論を導き出した！	흠흠… 이런저런 단서들을 취합한 결과, 프티야가 결론을 도출했어!	Ahem — according to several clues I've discovered along the way, Professor Fritia has already come to a conclusion!						0	
8	消除掉逐光者的干扰因素，那么真相只有一个！	消除掉逐光者的干擾因素，那麼真相只有一個！	逐光者というノイズを除くと、真実はただひとつ！	축광단이 방해했던 요소들을 모두 없애면 진실은 단 하나!	Removing the Light Chasers as a distraction, there is only one true answer!						0	
