怪物ID	词条1图标命名	词条1说明文本	词条2图标	词条2说明文本
ID	ReferIcon_01	Key_01	ReferIcon_02	Key_02
470121701	1001707	Alien_Tagdescribe_008		
470121201	1001707	Alien_Tagdescribe_008		
470121301	1001707	Alien_Tagdescribe_008	1001700	Alien_Tagdescribe_001
470121601	1001707	Alien_Tagdescribe_008	1001703	Alien_Tagdescribe_004
470121501	1001707	Alien_Tagdescribe_008	1001702	Alien_Tagdescribe_003
470120201	1001704	Alien_Tagdescribe_005		
470131001	1001704	Alien_Tagdescribe_005	1001705	Alien_Tagdescribe_006
470100801	1001701	Alien_Tagdescribe_002		
470101301	1001712	Alien_Tagdescribe_013		
470130601	1001712	Alien_Tagdescribe_013	1001704	Alien_Tagdescribe_005
470121702	1001711	Alien_Tagdescribe_012		
470121202	1001711	Alien_Tagdescribe_012		
470121302	1001711	Alien_Tagdescribe_012	1001700	Alien_Tagdescribe_001
470121502	1001711	Alien_Tagdescribe_012	1001702	Alien_Tagdescribe_003
470121602	1001711	Alien_Tagdescribe_012	1001703	Alien_Tagdescribe_004
470121704	1001708	Alien_Tagdescribe_009		
470121204	1001708	Alien_Tagdescribe_009		
470121304	1001708	Alien_Tagdescribe_009	1001700	Alien_Tagdescribe_001
470121504	1001708	Alien_Tagdescribe_009	1001702	Alien_Tagdescribe_003
470121604	1001708	Alien_Tagdescribe_009	1001703	Alien_Tagdescribe_004
470121703	1001709	Alien_Tagdescribe_010		
470121203	1001709	Alien_Tagdescribe_010		
470121303	1001709	Alien_Tagdescribe_010	1001700	Alien_Tagdescribe_001
470121503	1001709	Alien_Tagdescribe_010	1001702	Alien_Tagdescribe_003
470121603	1001709	Alien_Tagdescribe_010	1001703	Alien_Tagdescribe_004
470121705	1001710	Alien_Tagdescribe_011		
470121205	1001710	Alien_Tagdescribe_011		
470121305	1001710	Alien_Tagdescribe_011	1001700	Alien_Tagdescribe_001
470121505	1001710	Alien_Tagdescribe_011	1001702	Alien_Tagdescribe_003
470121605	1001710	Alien_Tagdescribe_011	1001703	Alien_Tagdescribe_004
570121401				
570100901				
570100101	1001700	Alien_Tagdescribe_001		
570101701				
570111301				
570110901				
670120701				
670120501				
670100201				
670160201				
