ID	对应关卡图标	备注	开启时间	结束时间	关卡类型(普通1 挑战2 无尽3 )	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	下一关ID	获取积分上线	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	Buffid {{buffID}，无尽关卡的数组将每日往后取一个}	关卡概念图	任务资源	索引到具体BOSS
ID	ReferIcon	Comments	StartTime	EndTime	LevelType	MapID	FightID	Condition	NextID	Scorelimit	Monster	LevelStrength	ReferBuff	PictureLevel	TaskPath	BossID
6201	1001357	1期线性第1关	[202502131000]	[202503050400]	1	6201	1		6202		{470121701}	23		1801016	AlienDefense/AD01Normal01.AD01Normal01	
6202	1001365	1期线性第2关	[202502131000]	[202503050400]	1	6202	1	{{2,6201}}	6203		{470121701}	23	{{1001}}	1801000	AlienDefense/AD01Normal02.AD01Normal02	
6203	1001364	1期线性第3关	[202502131000]	[202503050400]	1	6203	1	{{2,6202}}	6204		{470121701,470121201}	23	{{1001}}	1801000	AlienDefense/AD01Normal03.AD01Normal03	
6204	1001361	1期线性第4关	[202502131000]	[202503050400]	1	6204	1	{{2,6203}}	6205		{470121701,470121201,470121501}	23	{{1002}}	1801000	AlienDefense/AD01Normal04.AD01Normal04	
6205	1001360	1期线性第5关	[202502131000]	[202503050400]	1	6205	1	{{2,6204}}	6206		{470121701,470121201,470121501}	23	{{1002}}	1801004	AlienDefense/AD01Normal05.AD01Normal05	
6206	1001362	1期线性第6关	[202502131000]	[202503050400]	1	6206	1	{{2,6205}}	6207		{470121701,470121201,470131001}	23	{{1003}}	1801004	AlienDefense/AD01Normal06.AD01Normal06	
6207	1001363	1期线性第7关	[202502131000]	[202503050400]	1	6207	1	{{2,6206}}	6208		{470121701,470121301,470131001}	23	{{1003}}	1801004	AlienDefense/AD01Normal07.AD01Normal07	
6208	1001359	1期线性第8关	[202502131000]	[202503050400]	1	6208	1	{{2,6207}}	6209		{470121701,470121201,470121301}	23	{{1004}}	1801003	AlienDefense/AD01Normal08.AD01Normal08	
6209	1001358	1期线性第9关	[202502131000]	[202503050400]	1	6209	1	{{2,6208}}	6210		{470121201,470121301,470121501}	23	{{1004}}	1801003	AlienDefense/AD01Normal09.AD01Normal09	
6210	1001356	1期线性第10关	[202502131000]	[202503050400]	1	6210	1	{{2,6209}}			{470121701,470121501,470131001}	23	{{1005}}	1801003	AlienDefense/AD01Normal10.AD01Normal10	
6211	1001360	2期线性第1关	[202504281000]	[202505180400]	1	6211	1		6212		{470121701,470121201,470121601}	23	{{1002}}	1801000	AlienDefense/AD02Normal01.AD02Normal01	
