活动ID（期数）	类型（1.伙伴 2.机枪 3.终极伙伴）	伙伴ID	备注	伙伴解锁条件1,不用通用condition逻辑（0,默认解锁；1,关卡id,通关次数；2,关卡id（不填默认为无尽关卡），击杀数量）	伙伴解锁描述	伙伴名称	伙伴图标	图标底板颜色	伙伴技能	伙伴默认升级卡组	伙伴局外解锁升级卡1	局外升级卡1解锁条件，不用通用condition逻辑（“0,默认解锁”；“1,关卡id,通关次数，类型标记（为了和伙伴解锁区分开）”；“2,关卡id，击杀数量;3，关卡类型，次数）”	局外升级卡1解锁条件描述	伙伴局外被动1	局外被动1解锁条件，不用通用condition逻辑（（1,关卡id,通关次数；2,关卡id（不填默认为无尽关卡），击杀数量）	局外被动1解锁条件描述	元素类型（1高热2电击3低温4动能5特异）	伙伴局外被动2	局外被动2解锁条件，不用通用condition逻辑（活动货币gpdl，数量）	伙伴局外被动3	局外被动3解锁条件，不用通用condition逻辑（活动货币gpdl，数量）	伙伴局外被动4	局外被动4解锁条件，不用通用condition逻辑（活动货币gpdl，数量）	全局提升（属性id，提升数值）	伙伴怪物ID	攻击动画路径	动作提前时间	技能释放距离	升级合成能量	合成产物ID
SeasonID	Pal_Type	Id	Common	Condition	PalUnlockDes	Name	Icon	IconBgColor	Skill	DefaultUpgradeGroup	ExtraUpgrade01	ExtraUpgrade01Condition	ExtraUpgrade01UnlockDes	ExtraPassive01	ExtraPassive01Condition	ExtraPassive01UnlockDes	ElementType	ExtraPassive02	ExtraPassive02Cost	ExtraPassive03	ExtraPassive03Cost	ExtraPassive04	ExtraPassive04Cost	Globalstats	MonsterId	AttackAnimPath	AttackDelay	SkillAttackDistance	CombineNumber	CombineID
1	1	1	炽热投手-空中轰炸			monster.4001016_name	1804039	#dd6148	3800101	{1101,1102,1103,1104,1105,1106,1,2,1109,1110}	{3,4}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{1301}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	1								471001105	/Game/Blueprints/Character/Monster/Mon_016/Animation/AM_Mon016_Skill01_AD.AM_Mon016_Skill01_AD	0.1	3000		
1	1	2	钢珠-燃烧弹	{1,6201,1}	aliendefence.Alien_PalUnlock1	monster.4001005_name	1804005	#dd6148	3800201	{2101,2102,2103,5,6,2106,2107,7,8,9}	{10,11}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{2301}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	1								471001106	/Game/Blueprints/Character/Monster/Mon_005/Animation/AM_mon005_Skill01.AM_mon005_Skill01	0.1	1000		
1	1	3	波伏娃-落雷			monster.4001101_name	1804014	#4fd7dc	3800301	{3101,3102,3103,3104,3105,3106,3107,3108,3109,12}	{13,14}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{3301}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	2								471001101	/Game/Blueprints/Character/Monster/Mon_101/Animation/AM_mon101_Skill03.AM_mon101_Skill03	0.1	3500		
1	1	4	幻射会员-电磁炮弹	{1,6203,1}	aliendefence.Alien_PalUnlock2	monster.5001111_name	1804047	#4fd7dc	3800401	{4101,4102,4103,4104,4105,4106,4107,4108,4109,4110}	{4201,4202}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{4301}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	2								471001107	/Game/Blueprints/Character/Monster/Mon_111/Animation/AM_mon111_Skill01.AM_mon111_Skill01	0.1	2800		
1	1	5	净化官（寒冰）-寒冰弹	{1,6205,1}	aliendefence.Alien_PalUnlock3	monster.5001110_name	1804023	#3d7cda	3800501	{15,16,5103,5104,5105,5106,5107,17,5109,5110}	{18,19}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{20}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	3								471001102	/Game/Blueprints/Character/Monster/Mon_110/Animation/AM_Mon110_Skill03_01.AM_Mon110_Skill03_01	0.1	3300		
1	1	6	武装会员-寒冰激光网	{1,6206,1}	aliendefence.Alien_PalUnlock4	monster.4101104_name	1804017	#3d7cda	3800601	{6101,6102,21,22,23,6105,26,27,6108,6109}	{24,25}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{6301}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	3								471001103	/Game/Blueprints/Character/Monster/Mon_104/Animation/AM_mon104_Skill01_R.AM_mon104_Skill01_R	0.1	4000		
1	1	7	猛火-轨道激光	{1,6207,1}	aliendefence.Alien_PalUnlock5	monster.5001018_name	1804107	#ffc556	3800701	{7101,7102,28,29,7105,7106,7107,7108,7109,7103}	{30,31}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{32}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	4								471001104	/Game/Blueprints/Character/Monster/Mon_018/Animation/AM_mon018_Skill01.AM_mon018_Skill01	0.1	2800		
1	1	8	赐福者-引力球	{1,6209,1}	aliendefence.Alien_PalUnlock6	monster.5001118_name	1804137	#5eedb9	3800801	{8101,33,34,8105,8106,35,36,37,8109,8110}	{8201,8202}	{1,6901,2,1}	aliendefence.Alien_PalExtraUnlock1	{38}	{2,0,1000}	aliendefence.Alien_PalPassiveUnlock1	4								471001108	/Game/Blueprints/Character/Monster/Mon_118/Animation/AM_mon118_Skill02.AM_mon118_Skill02	0.1	2500		
	1																													
