升级卡牌ID	备注	升级卡技能ID	通用和机枪modifier	修改技能释放举例	机枪子弹数量修改	升级卡类型（1普通升级2强力升级3特殊被动4通用被动）	特殊升级（1机枪升级树 2防线通用 3伙伴通用 4机枪通用 5机枪特殊）	战斗内前置升级卡id	是否是减CD升级	升级品质（1绿2蓝3紫4橙）	自动选择优先级（从高到低）	卡牌图标	卡牌名称	卡牌描述	卡牌描述参数	卡牌差值描述
Id	Common	SkillId	ModifierId	SkillAttackDistanceFix	TurretBulletNum	UpgradeType	SpecialUpgrade	PreUpgradeId	IsReduceCd	UpgradeLevel	AutoChooseLevel	Icon	Name	Des	DescValue	DifferenceDes
1101	轰炸次数+1，轰炸伤害降低20%	380010101				1				4	4	1001334	aliendefence.Upgrade_01_01_01_name	aliendefence.Upgrade_01_01_01_des	{1,20}	
1102	轰炸次数+1，轰炸伤害降低20%	380010102				1		1101		4	4	1001334	aliendefence.Upgrade_01_01_02_name	aliendefence.Upgrade_01_01_01_des	{1,20}	
1103	轰炸次数+1，轰炸伤害降低20%	380010103				1		1102		4	4	1001334	aliendefence.Upgrade_01_01_03_name	aliendefence.Upgrade_01_01_01_des	{1,20}	
1104	轰炸次数+1，轰炸伤害降低20%	380010104				1		1103		4	4	1001334	aliendefence.Upgrade_01_01_04_name	aliendefence.Upgrade_01_01_01_des	{1,20}	
1105	轰炸范围+100%	380010201				1				3	3	1001335	aliendefence.Upgrade_01_02_name	aliendefence.Upgrade_01_02_des	{100}	
1106	轰炸对敌人造成2秒灼烧	380010301				1				2	2	1001342	aliendefence.Upgrade_01_03_01_name	aliendefence.Upgrade_01_03_des	{2}	
1107	轰炸造成的灼烧+2秒，灼烧伤害增加60%	380010801				1		1106		2	2	1001342	aliendefence.Upgrade_01_03_02_name	aliendefence.Upgrade_01_04_01_des	{2,60}	
1108	轰炸伤害+20%，并击退敌人2米	380010901				1				2	2	1001339	aliendefence.Upgrade_01_06_01_name	aliendefence.Upgrade_01_07_des	{20,2}	
1109	轰炸伤害+60%	380010501				1				2	2	1001337	aliendefence.Upgrade_01_05_01_name	aliendefence.Upgrade_01_06_des	{60}	
1110	轰炸伤害+60%	380010502				1		1109		2	2	1001337	aliendefence.Upgrade_01_05_02_name	aliendefence.Upgrade_01_06_des	{60}	
1201	轰炸在地面留下持续3秒的火焰陷阱	380010401				2				3	3	1001342	aliendefence.Upgrade_01_04_01_name	aliendefence.Upgrade_01_05_des	{3}	
1202	火焰陷阱伤害增加60%，增加易伤20%	380011001				2		1201		3	3	1001342	aliendefence.Upgrade_01_04_02_name	aliendefence.Upgrade_01_05_01_des	{60,20}	
1301	基础轰炸次数+1	380010701				3				4	4	1001334	aliendefence.Upgrade_01_07_name	aliendefence.Upgrade_01_09_des	{1}	
2101	燃烧弹投掷次数+1	380020101				1				4	4	1001334	aliendefence.Upgrade_02_01_01_name	aliendefence.Upgrade_02_01_des	{1}	
2102	燃烧弹投掷次数+1	380020102				1		2101		4	4	1001334	aliendefence.Upgrade_02_01_02_name	aliendefence.Upgrade_02_01_des	{1}	
2103	火焰陷阱范围+100%	380020201				1				4	4	1001335	aliendefence.Upgrade_02_02_name	aliendefence.Upgrade_02_02_des	{100}	
2104	火焰陷阱对异常敌人增伤30%	380020901				1				2	2	1001342	aliendefence.Upgrade_02_09_01_name	aliendefence.Upgrade_02_11_des	{30}	
2105	火焰陷阱对异常敌人增伤30%	380020902				1		2104		2	2	1001342	aliendefence.Upgrade_02_09_02_name	aliendefence.Upgrade_02_11_des	{30}	
2106	火焰陷阱伤害+60%	380020401				1				2	2	1001337	aliendefence.Upgrade_02_04_01_name	aliendefence.Upgrade_02_05_des	{60}	
2107	火焰陷阱伤害+60%	380020402				1		2106		2	2	1001337	aliendefence.Upgrade_02_04_02_name	aliendefence.Upgrade_02_05_des	{60}	
2108	火焰陷阱结束时产生3米的爆炸	380020701				1				2	2	1001346	aliendefence.Upgrade_02_07_01_name	aliendefence.Upgrade_02_08_des	{3}	
2109	火焰陷阱结束时爆炸的范围+3米	380020702				1		2108		2	2	1001346	aliendefence.Upgrade_02_07_02_name	aliendefence.Upgrade_02_09_des	{3}	
2110	火焰陷阱伤害频率增加20%	380021001				1				3	3	1001346	aliendefence.Upgrade_02_10_name	aliendefence.Upgrade_02_12_des	{20}	
2201	火焰陷阱内的敌人移速-30%，持续3秒	380021101				2				3	3	1001338	aliendefence.Upgrade_02_06_01_name	aliendefence.Upgrade_02_07_01_des	{30,3}	
2202	火焰陷阱内的敌人移速-50%，离开后还能持续5秒	380021102				2		2201		3	3	1001338	aliendefence.Upgrade_02_06_02_name	aliendefence.Upgrade_02_07_02_des	{50,5}	
2301	技能触发范围+10米，火焰陷阱伤害+30%	380020801		1000		3				3	3	1001335	aliendefence.Upgrade_02_08_name	aliendefence.Upgrade_02_10_01_des	{10,30}	
3101	落雷释放次数+1	380030101				1				4	4	1001334	aliendefence.Upgrade_03_01_01_name	aliendefence.Upgrade_03_01_des	{1}	
3102	落雷释放次数+1	380030102				1		3101		4	4	1001334	aliendefence.Upgrade_03_01_02_name	aliendefence.Upgrade_03_01_des	{1}	
3103	落雷释放次数+1	380030103				1		3102		4	4	1001334	aliendefence.Upgrade_03_01_03_name	aliendefence.Upgrade_03_01_des	{1}	
3104	落雷在地面产生持续5秒的电磁地面	380030201				1				3	3	1001344	aliendefence.Upgrade_03_02_name	aliendefence.Upgrade_03_02_des	{5}	
3105	电磁地面每秒造成0.5秒麻痹	380030301				1		3104		2	2	1001344	aliendefence.Upgrade_03_07_name	aliendefence.Upgrade_03_08_02_des	{0.5}	
3106	落雷伤害+100%	380030401				1				2	2	1001337	aliendefence.Upgrade_03_04_01_name	aliendefence.Upgrade_03_05_des	{100}	
3107	落雷伤害+100%	380030402				1		3106		2	2	1001337	aliendefence.Upgrade_03_04_02_name	aliendefence.Upgrade_03_05_des	{100}	
3108	落雷伤害+100%	380030403				1		3107		2	2	1001337	aliendefence.Upgrade_03_04_03_name	aliendefence.Upgrade_03_05_des	{100}	
3109	电磁地面伤害+100%	380030501				1		3104		3	3	1001337	aliendefence.Upgrade_03_05_01_name	aliendefence.Upgrade_03_06_des	{100}	
3110	电磁地面面积增加50%	380030801				1		3104		2	2	1001344	aliendefence.Upgrade_03_08_name	aliendefence.Upgrade_03_09_des	{50}	
3201	命中敌人产生闪电箭，飞行8秒，无限穿透	380030903				2				3	3	1001337	aliendefence.Upgrade_03_09_01_name	aliendefence.Upgrade_03_10_01_des	{8}	
3202	闪电箭命中敌人造成1秒麻痹，闪电箭伤害增加60%	380030904				2		3201		4	4	1001337	aliendefence.Upgrade_03_09_02_name	aliendefence.Upgrade_03_10_02_des	{1,60}	
3301	落雷命中造成3秒麻痹,落雷伤害+60%	380030701				3				3	3	1001344	aliendefence.Upgrade_03_07_name	aliendefence.Upgrade_03_04_01_des	{3,60}	
4101	发射电磁炮弹数量+1，伤害-20%	380040101				1				3	3	1001334	aliendefence.Upgrade_04_01_01_name	aliendefence.Upgrade_04_01_01_des	{1,20}	
4102	发射电磁炮弹数量+1，伤害-20%	380040102				1		4101		3	3	1001334	aliendefence.Upgrade_04_01_02_name	aliendefence.Upgrade_04_01_01_des	{1,20}	
4103	发射电磁炮弹轮次+1	380040201				1				4	4	1001334	aliendefence.Upgrade_04_02_01_name	aliendefence.Upgrade_04_02_des	{1}	
4104	发射电磁炮弹轮次+1	380040202				1		4103		4	4	1001334	aliendefence.Upgrade_04_02_02_name	aliendefence.Upgrade_04_02_des	{1}	
4105	电磁炮弹命中造成1.5米的电磁爆炸	380040301				1				3	3	1001346	aliendefence.Upgrade_04_03_01_name	aliendefence.Upgrade_04_03_des	{1.5}	
4106	电磁爆炸范围+100%	380040302				1		4105		3	3	1001346	aliendefence.Upgrade_04_03_02_name	aliendefence.Upgrade_04_04_des	{100}	
4107	电磁炮弹造成1秒的麻痹	380040401				1				2	2	1001344	aliendefence.Upgrade_04_04_01_name	aliendefence.Upgrade_04_05_des	{1}	
4108	电磁炮弹造成的麻痹+1秒	380040402				1		4107		2	2	1001344	aliendefence.Upgrade_04_04_02_name	aliendefence.Upgrade_04_06_des	{1}	
4109	电磁炮弹伤害+60%	380040501				1				2	2	1001337	aliendefence.Upgrade_04_05_01_name	aliendefence.Upgrade_04_07_des	{60}	
4110	电磁炮弹伤害+60%	380040502				1		4109		2	2	1001337	aliendefence.Upgrade_04_05_02_name	aliendefence.Upgrade_04_07_des	{60}	
4201	电磁爆炸造成1秒的麻痹	380040601				2		4105		4	4	1001344	aliendefence.Upgrade_04_06_01_name	aliendefence.Upgrade_04_08_des	{1}	
4202	电磁爆炸造成的麻痹+1秒	380040602				2		4201		4	4	1001344	aliendefence.Upgrade_04_06_02_name	aliendefence.Upgrade_04_09_des	{1}	
4301	电磁炮弹穿透敌人次数+1	380040701				3				4	4	1001341	aliendefence.Upgrade_04_07_name	aliendefence.Upgrade_04_10_des	{1}	
5101	发射寒冰弹数量+1,寒冰弹伤害-20%	380050801				1				3	3	1001334	aliendefence.Upgrade_05_01_01_name	aliendefence.Upgrade_05_01_01_des	{1,20}	
5102	发射寒冰弹数量+1,寒冰弹伤害-20%	380050802				1		5101		3	3	1001334	aliendefence.Upgrade_05_01_02_name	aliendefence.Upgrade_05_01_01_des	{1,20}	
5103	发射寒冰弹轮次+1	380050201				1				4	4	1001334	aliendefence.Upgrade_05_02_01_name	aliendefence.Upgrade_05_02_des	{1}	
5104	发射寒冰弹轮次+1	380050202				1		5103		4	4	1001334	aliendefence.Upgrade_05_02_02_name	aliendefence.Upgrade_05_02_des	{1}	
5105	寒冰弹击退敌人3米，伤害+45%	380050301				1				2	2	1001339	aliendefence.Upgrade_05_03_01_name	aliendefence.Upgrade_05_03_des	{3,45}	
5106	寒冰弹击退距离+3米，伤害+45%	380050302				1		5105		2	2	1001339	aliendefence.Upgrade_05_03_02_name	aliendefence.Upgrade_05_04_des	{3,45}	
