活动ID（期数）	索引	所需积分	奖励
SeasonID	Index	NeedScore	ScoreAward
1	1	3000	{{4,3,1,1,6000}}
1	2	4500	{{5,29,10,1,10}}
1	3	6000	{{4,3,1,1,6000}}
1	4	7500	{{5,29,10,1,10}}
1	5	9000	{{4,3,1,1,6000}}
1	6	12000	{{5,29,10,1,10}}
1	7	16000	{{4,3,1,1,6000}}
1	8	20000	{{5,29,10,1,10}}
1	9	24000	{{4,3,1,1,6000}}
1	10	28000	{{5,29,10,1,10}}
1	11	32000	{{4,3,1,1,6000}}
1	12	36000	{{5,29,10,1,10}}
1	13	40000	{{4,3,1,1,6000}}
1	14	44300	{{5,29,10,1,10}}
1	15	48600	{{13,1,20,1,1}}
1	16	52900	{{4,3,1,1,6000}}
1	17	57200	{{5,29,10,1,10}}
1	18	61500	{{4,3,1,1,6000}}
1	19	65800	{{5,29,10,1,10}}
1	20	70000	{{4,3,1,1,6000}}
			
2	1	3000	{{4,3,1,1,6000}}
2	2	4000	{{4,1,26,1,200}}
2	3	5000	{{5,29,12,1,10}}
2	4	6500	{{4,1,26,1,200}}
2	5	8000	{{4,3,1,1,6000}}
2	6	9500	{{4,1,26,1,200}}
2	7	11000	{{5,29,12,1,10}}
2	8	12500	{{4,1,26,1,200}}
2	9	14000	{{4,3,1,1,6000}}
2	10	15500	{{4,1,26,1,200}}
2	11	17000	{{5,29,12,1,10}}
2	12	18500	{{4,1,26,1,200}}
2	13	20000	{{4,3,1,1,6000}}
2	14	21500	{{4,1,26,1,200}}
2	15	24000	{{5,29,12,1,10}}
2	16	26500	{{4,1,26,1,200}}
2	17	29000	{{4,3,1,1,6000}}
2	18	31500	{{4,1,26,1,200}}
2	19	34000	{{5,29,12,1,10}}
2	20	36500	{{4,1,26,1,200}}
2	21	39000	{{4,3,1,1,6000}}
2	22	41500	{{4,1,26,1,200}}
2	23	44000	{{5,29,12,1,10}}
2	24	46500	{{4,1,26,1,200}}
2	25	49000	{{13,1,25,1,1}}
2	26	51500	{{4,1,26,1,200}}
2	27	53000	{{5,29,12,1,10}}
2	28	54500	{{4,1,26,1,200}}
2	29	56000	{{5,29,12,1,10}}
2	30	57500	{{4,1,26,1,200}}
2	31	59000	{{4,3,1,1,6000}}
2	32	60500	{{4,1,26,1,200}}
2	33	62000	{{4,3,1,1,6000}}
2	34	63500	{{4,1,26,1,400}}
2	35	65000	{{4,3,1,1,6000}}
2	36	66500	{{4,1,26,1,200}}
2	37	68000	{{5,29,12,1,10}}
2	38	69500	{{4,1,26,1,200}}
