字符串索引	说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Speaker	WwiseEventID	zh_CN	disable	Remark
page1.1	H主角		这么急着找我是有什么事吗？		
page1.2	H茉莉安		是的，分析员，我有一个好消息。		
page1.3	H主角		什么好消息？		
page1.4	H茉莉安		我前不久得知，著名的心外科医生吴博士最近日程有了点时间。		
page1.5	H茉莉安		很巧的是，我家里刚给吴博士的研究项目捐赠了一批研究器材和经费。		
page1.6	H主角		这是很好的事，想不到你家里人这么支持医学研究。		
page1.7	H茉莉安		我想说的重点不是这个，我请求父亲帮我争取到了吴博士的日程。		
page1.8	H茉莉安		拜托了吴博士帮分析员治疗！		
page1.9	H主角		谢谢你，茉莉安。		
page1.10	H茉莉安		不用谢！分析员最近有空吗？或者请个假，这样就可以快点接受治疗。		
page1.11	H主角		茉莉安，你不用太担心，我目前没什么问题。		
page1.12	H茉莉安		可是，我还是担心分析员的状态，至少让医生检查一下也可以。		
page1.13	H主角		没事的，我现在不是好好的吗？就算有事，公司的医生也是一流的，你真的不用担心。		
page1.14	H茉莉安		嗯……我知道了。不过分析员要是有什么不舒服请一定要告诉我！		
page1.15	H主角		好，我知道了。		
page1.16	H主角		不过话说回来，你说的“很巧”家里给吴博士捐赠了器材和经费……这个“很巧”是你促成的吧？		
page1.17	H茉莉安		这……我……我只是太担心分析员了……		
page1.18	H主角		谢谢你，茉莉安，为我做了这么多。		
page1.19	H茉莉安		不用这么客气，我都是自愿的，为了分析员的话，我……		
page1.20	H主角		嗯，我都知道。		
