ID	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具）	Logo	大图200*200	道具130*130	货币50*50	礼包400*400
ID	Comment	Define	Logo	P2	P3	P10	P14
1510001	战斗记录1	15		110001200	110001201	110001202	
1510002	战斗记录2	15		110001300	110001301	110001302	
1510003	战斗记录3	15		110001400	110001401	110001402	
1510004	战斗记录4	15		110001500	110001501	110001502	
1510005	强化套件1	15		110002700	110002701	110002702	
1510006	强化套件2	15		110002800	110002801	110002802	
1510007	强化套件3	15		110002900	110002901	110002902	
1510008	强化套件4	15		110003000	110003001	110003002	
1510009	职级认证甲	15		110004800	110004801	110004802	
1510010	职级认证乙	15		110004900	110004901	110004902	
1510011	职级认证丙	15		110005000	110005001	110005002	
1510012	职级认证丁	15		110005100	110005101	110005102	
1510013	碎片	15		110002300	110002301	110002302	
1510014	合成颗粒	15		110003100	110003101	110003102	
1510015	芳烃塑料	15		110003200	110003201	110003202	
1510016	单极纤维	15		110003300	110003301	110003302	
1510017	碳原子板	15		110003400	110003401	110003402	
1510018	低温钢	15		110003500	110003501	110003502	
1510019	磁性钛	15		110003600	110003601	110003602	
1510020	智能合金	15		110003700	110003701	110003702	
1510021	人事档案	15		110004100	110004101	110004102	
1510022	后勤信物	15		110004200	110004201	110004202	
1510023	人事额度	15		110004600	110004601	110004602	
1510024	过氧胆碱	15		110001600	110001601	110001602	
1510025	甲基单胺	15		110001700	110001701	110001702	
1510026	异氨酸	15		110001800	110001801	110001802	
1510027	神格肽	15		110001900	110001901	110001902	
1510028	高通量树突	15		110002000	110002001	110002002	
1510029	光纤轴突	15		110002100	110002101	110002102	
1510030	量子胞体	15		110002200	110002201	110002202	
1510031	瓦尔哈拉凭证	15		110005709	110005710	110005711	
1510032	武器申请书	15		110000100	110000101	110000102	
1510033	动能溶胶	15		110003800	110003801	110003802	
1510034	全向溶胶	15		110003900	110003901	110003902	
1510035	月卡	15		110004700	110004701	110004702	
1510036	联机道具（临时	15		110000900	110000901	110000902	
1510037	嘉奖识别码	15		110005300	110005301	110005302	
1510038	配给识别码	15		110005200	110005201	110005202	
1510039	浓缩泰坦结晶	15		110000700	110000701	110000702	
1510040	虚构内啡肽	15		110000800	110000801	110000802	
							
1510041	通用后勤展示	15		110001100	110001101	110001102	
							
1510042	共鸣增幅剂	15		110000900	110000901	110000902	
1510043	原初思念片段	15		110005500	110005501	110005502	
1510044	新选思念片段	15		110005600	110005601	110005602	
							
1510045	通用银			110000200	110000201	110000202	
1510046	数据金			110000300	110000301	110000302	
1510047	账号经验			110001000	110001001	110001002	
1510048	比特金（6元充值）			110000400	110000401	110000402	
1510049	比特金（30元充值）			110000400	110000401	110000402	
1510050	比特金（68元充值）			110000400	110000401	110000402	
1510051	比特金（128元充值）			110000400	110000401	110000402	
1510052	比特金（328元充值）			110000400	110000401	110000402	
1510053	比特金（648元充值）			110000400	110000401	110000402	
1510054	体力药(小)			110004300	110004301	110004302	
1510055	体力药(中)			110004400	110004401	110004402	
1510056	体力药(大)			110004500	110004501	110004502	
1510057	每日免费补给包			110102213	110102214		110102212
1510058	每周免费补给包			110100100	110100101		110100103
1510059	每月免费补给包			110100200	110100201		110100203
1510060	养成礼包			110100605	110100606		110100604
1510061	每月人员补给包			110100400	110100401		110100403
1510062	角色强化材料包			110100500	110100501		110100503
1510063	武器突破材料包			110100600	110100601		110100603
1510064	超值礼包			110102401	110102402		110102400
1510065	新手角色抽卡礼包			110104004	110104005		110104003
1510066	新手武器抽卡礼包			110100900	110100901		110100903
1510067	测试道具			110100900	110100901		110100903
1510068	A级武器自选箱			110101000	110101001		110101003
1510069	S级武器自选箱			110101100	110101101		110101103
1510070	A级后勤自选箱			110101200	110101201		110101203
1510071	S级后勤自选箱			110101300	110101301		110101303
1510072	A级角色自选箱			110101400	110101401		110101403
1510073	S级角色自选箱			110101500	110101501		110101503
1510074	角色碎片自选箱			110101500	110101501		110101503
1510075	雪之形			110005700	110005701	110005702	
1510076	开放世界货币（临时			110005700	110005701	110005702	
1510077	勤之轨			110005400	110005401	110005402	
							
							
							
1510078	角色碎片自选箱			110105002	110105003		110105001
1510079	BP武器自选箱			110105101	110105102		
1510080	BP初级图标			110105103	110105104		
1510081	BP高级图标			110105107	110105108		
1510082	月度精英提升包			110100608	110100609		110100607
1510083	DLC1角色抽卡			110102501	110102502		110102500
1510084	DLC1武器抽卡			110102504	110102505		110102503
1510085	返利月卡			110006101	110006102		110006103
1510086	BP经验			110006702	110006701		
1510087	海外武器预约箱			110105005	110105006		110105004
1510088							
1510089							
1510090	记忆补嵌包			110005706	110005707	110005708	
1510091	等级礼包1			110102301	110102302		110102300
1510092	等级礼包2			110102304	110102305		110102303
1510093	等级礼包3			110102307	110102308		110102306
1510094	等级礼包4			110102310	110102311		110102309
1510095	等级礼包5			110102313	110102314		110102312
1510096	等级礼包6			110102316	110102317		110102315
1510097	龙角勋章			110005703	110005704	110005705	
1510098	瓦尔哈拉誓约			110000000	110000001	110000002	
1510099	武器定制合约			110005712	110005713	110005714	
1510100	吉语币			110005801	110005802	110005803	
1510101	纳福签			110005901	110005902	110005903	
1510102	青蓝之羽			110006001	110006002	110006003	
1510103	激励点数			110006201	110006202	110006203	
1510105	数据样本			110006301	110006302	110006303	
							
1510106	先驱铭牌			110006502	110006501	110006503	
1510107	样本晶骸			110006602	110006601	110006603	
1510108	通行密钥			110006402	110006401	110006403	
1510109	武器组件			110007002	110007001	110007003	
1510110	朔月令（联机门票）			110007402	110007401	110007403	
1510111	翠星宝螺（dlc3货币）			110400041	110400040	110400042	
1510112	炎阳珍珠（乱战宝礁货币1）			110400141	110400140	110400142	
1510113	雪风珍珠（乱战宝礁货币2）			110400151	110400150	110400152	
1510114	鸣雷珍珠（乱战宝礁货币3）			110400161	110400160	110400162	
1510115	辉月珍珠（乱战宝礁货币4）			110400171	110400170	110400172	
1510116	凛冬珍珠（乱战宝礁货币5）			110400181	110400180	110400182	
1510117	乱战入场劵（乱战宝礁门票）			110400191	110400190	110400192	
1510118	翠星助力劵（乱战宝礁抽奖卷）			110400201	110400200	110400202	
1510119	碧月星壳（dlc3高级货币）			110400341	110400340	110400342	
1510120	萤星卡券	15		110007602	110007601	110007603	
							
1510121	溢晴·天启者聘任包			110102515	110102515		110102515
1510122	汐金·武器定制包			110102517	110102517		110102517
1510123	沉鎏·资金包			110102514	110102514		110102514
1510124	漪云·顶级物资包			110102516	110102516		110102516
1510125	涓曲·每日物资包			110102518	110102518		110102518
1510126	潮花·每周天启者聘任包			110102520	110102520		110102520
1510127	浮星·天启者聘任包			110102519	110102519		110102519
							
1510128	配给凭据			110400361	110400360	110400362	
1510129	雪境功勋			110400351	110400350	110400352	
							
1510130	锢隙·天启者聘任包			110102523	110102523		110102523
1510131	铠山·武器定制包			110102525	110102525		110102525
1510132	锈雪·资金包			110102526	110102526		110102526
1510133	锋啸·豪华物资包			110102521	110102521		110102521
1510134	镐音·每日物资包			110102522	110102522		110102522
1510135	铸曜·每周天启者聘任包			110102527	110102527		110102527
1510136	钧步·天启者聘任包			110102524	110102524		110102524
							
