机制ID	//注释（高优先通用质疑＞角色彩蛋质疑＞角色特性出牌＞通用出牌＞角色彩蛋出牌）	判定条件	修正行为
BuffID	Comment	Condition	Result
1001	（高优先）通用质疑-有“出2张随机明牌”效果且明牌为真时，一定不质疑	{{"BlindBuff",107,"OpenCardTrue"}}	{"ChangeWeight",0.0,2}
1002	（高优先）通用质疑-有“出2张随机明牌”效果且明牌为假时，一定质疑	{{"BlindBuff",107,"OpenCardFalse"}}	{"ChangeWeight",0.0,1}
1003	（高优先）通用质疑-有“开3张指定牌全员受罚”效果，上家出3张，小概率质疑	{{"BlindBuff",103},{"PlayerPoker",1,3,0,2,3}}	{"ChangeWeight",0.1,2}
1004	（高优先）通用质疑-有“开1张牌全员受罚”效果，上家出1张，小概率质疑	{{"BlindBuff",102},{"PlayerPoker",1,3,0,2,1}}	{"ChangeWeight",0.1,2}
1005	（高优先）通用质疑-有“必须出2张时”效果时，自己当前手牌1真1假，高概率质疑	{{"BlindBuff",106},{"PlayerPoker",2,2,1,2,1},{"PlayerPoker",2,2,2,2,1}}	{"ChangeWeight",5.65,2}
1006	（高优先）通用质疑-有“必须出2张时”效果时，上家出2张，对半劈质疑	{{"BlindBuff",106},{"PlayerPoker",1,3,0,2,2}}	{"ChangeWeight",1.0,2}
1007	通用质疑-手里无真，自己手牌≤3，极高概率质疑	{{"PlayerPoker",2,2,1,2,0},{"PlayerPoker",2,2,0,4,3}}	{"ChangeWeight",0.1,1}
1008	通用质疑-存活2人，上家手牌数≤3，对半劈质疑	{{"Survivors",2,2},{"PlayerPoker",1,2,0,4,3}}	{"ChangeWeight",1.0,2}
1009	通用质疑-总出牌数＞8，极高概率质疑	{{"Pokers",3,8}}	{"ChangeWeight",0.05,1}
1010	通用质疑-存活≥3人，上家没有手牌，极小概率质疑	{{"PlayerPoker",1,2,0,2,0}}	{"ChangeWeight",0.01,2}
1011	通用质疑-自己没行动过，上家上次被质疑没受罚，中高概率质疑	{{"PlayerDeal",2,1,2,0},{"PlayerChallenge",1,4}}	{"ChangeWeight",4.0,2}
1012	通用质疑-自己没行动过，上家上次被质疑受罚，小概率质疑	{{"PlayerDeal",2,1,2,0},{"PlayerChallenge",1,5}}	{"ChangeWeight",0.34,2}
1013	通用质疑-自己没行动过，自己上次提出质疑受罚，中高概率质疑	{{"PlayerDeal",2,1,2,0},{"PlayerChallenge",2,1}}	{"ChangeWeight",4.0,2}
1014	通用质疑-自己没行动过，自己上次提出质疑没受罚，小概率质疑	{{"PlayerDeal",2,1,2,0},{"PlayerChallenge",2,2}}	{"ChangeWeight",0.1,2}
1015	通用质疑-上家出牌数＞理论真牌数，高概率质疑	{{"PlayerPokerSp",1,3,0,3,3}}	{"ChangeWeight",9.0,2}
