ID	//注释	类型	台词文本	少女ID	对应动作	情绪类型1.伪装试探;2.嘲讽施压;3.冷静自信;4.中性发言	语音ID	匹配表情1.开心;2.不开心;3.沉思	是否可触发回复	倍速下是否播放
LineID	Comment	Type	LineText	GirlID	ActID	EmoType	VoiceID	ExpressType	ReplayLines	SpeedUpIsPlay
10001	分析员预设发言1占位-这轮有点难啊！真伤脑筋。	1	house.GuessPoker_PlayerTalk01	0		1			1	
10002	分析员预设发言2占位-运气一般，随便玩玩好了。	1	house.GuessPoker_PlayerTalk02	0		1			1	
10003	分析员预设发言3占位-这都要犹豫？好机会可不等人。	1	house.GuessPoker_PlayerTalk03	0		2			1	
10004	分析员预设发言4占位-秘密被我发现了啊……某个在场的人。	1	house.GuessPoker_PlayerTalk04	0		2			1	
10005	分析员预设发言5占位-果然不出我所料。	1	house.GuessPoker_PlayerTalk05	0		3			1	
10006	分析员预设发言6占位-看来我的判断是正确的。	1	house.GuessPoker_PlayerTalk06	0		3			1	
10007	分析员预设发言7占位-开始变得有趣了。	1	house.GuessPoker_PlayerTalk07	0		4			1	
10008	分析员预设发言8占位-下一个受罚的人会是谁呢？	1	house.GuessPoker_PlayerTalk08	0		4			1	
										
21701	苔丝语音选酒1	2	house.GuessPoker_Girl17VoSelect01	17			Vo_girl017_dice001		0	0
21702	苔丝语音选酒2	2	house.GuessPoker_Girl17VoSelect02	17			Vo_girl017_dice002		0	0
21703	苔丝语音出牌1	2	house.GuessPoker_Girl17VoDeal01	17	house_dice_deal	1	Vo_girl017_dice003	3	0	1
21704	苔丝语音出牌2	2	house.GuessPoker_Girl17VoDeal02	17	house_dice_deal	2	Vo_girl017_dice004	1	0	1
21705	苔丝语音出牌3	2	house.GuessPoker_Girl17VoDeal03	17	house_dice_deal	1	Vo_girl017_dice005	2	0	1
21706	苔丝语音出牌4	2	house.GuessPoker_Girl17VoDeal04	17	house_dice_deal	1	Vo_girl017_dice006	1	0	1
21707	苔丝语音质疑	2	house.GuessPoker_Girl17VoChallenge	17			Vo_girl017_dice007		0	1
21708	苔丝语音喝完没醉	2	house.GuessPoker_Girl17VoWin	17			Vo_girl017_dice008		0	0
21709	苔丝语音淘汰分析员	2	house.GuessPoker_Girl17VoPlayerFail	17			Vo_girl017_dice009		0	1
21710	苔丝语音自己喝醉	2	house.GuessPoker_Girl17VoFail	17			Vo_girl017_dice010		0	0
21711	苔丝语音喂酒1	2	house.GuessPoker_Girl17VoFeed01	17			Vo_girl017_dice011		0	0
21712	苔丝语音喂酒2	2	house.GuessPoker_Girl17VoFeed02	17			Vo_girl017_dice012		0	0
21713	苔丝语音受质疑1	2	house.GuessPoker_Girl17VoChallenged01	17			Vo_girl017_dice013		0	1
21714	苔丝语音受质疑2	2	house.GuessPoker_Girl17VoChallenged02	17			Vo_girl017_dice014		0	1
21715	苔丝语音分析员没醉1	2	house.GuessPoker_Girl17VoPlayerWin01	17			Vo_girl017_dice015		0	1
21716	苔丝语音分析员没醉2	2	house.GuessPoker_Girl17VoPlayerWin02	17			Vo_girl017_dice016		0	1
21717	苔丝语音受邀请	2	house.GuessPoker_Girl17VoClick	17			Vo_girl017_dice017		0	1
21718	苔丝语音催促	2	house.GuessPoker_Girl17VoUrge	17			Vo_girl017_dice018		0	1
21719	苔丝语音关心	2	house.GuessPoker_Girl17VoCare	17			Vo_girl017_dice019		0	1
21720	苔丝语音分析员出3张1	2	house.GuessPoker_Girl17VoThrCards01	17			Vo_girl017_dice020		0	1
21721	苔丝语音分析员出3张2	2	house.GuessPoker_Girl17VoThrCards02	17			Vo_girl017_dice021		0	1
21722	苔丝语音单挑	2	house.GuessPoker_Girl17VoSolo	17			Vo_girl017_dice022		0	1
21723	苔丝语音对局1	2	house.GuessPoker_Girl17VoGame01	17			Vo_girl017_dice023		0	1
21724	苔丝语音对局2	2	house.GuessPoker_Girl17VoGame02	17			Vo_girl017_dice024		0	1
										
21501	凯茜娅语音选酒1	2	house.GuessPoker_Girl15VoSelect01	15			Vo_girl015_dice001		0	0
21502	凯茜娅语音选酒2	2	house.GuessPoker_Girl15VoSelect02	15			Vo_girl015_dice002		0	0
21503	凯茜娅语音出牌1	2	house.GuessPoker_Girl15VoDeal01	15	house_dice_deal	2	Vo_girl015_dice003	1	0	1
21504	凯茜娅语音出牌2	2	house.GuessPoker_Girl15VoDeal02	15	house_dice_deal	1	Vo_girl015_dice004	3	0	1
21505	凯茜娅语音出牌3	2	house.GuessPoker_Girl15VoDeal03	15	house_dice_deal	2	Vo_girl015_dice005	1	0	1
21506	凯茜娅语音出牌4	2	house.GuessPoker_Girl15VoDeal04	15	house_dice_deal	1	Vo_girl015_dice006	2	0	1
21507	凯茜娅语音质疑	2	house.GuessPoker_Girl15VoChallenge	15			Vo_girl015_dice007		0	1
21508	凯茜娅语音喝完没醉	2	house.GuessPoker_Girl15VoWin	15			Vo_girl015_dice008		0	0
21509	凯茜娅语音淘汰分析员	2	house.GuessPoker_Girl15VoPlayerFail	15			Vo_girl015_dice009		0	1
21510	凯茜娅语音自己喝醉	2	house.GuessPoker_Girl15VoFail	15			Vo_girl015_dice010		0	0
21511	凯茜娅语音喂酒1	2	house.GuessPoker_Girl15VoFeed01	15			Vo_girl015_dice011		0	0
21512	凯茜娅语音喂酒2	2	house.GuessPoker_Girl15VoFeed02	15			Vo_girl015_dice012		0	0
21513	凯茜娅语音受质疑1	2	house.GuessPoker_Girl15VoChallenged01	15			Vo_girl015_dice013		0	1
21514	凯茜娅语音受质疑2	2	house.GuessPoker_Girl15VoChallenged02	15			Vo_girl015_dice014		0	1
21515	凯茜娅语音分析员没醉1	2	house.GuessPoker_Girl15VoPlayerWin01	15			Vo_girl015_dice015		0	1
21516	凯茜娅语音分析员没醉2	2	house.GuessPoker_Girl15VoPlayerWin02	15			Vo_girl015_dice016		0	1
21517	凯茜娅语音受邀请	2	house.GuessPoker_Girl15VoClick	15			Vo_girl015_dice017		0	1
21518	凯茜娅语音催促	2	house.GuessPoker_Girl15VoUrge	15			Vo_girl015_dice018		0	1
21519	凯茜娅语音关心	2	house.GuessPoker_Girl15VoCare	15			Vo_girl015_dice019		0	1
21520	凯茜娅语音分析员出3张1	2	house.GuessPoker_Girl15VoThrCards01	15			Vo_girl015_dice020		0	1
21521	凯茜娅语音分析员出3张2	2	house.GuessPoker_Girl15VoThrCards02	15			Vo_girl015_dice021		0	1
21522	凯茜娅语音单挑	2	house.GuessPoker_Girl15VoSolo	15			Vo_girl015_dice022		0	1
21523	凯茜娅语音对局1	2	house.GuessPoker_Girl15VoGame01	15			Vo_girl015_dice023		0	1
21524	凯茜娅语音对局2	2	house.GuessPoker_Girl15VoGame02	15			Vo_girl015_dice024		0	1
										
21101	恩雅语音选酒1	2	house.GuessPoker_Girl11VoSelect01	11			Vo_girl011_dice001		0	0
21102	恩雅语音选酒2	2	house.GuessPoker_Girl11VoSelect02	11			Vo_girl011_dice002		0	0
21103	恩雅语音出牌1	2	house.GuessPoker_Girl11VoDeal01	11	house_dice_deal	2	Vo_girl011_dice003	2	0	1
21104	恩雅语音出牌2	2	house.GuessPoker_Girl11VoDeal02	11	house_dice_deal	1	Vo_girl011_dice004	1	0	1
21105	恩雅语音出牌3	2	house.GuessPoker_Girl11VoDeal03	11	house_dice_deal	1	Vo_girl011_dice005	3	0	1
21106	恩雅语音出牌4	2	house.GuessPoker_Girl11VoDeal04	11	house_dice_deal	3	Vo_girl011_dice006	3	0	1
21107	恩雅语音质疑	2	house.GuessPoker_Girl11VoChallenge	11			Vo_girl011_dice007		0	1
21108	恩雅语音喝完没醉	2	house.GuessPoker_Girl11VoWin	11			Vo_girl011_dice008		0	0
