序号	//注释	类型	触发展示文本	单次达成积分	结算展示文本	显示类型1.只显示在综合窗口;2.只显示在顶部提示栏;3.顶部提示栏和综合窗口都要显示;4.哪里都不显示
ID	Comment	TopType	TriggerDesc	PerPoints	ShowDesc	ShowType
1	通用-行动玩家出牌	1	house.GuessPoker_StepTip05			3
2	通用-行动玩家质疑	1	house.GuessPoker_StepTip06			3
3	通用-质疑成功	1	house.GuessPoker_StepTip07			3
4	通用-质疑失败	1	house.GuessPoker_StepTip08			3
12	通用-新局开始	1	house.GuessPoker_StepTip09			2
5	通用-重新发牌	1	house.GuessPoker_StepTip13			2
6	通用-分析员回合	1	house.GuessPoker_StepTip10			4
7	通用-分析员受罚/（盲盒效果）连续受罚2次	1	house.GuessPoker_StepTip11			2
8	通用-（盲盒效果）行动玩家出牌带明牌	1	house.GuessPoker_StepTip12			3
9	通用-进入行动玩家回合	1	house.GuessPoker_StepTip03			4
10	通用-进入行动玩家回合（带命数）	1	house.GuessPoker_StepTip04			1
11	通用-（盲盒效果）强制质疑成功	1	house.GuessPoker_StepTip14			3
13	通用-（盲盒效果，质疑结果时显示）除开牌判定胜者外全员受罚	1	house.GuessPoker_StepTip15			3
						
100	高光-质疑他人成功	2	house.GuessPoker_HighLightDesc01	10	house.GuessPoker_HighLightCount01	
101	高光-他人质疑自己失败	2	house.GuessPoker_HighLightDesc02	10	house.GuessPoker_HighLightCount02	
102	高光-开牌验证后使对方喝醉出局	2	house.GuessPoker_HighLightDesc03	30	house.GuessPoker_HighLightCount03	
104	高光-受罚时没喝醉	2	house.GuessPoker_HighLightDesc04	50	house.GuessPoker_HighLightCount04	
						
200	通用-牌组说明	3	house.GuessPoker_StepTip01			1
						
301	通用-真牌展示	4	house.GuessPoker_StepTip02			1
