唯一Id	优先级（值越小优先级越高；1,2,3,4）	字符串索引	说话人	Wwise事件名	声音时间(手动导出)	临时时间	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Id	Priority	Key	Speaker	WwiseEventID	Duration	TempDuration	zh_CN	disable	Remark
Ch.00.01.01		87	雷吉乌斯	Play_Vo_ch0ep1_system_2	6.721701		着陆点位于零区内，请求海姆达尔部队前往回收。		
									
Ch.01.01		1	卡罗琳	Play_Vo_girl003_levelup001_030	0		动作很灵敏。跟预期一样，泰坦污染似乎对你没什么影响。		
		2	里芙	Play_Vo_girl003_levelup001_030	0		污染读数并不高。		
		3	卡罗琳	Play_Vo_girl003_levelup001_030	0		但也是会让普通人丧命的程度了。		
		4	卡罗琳	Play_Vo_girl003_levelup001_030	0		感觉不舒服或者污染读数报警的话，马上原路撤退。		
		5	里芙	Play_Vo_girl003_levelup001_030	0		明白。		
									
Ch.01.01.01		7	芬妮	Play_Vo_ch1act1_girl008_01	4.135193		这么快就被发现了吗，这些家伙怎么回事？！		
		8	芬妮	Play_Vo_ch1act1_girl008_02	2.660249		我们分开走，得快点甩掉他们。		
		9	里芙	Play_Vo_ch1act1_girl002_02	0.579751		嗯。		
									
Ch.01.02.01		13	芬妮	Play_Vo_ch1act2_girl008_01	4.443401		郊狼真是很喜欢伏击偷袭的打法呢，可惜组织得太乱啦。		
		14	芬妮	Play_Vo_ch1act2_girl008_02	4.836894		和这个名字挺相称的，连我也要稍微打起精神免得被咬上一口了。		
		15	芬妮	Play_Vo_ch1act2_girl008_03	3.5		狼王同学对他们的指导很不赖嘛！		
									
Ch.01.02.02		16	芬妮	Play_Vo_ch1act2_girl008_04	1.64805		让开让开让开！		
		17	芬妮	Play_Vo_ch1act2_girl008_05	5.250612		不想被打成筛子的，统统给我让路！我可没有闲时间和你们绕圈圈。		
									
Ch.01.03		18	里芙	Play_Vo_ch1act3_girl002_02_1	3.911338		路被堵住了，看来只能从这跳下去。		
		19	芬妮	Play_Vo_ch1act3_girl008_03_1	4.022789		这些布置也太刻意了吧。		
		20	芬妮	Play_Vo_ch1act3_girl008_04_2	3.8		本小姐倒要看看，他们准备了什么惊喜？		
									
Ch.01.04		21	芬妮	Play_Vo_ch1act4_girl008_01	3.353628		嘿！大明星，快看那边！是你的旧海报！		
		22	里芙	Play_Vo_ch1act4_girl002_01_1	1.255147		怎么会有这个？		
		23	芬妮	Play_Vo_ch1act4_girl008_02	7.81771		说明你的魅力大呀！谁会不爱咱们潇洒干练长发飘飘的首席女武神呢~		
		24	里芙	Play_Vo_ch1act4_girl002_02_2	1.246939		……专注眼前任务。		
									
Ch.01.05.01		25	芬妮	Play_Vo_ch1act5_girl008_03	3.447619		按照情报，轻型运载火箭应该就在这附近。		
		26	里芙	Play_Vo_ch1act5_girl002_02	3.286712		进了嘴里的肉，郊狼不会轻易吐出来。		
		27	里芙	Play_Vo_ch1act5_girl002_03	1.14932		做好应对准备。		
									
Ch.01.05.02		28	芬妮	Play_Vo_ch1act6_girl008_01	1.675215		哦！就是这个了！		
		29	里芙	Play_Vo_ch1act6_girl002_01	2.322767		别太兴奋，重要的是回收。		
									
Ch.01.07		31	茉莉安	Play_Vo_ch1act7_girl005_01	4.508072		抱歉，我不能让你们去给分析员添麻烦。		
		32	茉莉安	Play_Vo_ch1act7_girl005_02	3.191791		请在这休息会吧，呵呵~		
									
Ch.01.08		33	芬妮	Play_Vo_ch1act8_girl008_01	5.961338		一台机甲罢了！看我把它砸回成零件！		
		34	里芙	Play_Vo_ch1act8_girl002_01	0.845193		别大意了。		
		35	芬妮	Play_Vo_ch1act8_girl008_02	4.160975		哼！你是在害怕本小姐抢了你的风头吧！		
									
Ch.00.01		36	卢卡斯·达菲	Play_Vo_ch0act1_man_01	7.107369		我亲爱的妹妹艾瑞卡，我向你保证，瓦尔基里游戏总决赛的现场票，下次我一定抢到。		
									
Ch.02.01.02		38	降临团会员	Play_Vo_ch1act2_jianglin_01	4.705329		亵渎者！你们必将遭到天谴！		
									
Ch.02.03.02		39	芬妮	Play_Vo_ch2act3_girl008_01	4.248889		“信泰坦是为了净化世间的罪。”		
		40	芬妮	Play_Vo_ch2act3_girl008_02	3.3		“信诚心祝祷会得到泰坦的回应。”		
		41	里芙	Play_Vo_ch2act3_girl002_01	1.724512		别念那些降临团的标语了。		
		42	芬妮	Play_Vo_ch2act3_girl008_03	2.829932		谁让箱子里就只有这种宣传物。		
		43	芬妮	Play_Vo_ch2act3_girl008_04_1	2.917483		看到它们的时候不自觉就念出声了啊！		
									
Ch.02.04.01		44	里芙	Play_Vo_ch2act4_girl002_01_1	3.419433		“兄弟们，泰坦保佑我们。”		
		45	里芙	Play_Vo_ch2act4_girl002_02	1.260952		“救赎。”		
		46	芬妮	Play_Vo_ch2act4_girl008_01_1	3.740499		告诉我，你是怎么学会把这些标语读出来的？		
		47	芬妮	Play_Vo_ch2act4_girl008_02	1.870431		我连上面的字都看不清楚！		
									
Ch.02.05.01		48	芬妮	Play_Vo_ch2act5_girl008_01	2.151519		这群疯子又在搞什么？		
		49	里芙	Play_Vo_ch2act5_girl002_01	3.321633		那里面是……失踪的<orange>调查队队员</>？		
		50	里芙	Play_Vo_ch2act5_girl002_02	1.002766		快阻止他们！		
									
Ch.02.05.02		51	芬妮	Play_Vo_ch2act5_girl008_02	1.491859		你们对这些人做了什么？！		
		52	武装会员	Play_Vo_ch2act5_jianglin_01	4.243946		仁慈的主事已经给了他们接受净化的机会。		
		53	武装会员	Play_Vo_ch2act5_jianglin_02	5.726077		净化失败，他们是亵渎者！亵渎者必将灭亡！		
									
Ch.02.05.03		54	芬妮	Play_Vo_ch2act5_girl008_03_1	1.463764		怎么样？		
		55	里芙	Play_Vo_ch2act5_girl002_03	2.64932		没有见到<orange>那个人</>，她应该逃掉了。		
		56	芬妮	Play_Vo_ch2act5_girl008_04_1	0.857642		其他人呢？		
		57	里芙	Play_Vo_ch2act5_girl002_04	1.715283		……已经没有了生命体征。		
		58	里芙	Play_Vo_ch2act5_girl002_05	4.978685		别开门！一旦开启，他们的身体就会瞬间湮灭。		
		59	里芙	Play_Vo_ch2act5_girl002_06_1	2.902699		联系卡罗琳吧，接他们“回家”。		
									
Ch.02.06.01		60	信徒	Play_Vo_ch2act6_jianglin_01_1	7.437029		无论是贫穷还是富贵，都能平等的沐浴着泰坦的至善。		
		61	信徒	Play_Vo_ch2act6_jianglin_02_1	6.473288		祷告吧，只要诚心祝祷会得到泰坦的回应。		
		62	信徒	Play_Vo_ch2act6_jianglin_03	7.850317		连接吧，只要齐心相助会得到泰坦的启发。		
		63	芬妮	Play_Vo_ch2act6_girl008_01_2	3.965918		分析员还不知道吧，这是那些家伙的日常祝祷仪式。		
									
Ch.02.10.01		64	里芙	Play_Vo_ch2act10_girl002_01_1	1.34932		接下来该往哪边走？		
		65	降临团会员	Play_Vo_ch2act10_jianglin_01	3.509864		这边，沿着地下水道。		
									
Ch.02.10.02		66	降临团会员	Play_Vo_ch2act10_jianglin_02_1	2.93644		亵渎者将被审判！		
		67	降临团会员	Play_Vo_ch2act10_jianglin_03_1	4.81186		只有信泰坦才能得到救赎！		
		68	芬妮	Play_Vo_ch2act10_girl008_01	3.045352		吵死了！我可以——		
		69	里芙	Play_Vo_ch2act10_girl002_02_1	2.492472		不可以，我们需要他带路。		
									
Ch.02.11.01		70	芬妮	Play_Vo_ch2act11_girl008_01	3.165306		照这个家伙所说，亵渎者会被审判。		
		71	芬妮	Play_Vo_ch2act11_girl008_02	2.5		妮塔该不会也被那个什么使者盯上了吧？		
		72	里芙	Play_Vo_ch2act11_girl002_01	1.853968		降临团的，跑快一点!		
									
Ch.02.11.02		73	芬妮	Play_Vo_ch2act11_girl008_03	3.321928		星期三、分析员，快看上面！		
		74	里芙	Play_Vo_ch2act11_girl002_02_2	3.40805		原来这就是散布污染的元凶，<orange>“违禁物”</>。		
									
Ch.02.12		75	芬妮	Play_Vo_ch2act12_girl008_01_1	3.941202		喂，星期三，你觉不觉得……？		
		76	里芙	Play_Vo_ch2act12_girl002_01	4.14932		他和之前遇到的人偶很像，但明显要更厉害。		
		77	芬妮	Play_Vo_ch2act12_girl008_02	4.87542		哼，什么使者，装神弄鬼！		
									
Ch.05.10		78	加文				拦住他们！		
									
Ch.08.10		79	芙提雅				找到了，就是这个！		
		80	芙提雅				哎呀，芙提雅老师的事怎么能算偷呢！是征用！征用！		
		81	芙提雅				嗨呀！那芙提雅老师也要不客气了嗷！		
									
Ch.08.11		82	安卡希雅				这种升降机，这个速度……有不好的预感。		
		83	芙提雅				欸，是什么样的预感？		
		84	安卡希雅				你没有打过游戏吗？一般这种时候都会遇到敌人。		
									
Ch.08.12		85	安卡希雅				熊孩子不听话是要挨打的。		
		86	迪特里希				哈哈哈哈，那就来试试吧！阿～姨～		
									
Girl.01PF.1		G01PF.1	系统提示	Play_Vo_prg01_npc_01	1.651859		战斗开始。		
		G01PF.2	安卡希雅	Play_Vo_prg01_girl001_01_1	3.426122		决定战争胜负的关键因素，永远是人。		
									
Girl.01PF.2		G01PF.3	系统提示	Play_Vo_prg01_npc_02	4.3		恭喜获胜！下一场战斗马上开始。		
		G01PF.4	安卡希雅	Play_Vo_prg01_girl001_02_2	2.907324		光凭操作，弥补不了意识的差距。		
									
Girl.01PF.3		G01PF.5	系统提示	Play_Vo_prg01_npc_03	4.995964		恭喜连胜！！下一场战斗马上开始。		
		G01PF.6	安卡希雅	Play_Vo_prg01_girl001_03	3.322698		还是不明白吗？你们太过依赖硬件了。		
									
Girl.01PF.4		G01PF.7	系统提示	Play_Vo_prg01_npc_04	4		战斗结束，恭喜三连胜！！！		
		G01PF.8	安卡希雅	Play_Vo_prg01_girl001_04_1	3.314558		只有这个烦人的提示跟以前一样……		
									
Girl.01aPF.1		G01aPF.1	安卡希雅	Play_Vo_prg01a_girl001_01	2.472199		注意保护好自己，你不能受伤。		
		G01aPF.2	安卡希雅	Play_Vo_prg01a_girl001_02	2.213537		现在只有你能守护那些模型了。		
									
Girl.01aPF.2		G01aPF.3	安卡希雅	Play_Vo_prg01a_girl001_03	2.475238		你帮忙调用一下热成像侦查无人机。		
		G01aPF.4	安卡希雅	Play_Vo_prg01a_girl001_04	2.686145		这里建筑太杂乱很容易有漏网之鱼。		
		G01aPF.5	安卡希雅	Play_Vo_prg01a_girl001_05_1	1.398594		他们一个都别想跑。		
									
Girl.02PF.1		G02PF.1	里芙	Play_Mo_girl002_ouch01_056	0.885692		？！		
		G02PF.2	里芙	Play_Vo_prg02_girl002_02	3.774195		房间在13层，窗户外……		
		G02PF.3	里芙	Play_Vo_prg02_girl002_03	1.361542		为什么是地面？		
									
Girl.02PF.2		G02PF.4	里芙	Play_Vo_prg02_girl002_04	4.30381		这个感觉……瓦尔基里游戏？		
		G02PF.5	里芙	Play_Vo_prg02_girl002_05	3.064082		不对，这不是虚拟场景。		
									
Girl.02PF.3		G02PF.6	里芙	Play_Vo_prg02_girl002_06	1.709864		第三度的大雪……		
