字符串索引	标记	立绘位置	说话人	实际说话人	Wwise事件名	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
Key	Flag	Pos	Speaker	RealSpeaker	WwiseEventID	zh_CN	disable	Remark
1		0	人群			是赐福团，赐福团的人来救我们了！	0	
2		0	莫尔索			喂，他们把我们的功劳抢走了啊。	0	
3		0	分析员			现在可不是出风头的时候。	0	
4		0				趁着大家的注意力都在广场另一边，我拉着两人退到了暗处。	0	
5		0				很快，洪流般的人群一股脑地涌入广场，而被他们簇拥着的，则是一个步履蹒跚的高大人影。	0	
6		0				渐渐逼近，我们终于透过惨白的月光看清了来人面貌。	0	
7		0				那是一张没有血色如同雕像般的脸，是一张在记忆中已经早已“死去”的脸。	0	
8		6	莫尔索			怎么会是这个家伙……	0	
9		6	恩雅羽蜕			……	0	
10		0				恩雅将手放在枪上，挡在了我的身前，她做好了随时射击的准备。	0	
11		0				然而，他并没有走向我们所在的方位，而是走向了广场中央，一位正在痛哭的妇人。	0	
12		0				她的孩子被异化人扯掉了手臂。	0	
13		0	妇人			我的孩子……我的孩子……	0	
14		0	妇人			你们这些人，不是说这里有纯白之神的加护吗？不是说绝对不会有异化人吗？！纯白之神呢？！他人现在又在哪里？！	0	
15		6	净化官			不得对纯白之神与加文大主无礼。	0	
16		6	加文			非常抱歉，因为鄙人的失误，让您的孩子受苦了。	0	
17		0				加文拦住了想要上前训斥的净化官。	0	
18		0				然后杵着他的手杖，缓缓单膝跪下。	0	
19		6	净化官			大主？！	0	
20		0				这位“赐福团大主”从怀中掏出了一根白色的树枝，将它递向了面前的妇人。	0	
21		6	加文			还请接受纯白之神的赐福，希望这能抚平那个孩子的伤痛。	0	
22		0				枝条在接触孩子的断肢的瞬间便瞬间气化，而紧接着，由此激起的无数微小的尘埃则在众人诧异的目光渐渐凝聚成了手臂的形状……	0	
23		0				血肉再生，看着发生在怀中的奇迹，那位母亲被惊得说不出话。	0	
24		4	莫尔索			喂，那是什么戏法吗……	0	
25		5	恩雅羽蜕			从那个母亲的表情上来看，不像是演的……	0	
26		0	分析员			但生成的也不一定是人体组织，那个枝条是“树”的一部分吧。	0	
27		0				如果“纯白之神”真的和埃达有联系的话，那借由泰坦物质捏造出某种与手臂拥有相似外观的实体，似乎也不是什么难事。	0	
28		0				但即便这样，对于零区内的人们而言，这便是神迹。	0	
29		6	净化官			纯白之神将于今夜现世，赐予我等永恒的宽恕，降下永恒乐土。	0	
30		0				净化官如同洪钟般的嗓音响起，衬得眼前的这幅光景尤为庄重神圣。	0	
31		6	净化官			那是一片永远不会衰败的赐福之地，泰坦的怒火也无法波及到那里。	0	
