Id	备注	点名	生成半径	蓝图路径	类型	货币掉落量	共振率掉落量	掉落物	图标	地图最小显示比例	刷新类型(1:一次性内容;2:固定刷新;3:自定义百分比刷新;4:自定义数量刷新)	刷新参数:数量或者百分比	地图点类型(1:不带底板，2：带底板，6：传送，7：主线）	是否需要弹窗	是否需要日志记录
Id	Null	Name	Radius	Path	ClassName	DropMoney	DropGZ	Item	Icon	ShowScale	RefType	RefParam	PointType	NeedPop	recordType
1	测试用破坏物		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWActor_Test1.OWActor_Test1_C		0	0		0	1	1			1	
2	测试用残影		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWActor_Test2.OWActor_Test2_C		0	0		0	1	1			1	
3	测试用交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWActor_Test3.OWActor_Test3_C		0	0		0	1	1			1	
101	大型晶簇-高价值-按钮交互	dlc2.map_tip03	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_036.OWInteraction_036_C		0	0		1009003	1	1		2	1	
102	晶体附着物-低价值-攻击交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_037.OWInteraction_037_C		20	0		1009002	3	3	100	1	0	
103	信息态残像-低价值-触发交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_038.OWInteraction_038_C		0	0		1009010	3	1		1	1	
104	球状等离子体-中价值-触发交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_04.OWInteraction_04_C		30	0		1009005	3	3	100	1	0	
105	终端密匙-中价值-按钮交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_023.OWInteraction_023_C		0	0	{{5,24,2,1,1}}	1009006	3	3		1	0	
106	研究所终端		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_022.OWInteraction_022_C		0	0		1009007	1	2		2	1	
107	传送点	dlc2.map_tip02	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_Teleport.OWInteraction_Teleport_C	TransPoint	0	0		1009001	1	2		6	1	
108	数据分析平台	dlc2.map_tip05	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_027.OWInteraction_027_C		0	0		1009000	1	2		2	1	
109	数据载体2型记录仪	dlc2.map_tip04	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_024.OWInteraction_024_C		0	0		1009010	1	2		2	1	
110	电子互动日志		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_034.OWInteraction_034_C		0	0		1009010	3	1		1	1	
111	数据载体2型		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_029.OWInteraction_029_C		0	0		1009010	3	1		1	1	
															
															
301	中型宝箱-低价值-按钮交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_039.OWInteractor_039_C	Dlc3TreasureBase	0	0	{{4,3,1,1,1280},{4,1,9,1,180}}	1009021	3	1		1	1	1
302	彩盒点-中等价值-攻击交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_041.OWInteraction_041_C	Dlc3TreasureBase	0	0	{{4,3,1,1,350},{4,1,9,1,100}}		3	1		1	0	1
303	大型宝箱-高价值-按钮交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_043.OWInteractor_043_C	Dlc3TreasureBase	0	0		1009021	1	1		2	1	1
304	限时挑战	ui.Dlc3ExploreTip21	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_TaskChallenge.OWInteraction_TaskChallenge_C	Dlc3Base	0	0		1009020	1	2		2	0	1
305	鱼点		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWFishPoint.OWFishPoint_C	FishPoint	0	0		1009019	1	1		2	1	1
306	传送点	ui.Dlc3ExploreTip22	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_040.OWInteractor_040_C	TransPoint	0	0		1009016	1	2		6	1	1
