格子Id	名字	提示	格子背景	文字颜色	名字	描述	图标Id	类型(1地形,2物件)	层级，最大支持3	显示在第几页，默认1	类名	高度偏移	缩放	格子大小	地块类型(walkable/block)	直接购买价格	升级价格	收取过路费	特效id(填特效表中的id)	默认旋转	是否可以交互	标签(start:起点,blockbox:阻挡箱子,box:箱子,treasurebox1:小宝箱,treasurebox2:大宝箱,onlyFront:只能正前方互动)，可以有多个	参数	状态0	状态1	模型路径	正常材质	灰模材质
Id	Name	GroundHint	Background	TxtColor	LangName	Desc	Icon	Type	Layer	PageIndex	ClassName	Offset	Scale	Size	LandType	Price	PriceLv	PriceToll	ParticleId	Rotate	Interaction	Tags	TagParam	State0	State1	ModelPath	NormalMat	GreyMat
1	资源丢失		{0,0,0}	{255,255,255}																								
																												
2001	不可通行		{180,0,0}	{0,0,0}				1		2			{1,1,1}	{1,1}	block											/Game/Blueprints/Chess/dlc3/chess03_interact001_02_sm.chess03_interact001_02_sm_C		
2002	普通地面		{45,45,45,255}	{200,200,200}				1		2			{1,1,1}	{1,1}	walkable											/Game/Blueprints/Chess/dlc3/chess03_interact001_01_sm.chess03_interact001_01_sm_C		
																												
2101	获得土炸弹卡	土炸弹卡	{128,225,242,255}	{0,0,0}	season_item.chess03_22	season_item.chess03_22.desc		2	1	2			{1,1,1}	{1,1}	walkable							auto_get_card	11			/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_04.chess03_interact001_grid_hint_04_C		
2102	获得小炸弹卡	小炸弹卡	{128,225,242,255}	{0,0,0}	season_item.chess03_22	season_item.chess03_23.desc		2	1	2			{1,1,1}	{1,1}	walkable							auto_get_card	10			/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_05.chess03_interact001_grid_hint_05_C		
2103	获得飞弹卡	飞弹卡	{128,225,242,255}	{0,0,0}	season_item.chess03_22	season_item.chess03_24.desc		2	1	2			{1,1,1}	{1,1}	walkable							auto_get_card	12			/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_06.chess03_interact001_grid_hint_06_C		
2104	翻牌游戏事件	翻牌	{241,133,208,255}	{0,0,0}	season_item.chess03_25	season_item.chess03_25.desc		2	1	2			{1,1,1}	{1,1}	walkable							flip_game				/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_02.chess03_interact001_grid_hint_02_C		
2105	酒馆问答	酒馆	{242,241,128,255}	{200,45,0}	season_item.chess03_26	season_item.chess03_26.desc		2	1	2			{1,1,1}	{1,1}	walkable							tavern_question				/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint.chess03_interact001_grid_hint_C		
