特效id	注释	路径	是否循环播放	位置偏移	缩放	音效
Id	Nul	Path	Loop	Offset	Scale	Voice
1	方向指示特效	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_arrow/e_chess_dlc3_arrow_p.e_chess_dlc3_arrow_p'	1	{0, 0, 20}		
2	点击特效1可选	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_touch/e_chess_dlc3_touch1.e_chess_dlc3_touch1'	1	{0, 0, 0}		
3	点击特效2多选已选中	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_touch/e_chess_dlc3_touch2.e_chess_dlc3_touch2'	1	{0, 0, 0}		
4	点击特效3单选点击	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_touch/e_chess_dlc3_touch3.e_chess_dlc3_touch3'	0	{0, 0, 0}		
5	走路特效	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_walk/e_chess_dlc3_walk.e_chess_dlc3_walk'	0	{0, 0, 0}		
6	房子升级特效小	NiagaraSystem'/Game/Effects/Environments/Chess/Chess_dlc3_build1/Chess_dlc3_build1_p.Chess_dlc3_build1_p'	0	{0, 0, 0}		
7	房子升级特效大	NiagaraSystem'/Game/Effects/Environments/Chess/Chess_dlc3_build1/Chess_dlc3_build2_p.Chess_dlc3_build2_p'	0	{0, 0, 0}		
8	交互特效1	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_item1/e_chess_dlc3_item1_p.e_chess_dlc3_item1_p'	0	{0, 0, 0}		
9	清扫卡特效	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_clean/e_chess_dlc3_clean_p.e_chess_dlc3_clean_p'	0	{0, 0, 0}		
10	房屋选中效果	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_selecthouse/e_chess_dlc3_selecthouse.e_chess_dlc3_selecthouse'	1	{0, 0, 0}		
11	睡眠仓特效	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_fight01/e_chess_dlc3_fight01_p.e_chess_dlc3_fight01_p'	1	{0, 0, 0}		
12	开心	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_happy/e_chess_dlc3_happy_p.e_chess_dlc3_happy_p'	0	{0, 0, 0}		
13	失落	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_sad/e_chess_dlc3_sad_p.e_chess_dlc3_sad_p'	0	{0, 0, 0}		
14	生气	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_angry/e_chess_dlc3_angry_p.e_chess_dlc3_angry_p'	0	{0, 0, 0}		
15	爆炸特效炸药	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_boom1/e_chess_dlc3_boom1_p.e_chess_dlc3_boom1_p'	0	{0, 0, 0}		
16	爆炸特效地雷	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_boom1/e_chess_dlc3_boom2_p.e_chess_dlc3_boom2_p'	0	{0, 0, 0}		
17	通用出现特效	NiagaraSystem'/Game/Effects/Environments/Chess/chess_dlc1_reward/e_chess_dlc1_reward02.e_chess_dlc1_reward02'	0	{0, 0, 0}		
18	爆炸特效飞弹	NiagaraSystem'/Game/Effects/Environments/Chess/e_chess_dlc3_item2/e_chess_dlc3_item2_p.e_chess_dlc3_item2_p'	0	{0, 0, 0}		
