ID	困难等级(1 普通)	解锁条件（1 账号等级 2 前置关卡）	关卡列表	星级奖励 {{10,{{G,D,P,L,N}}},{G,D,P,L,N}},{20,{{G,D,P,L,N}}},{G,D,P,L,N}}}	开放时间	挑战次数	图片
ID	Difficult	Condition	Level	StarAward	OpenDay	Time	Img
1	1		{211,212,213,214,215,216}		{1,2,3,4,5,6,7}	1	
2	1		{221,222,223,224,225,226}		{1,2,3,4,5,6,7}	1	
3	1		{231,232,233,234,235,236}		{1,2,3,4,5,6,7}	1	
4	1		{241,242,243,244,245,246}		{1,2,3,4,5,6,7}	1	1102007
5	1		{251,252,253,254,255,256}		{1,2,3,4,5,6,7}	1	1102007
6	1		{261,262,263,264,265,266}		{1,2,3,4,5,6,7}	1	1102007
7	1		{271,272,273,274,275,276}		{1,2,3,4,5,6,7}	1	1102020
8	1		{281,282,283,284}		{4,7}	1	1102020
9	1		{291,292,293,294}		{6,7}	1	1102020
10	1		{257}		{1,2,3,4,5,6,7}	1	
11	1		{295}		{1,2,3,4,5,6,7}	1	
99	1		{904,905,906,907,903,901}		{1,2,3,4,5,6,7}	1	
