ID	备注	关卡类型(对应daily.txt中的ID)	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	推荐战力	战斗力增减等级数	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首通掉落ID	固定掉落ID	随机掉落ID	额外掉落ID	按稀有度区分的掉落	活动期间体力消耗	UI展示固定物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	任务资源	基础保底值	稀有度等级掉落列	出场怪物信息{怪物编号,等级(填0不显示等级)}	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表	关联growintensity怪物强度模板	关卡概念图
ID	Comments	Type	MapID	FightID	Condition	ConsumeVigor	RecommendPower	RecommendLevelOffset	MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	FirstDropID	BaseDropID	RandomDropID	ExtraDropID	RankDropID	ActivityConsumeVigor	ShowAward	ShowRandomAward	ShowFirstAward	TaskPath	Guarantee	RareDrop	Monster	ShowListType	LevelStrength	PictureLevel
211	富饶之壶-金币1	1	210	1	{{{1,1},{2,11427}},{{1,1},{2,10205}}}	{0,10}			1	1	212	10			{4001}	{4001}					{{4,3,3,1,10},{4,3,1,1,2700}}		{{4,3,1,1,2700}}	DailyTask/DTask01_01.DTask01_01			{4001802}	0	3	1801002
212	金币2	1	210	1	{{{4,211},{2,11504}},{{4,211},{2,10306}}}	{0,15}			1	1	213	15			{4002}	{4002}					{{4,3,3,1,15},{4,3,1,1,4200}}		{{4,3,1,1,4200}}	DailyTask/DTask01_02.DTask01_02			{4001802}	0	3	1801002
213	金币3	1	210	1	{{{4,212},{2,11508}},{{4,212},{2,10409}}}	{0,20}			1	1	214	20			{4003}	{4003}					{{4,3,3,1,20},{4,3,1,1,6000}}		{{4,3,1,1,6000}}	DailyTask/DTask01_03.DTask01_03			{4001802}	0	3	1801002
214	金币4	1	210	1	{{{4,213},{2,11514}},{{4,213},{2,10511}}}	{0,25}			1	1	215	25			{4004}	{4004}					{{4,3,3,1,25},{4,3,1,1,7500}}		{{4,3,1,1,7500}}	DailyTask/DTask01_04.DTask01_04			{4001802}	0	3	1801002
215	金币5	1	210	1	{{{4,214},{2,11518}},{{4,214},{2,10610}}}	{0,30}			1	1	216	30			{4005}	{4005}					{{4,3,3,1,30},{4,3,1,1,9000}}		{{4,3,1,1,9000}}	DailyTask/DTask01_05.DTask01_05			{4001802}	0	3	1801002
216	金币6	1	210	1	{{{4,215},{2,11534}},{{4,215},{2,10707}}}	{0,40}			1	1		40			{4006}	{4006}					{{4,3,3,1,40},{4,3,1,1,12000}}		{{4,3,1,1,12000}}	DailyTask/DTask01_06.DTask01_06			{4001802}	0	3	1801002
221	百足之市-角色经验1	2	220	1	{{{1,1},{2,11427}},{{1,1},{2,10205}}}	{0,10}			1	1	222	10			{4007}	{4007}					{{4,3,3,1,10},{5,1,1,1,9}}		{{5,1,1,1,9}}	DailyTask/DTask02_01.DTask02_01			{4001108,4001112}	0	3	1801002
222	角色经验2	2	220	1	{{{4,221},{2,11504}},{{4,221},{2,10306}}}	{0,15}			1	1	223	15			{4008}	{4008}					{{4,3,3,1,15},{5,1,1,2,7}}		{{5,1,1,2,7}}	DailyTask/DTask02_02.DTask02_02			{4001108,4001112}	0	3	1801002
223	角色经验3	2	220	1	{{{4,222},{2,11508}},{{4,222},{2,10409}}}	{0,20}			1	1	224	20			{4009}	{4009}					{{4,3,3,1,20},{5,1,1,2,5},{5,1,1,3,2}}		{{5,1,1,2,5},{5,1,1,3,2}}	DailyTask/DTask02_03.DTask02_03			{4001108,4001103,4001112}	0	3	1801002
224	角色经验4	2	220	1	{{{4,223},{2,11514}},{{4,223},{2,10511}}}	{0,25}			1	1	225	25			{4010}	{4010}					{{4,3,3,1,25},{5,1,1,3,2},{5,1,1,4,1}}		{{5,1,1,3,2},{5,1,1,4,1}}	DailyTask/DTask02_04.DTask02_04			{4001108,4001103,4001112}	0	3	1801002
225	角色经验5	2	220	1	{{{4,224},{2,11518}},{{4,224},{2,10610}}}	{0,30}			1	1	226	30			{4011}	{4011}					{{4,3,3,1,30},{5,1,1,3,3},{5,1,1,4,1}}		{{5,1,1,3,3},{5,1,1,4,1}}	DailyTask/DTask02_05.DTask02_05			{4001108,4001103,4001112,5001111}	0	3	1801002
226	角色经验6	2	220	1	{{{4,225},{2,11534}},{{4,225},{2,10707}}}	{0,40}			1	1		40			{4012}	{4012}					{{4,3,3,1,40},{5,1,1,3,2},{5,1,1,4,2}}		{{5,1,1,3,2},{5,1,1,4,2}}	DailyTask/DTask02_06.DTask02_06			{4001108,4001103,4001112,5001111}	0	3	1801002
231	止战之人-武器经验1	3	230	1	{{{1,1},{2,11427}},{{1,1},{2,10205}}}	{0,10}			1	1	232	10			{4013}	{4013}					{{4,3,3,1,10},{5,2,1,1,9}}		{{5,2,1,1,9}}	DailyTask/DTask03_01.DTask03_01			{4001007,4001004,4001006,4001002}	0	3	1801002
232	武器经验2	3	230	1	{{{4,231},{2,11504}},{{4,231},{2,10306}}}	{0,15}			1	1	233	15			{4014}	{4014}					{{4,3,3,1,15},{5,2,1,2,7}}		{{5,2,1,2,7}}	DailyTask/DTask03_02.DTask03_02			{4001007,4001004,4001006,4001002}	0	3	1801002
233	武器经验3	3	230	1	{{{4,232},{2,11508}},{{4,232},{2,10409}}}	{0,20}			1	1	234	20			{4015}	{4015}					{{4,3,3,1,20},{5,2,1,2,5},{5,2,1,3,2}}		{{5,2,1,2,5},{5,2,1,3,2}}	DailyTask/DTask03_03.DTask03_03			{4001007,4001004,4001006,4001002}	0	3	1801002
234	武器经验4	3	230	1	{{{4,233},{2,11514}},{{4,233},{2,10511}}}	{0,25}			1	1	235	25			{4016}	{4016}					{{4,3,3,1,25},{5,2,1,3,2},{5,2,1,4,1}}		{{5,2,1,3,2},{5,2,1,4,1}}	DailyTask/DTask03_04.DTask03_04			{4001007,4001004,4001006,4001002}	0	3	1801002
