ID	备注	关卡类型(0、通常关,1、Boss关,2、剧情)	挑战次数限制	积分消耗	地图ID	BUFFID（可以多个）	解锁条件	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表		是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	是否直接进入剧情（1直接进入）
ID	Comments	Type	Num	Consume	MapID	BuffID	Condition	ConsumeVigor	StarCondition	Monster	LevelStrength	ShowListType		MultipleFight	AgainFight	NextID	PlayerExp	RoleExp	TeamRuleID	StarAward	FirstDropID	BaseDropID	RandomDropID	ShowAward	ShowRandomAward	ShowFirstAward	PictureBoss	PictureLevel	TaskPath	NoSlotStory
40111	安卡希雅-剧情1	2			50000			{0,0}			1			0	0	40112	0	0		{}	{5017}					{{5,4,1,1,1}}		1801000	ActorTask/ATask_Girl011_PF01.ATask_Girl011_PF01	1
40112	安卡希雅-剧情2	2			50000		{{2,40111}}	{0,0}			1			0	0	40113	0	0		{}	{5017}					{{5,4,1,1,1}}		1801000	ActorTask/ATask_Girl011_PF02.ATask_Girl011_PF02	1
40113	安卡希雅-剧情3	2			50000		{{2,40112}}	{0,0}			1			0	0	40114	0	0		{}	{5017}					{{5,4,1,1,1}}		1801000	ActorTask/ATask_Girl011_PF03.ATask_Girl011_PF03	1
40114	安卡希雅-行动_01	0			40111		{{2,40113}}	{0,0}		{4001017,4002006,5001001,4001004,4001002}	1			0	0	40115	0	0	1101	{}	{5018}					{{5,4,1,1,2}}		1801000	ActorTask/ATask_Girl011_01.ATask_Girl011_01	
40115	安卡希雅-剧情4	2			50000		{{2,40114}}	{0,0}			1			0	0	40116	0	0		{}	{5017}					{{5,4,1,1,1}}		1801000	ActorTask/ATask_Girl011_PF04.ATask_Girl011_PF04	1
40116	安卡希雅-行动_02	0	-1	2	40112		{{2,40115}}	{0,0}		{5001010,4001007,4001006}	1			0	0		0	0		{}	{5018}	{5017}		{{5,4,1,1,1}}		{{5,4,1,1,2}}		1801000	ActorTask/ATask_Girl011_02.ATask_Girl011_02	
40211	星期三-剧情1	2			50000			{0,0}			1			0	0	40212	0	0		{}	{5001}					{{5,4,2,1,1}}		1801000	ActorTask/ATask_Girl002_PF01.ATask_Girl002_PF01	1
40212	里芙-行动_01	0			40211		{{2,40211}}	{0,0}		{4001212,5001205}	1			0	0	40213	0	0	1102	{}	{5002}					{{5,4,2,1,2}}		1801000	ActorTask/ATask_Girl002_01.ATask_Girl002_01	
40213	星期三-剧情2	2			50000		{{2,40212}}	{0,0}			1			0	0	40214	0	0		{}	{5001}					{{5,4,2,1,1}}		1801000	ActorTask/ATask_Girl002_PF02.ATask_Girl002_PF02	1
