怪物队列ID	怪物列表
Id	Monsters
1	{4601802,4601802,4601802,4601802,4601802,4601803,4601802,4601803,4601802,4601802,4601804,4601804,4601804,4601804,4601804,4601804,4601804,4601804,4601804,4601804}
2	{4601803,4601803,4601804,4601803,4601803,4601804,4601804,4601802,4601804,4601803,4601802,4601802,4601804,4601802,4601804,4601803,4601803,4601803,4601803,4601804,4601803,4601802,4601804,4601804,4601804,4601804,4601804,4601802,4601804,4601804}
3	{4601804,4601804,4601804,4601802,4601804,4601804,4601802,4601802,4601803,4601804,4601802,4601802,4601802,4601803,4601803,4601803,4601804,4601804,4601803,4601803}
4	{4601802,4601804,4601803,4601804,4601804,4601802,4601802,4601802,4601802,4601802,4601804,4601804,4601804,4601804,4601803,4601803,4601803,4601804,4601802,4601804,4601804,4601804,4601803,4601803,4601802,4601802,4601804,4601804,4601804,4601803,4601803,4601804,4601804}
5	{4601803,4601803,4601803,4601803,4601803,4601804,4601804,4601804,4601802,4601802,4601804,4601803,4601803,4601802,4601802,4601803,4601803,4601804,4601804}
6	{4601804,4601802,4601802,4601804,4601802,4601803,4601803,4601803,4601803,4601804,4601802,4601802,4601804,4601804,4601804,4601803,4601803,4601802,4601802,4601804,4601804,4601804,4601804,4601804,4601804,4601802,4601802,4601803,4601803,4601803,4601803,4601803}
7	{4601803,4601803,4601804,4601803,4601803,4601804,4601804,4601802,4601804,4601803,4601802,4601802,4601804,4601802,4601804,4601803,4601803,4601803,4601803,4601802,4601802,4601803,4601802,4601802,4601803,4601803,4601804,4601803,4601802,4601804,4601804,4601804,4601804,4601804,4601802,4601804,4601804}
8	{4601802,4601804,4601803,4601804,4601804,4601802,4601802,4601802,4601802,4601802,4601804,4601802,4601803,4601802,4601802,4601804,4601804,4601804,4601804,4601804,4601803,4601803,4601803,4601804,4601802,4601804,4601804,4601804,4601803,4601803,4601802,4601802,4601804,4601804,4601804,4601803,4601803,4601804,4601804}
9	{4601804,4601804,4601804,4601802,4601804,4601804,4601802,4601802,4601803,4601804,4601802,4601802,4601802,4601803,4601803,4601803,4601804,4601804,4601803,4601803,4601803,4601803,4601804,4601803,4601803,4601804,4601804,4601802,4601804,4601803,4601802,4601802,4601804,4601802,4601804,4601803,4601803,4601803,4601803,4601804,4601803,4601802,4601804,4601804,4601804,4601804,4601804,4601802,4601804,4601804}
10	{4601804,4601802,4601802,4601804,4601802,4601803,4601803,4601803,4601803,4601804,4601802,4601802,4601804,4601804,4601804,4601803,4601803,4601802,4601802,4601804,4601804,4601804,4601804,4601804,4601804,4601802,4601802,4601803,4601803,4601803,4601803,4601803}
