ID	说明	是不是成品曲线	镜头路径	主角	妹子1	妹子2	妹子3	妹子4	妹子5	妹子6	妹子7	妹子8	妹子10	妹子11	妹子12	妹子13	妹子14	机器人	妹子15	妹子16	妹子17	妹子18	妹子20	妹子21
Id	Name	IsArt	Path	Npc0	Npc1	Npc2	Npc3	Npc4	Npc5	Npc6	Npc7	Npc8	Npc10	Npc11	Npc12	Npc13	Npc14	Npc406	Npc15	Npc16	Npc17	Npc18	Npc20	Npc21
1101	单人/左/俯拍/近景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_left_01.cartoon_Front_Single_left_01'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1102	单人/左/平视/近景/慢速右旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_left_02.cartoon_Front_Single_left_02'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1103	单人/左/仰拍/中近/慢速右旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_left_03.cartoon_Front_Single_left_03'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1104	单人/左/俯拍/近景/快速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_left_04.cartoon_Front_Single_left_04'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1105	抛竿		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_left_05.cartoon_Front_Single_left_05'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
																								
1201	单人/右/俯拍/近景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_right_01.cartoon_Front_Single_right_01'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1202	单人/右/平视/近景/慢速左旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_right_02.cartoon_Front_Single_right_02'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1203	单人/右/仰拍/中近/慢速左旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_right_03.cartoon_Front_Single_right_03'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
1204	单人/右/俯拍/近景/快速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Single_right_04.cartoon_Front_Single_right_04'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
																								
																								
2101	双人/左/俯拍/中景/快速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_01.cartoon_Front_Double_left_01'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2102	双人/左/平视/中景/中速左旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_02.cartoon_Front_Double_left_02'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2103	双人/左/侧拍/全景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_03.cartoon_Front_Double_left_03'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2104	双人/左/俯拍/中景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_04.cartoon_Front_Double_left_04'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2105	双人/左/侧拍/中景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_05.cartoon_Front_Double_left_05'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2106	双人/左/侧拍/中近/慢速后拉		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_left_06.cartoon_Front_Double_left_06'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
																								
																								
2201	双人/右/俯拍/中景/快速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_01.cartoon_Front_Double_right_01'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2202	双人/右/平视/中景/慢速右旋		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_02.cartoon_Front_Double_right_02'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2203	双人/右/侧拍/全景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_03.cartoon_Front_Double_right_03'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2204	双人/右/俯拍/中景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_04.cartoon_Front_Double_right_04'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2205	双人/右/侧拍/中景/慢速推镜		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_05.cartoon_Front_Double_right_05'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
2206	双人/右/侧拍/中近/慢速后拉		LevelSequence'/Game/Cinematics/cartoon/cartoon_Front_Double_right_06.cartoon_Front_Double_right_06'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
																								
3101	钓鱼1		LevelSequence'/Game/Cinematics/cartoon/diaoyu_cam1.diaoyu_cam1'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
3102	钓鱼2		LevelSequence'/Game/Cinematics/cartoon/diaoyu_cam2.diaoyu_cam2'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
3103	钓鱼3		LevelSequence'/Game/Cinematics/cartoon/diaoyu_cam3.diaoyu_cam3'			[0,0,8]	[0,0,12]		[0,0,8]	[0,0,6]	[0,0,2]	[0,0,7]	[0,0,6]	[0,0,8]	[0,0,6]	[0,0,2]	[0,0,8]		[0,0,8]		[0,0,6]	[0,0,4]	[0,0,2]	[0,0,8]
																								
																								
900401	芙提雅特殊1	1	LevelSequence'/Game/Cinematics/cartoon/unique_girl004_01.unique_girl004_01'																					
900601	晴特殊1	1	LevelSequence'/Game/Cinematics/cartoon/unique_girl006_01.unique_girl006_01'																					
900602	晴特殊2	1	LevelSequence'/Game/Cinematics/cartoon/unique_girl006_02.unique_girl006_02'																					
900801	芬妮特殊1	1	LevelSequence'/Game/Cinematics/cartoon/unique_girl008_01.unique_girl008_01'																					
