声音名字	说明
Name	Nul
Play_Story_Friction01	穿脱衣服的声音
Play_Story_Friction02	衣料摩擦声
Play_S_Story_Clothes	脱掉衣服的音效
Play_Story_RouTi	触碰肉体
Play_S_Story_wakeup	掀被子
Play_S_Story_bodyconflict	身体碰撞
	
Play_Story_DLC12_02	文件散落地面的声音
Play_Story_Book01	书本摩擦
Play_Story_Turnbook01	书的翻页声
Play_Story_Dinner	餐具碰撞
Play_Story_Cheers	碰杯
Play_Story_Shot	快门
Play_Story_Heartbeat_A	心跳A
Play_Story_Heartbeat_B	心跳B
play_S_Story_2d_Walk1	走路
play_S_Story_2d_Run1	跑步
Play_Story_DLC26_10	易拉罐滚落
Play_S_Story_mechabox	打开装置
	
	
Play_S_Story_Eliminate	记忆消除棒声
Play_Story_DLC11_01	史莱姆果冻音效1
Play_Story_DLC11_02	卡通音效1
Play_Story_DLC11_03	卡通音效2
Play_Story_DLC11_04	卡通音效3
Play_Story_DLC11_05	卡通音效4
Play_S_Story_spotlight	聚光灯开灯
Play_Story_S_juru	巨乳音效
Play_Story_Flashback1	闪回
Play_Story_DLC25_01	倒带音效
Play_Story_DLC25_03	闪亮登场当当
Play_Story_DLC12_08	流星bling闪一下
Play_Story_FengLing	风铃
	
	
Play_Story_S_Wind01	风的呼啸声
Play_S_Story_2d_Rain	降雨
Play_S_Story_2d_Wave	海浪声
Stop_S_Story_2d_Wave	停止海浪声
Play_S_Story_2d_Bird	鸟语花香
Play_S_Story_2d_Thunder	闪电雷声
Play_S_Story_Mew	海鸥与海浪
	
	
Play_Story_DLC12_05	机器人运转的音效
Play_Story_DLC12_06	正确激活系统的反馈音
Play_Story_DLC9_08	手机震动声
Play_Story_Link1	通讯接入
Play_Story_Disturb1	信号干扰
Play_Story_Operating1	设备运行声音
Stop_Story_Operating1	停止设备运行声音
Play_Story_Hangup1	通讯结束
Play_Story_Noise1	通讯杂音
Stop_Story_Noise1	停止通讯杂音
play_S_Story_2d_Warning1	警报
Play_Story_S_Screen01	操作电子屏幕的音效
Play_Story_DLC12_03	手机掉落地面的声音
Play_Story_DLC35_12	水波荡漾的声音
Stop_Story_DLC35_12	停止水波荡漾
	
	
Play_Story_LingShiDai	撕开零食袋
Play_S_Story_cream	搅拌奶油声
Play_Story_FanMaiJi	贩卖机购买
Play_Story_GuangJiao	光脚走地板
Play_Story_NaoGua	弹脑瓜崩
Play_Story_firework01	烟花发射和爆炸
Stop_Story_firework01	停止烟花发射和爆炸
Play_Story_Fisthit1	重拳击中音效
Play_Story_S_Drink01	喝水声
Play_Story_S_Ourwater01	倒水声
Play_Story_S_jiantou	画板上画画
Play_Story_DLC12_04	饿肚子的咕噜噜
Play_Story_DLC12_07	花钱音效
	
Play_Vo_dlc3act4_girl013_1	小金鱼唱歌语音
Play_Mo_girl013_happy01_052	瑟瑞斯语气 小小的开心
Play_Mo_girl013_sure01_066	瑟瑞斯语气 肯定
	
Play_Story_DLC27_21	舌吻
Play_Story_DLC10_04	亲吻声
Play_Story_DLC26_05	深吻
