id	名字	npc类型	模块的npcId	衣服id	类型2d/3d	模型缩放	角色Id	身体蓝图	脸部蓝图	身体和谐	最大转头数值限制	Spine图集	Spine骨骼
Id	Name	Type	NpcId	SuitId	Type2	Scale	CharacterID	BP_Body	BP_Face	SafeMesh	MaxTurnHeadPitch	SpineAtlas	SpineSkeleton
player	H主角	house	0		3d			Blueprint'/Game/Blueprints/House/Character/BP_HouseBaseCharacter.BP_HouseBaseCharacter_C'	Blueprint'/Game/Blueprints/House/Character/player/head/BP_player_Head.BP_player_Head_C'				
girl1	H安卡希雅	house	1		3d			Blueprint'/Game/Blueprints/House/Character/npc001/BP_HouseNpc1.BP_HouseNpc1_C'	Blueprint'/Game/Blueprints/House/Character/npc001/Head/BP_Girl001_Head_Preview_Cartoon_01.BP_Girl001_Head_Preview_Cartoon_01_C'		5		
girl2	H里芙	house	2		3d			Blueprint'/Game/Blueprints/House/Character/npc002/BP_HouseNpc2.BP_HouseNpc2_C'	Blueprint'/Game/Blueprints/House/Character/npc002/Head/BP_Girl002_Head_Preview_Cartoon_01.BP_Girl002_Head_Preview_Cartoon_01_C'				
girl3	H妮塔	house	3		3d			Blueprint'/Game/Blueprints/House/Character/npc003/BP_HouseNpc3.BP_HouseNpc3_C'	Blueprint'/Game/Blueprints/House/Character/npc003/Head/BP_Girl003_Head_Preview_Cartoon_01.BP_Girl003_Head_Preview_Cartoon_01_C'				
girl4	H芙提雅	house	4		3d			Blueprint'/Game/Blueprints/House/Character/npc004/BP_HouseNpc4.BP_HouseNpc4_C'	Blueprint'/Game/Blueprints/House/Character/npc004/Head/BP_Girl004_Head_Preview_Cartoon_01.BP_Girl004_Head_Preview_Cartoon_01_C'		5		
girl5	H茉莉安	house	5		3d			Blueprint'/Game/Blueprints/House/Character/npc005/BP_HouseNpc5.BP_HouseNpc5_C'	Blueprint'/Game/Blueprints/House/Character/npc005/Head/BP_Girl005_Head_Preview_Cartoon_01.BP_Girl005_Head_Preview_Cartoon_01_C'				
girl6	H晴	house	6		3d			Blueprint'/Game/Blueprints/House/Character/npc006/BP_HouseNpc6.BP_HouseNpc6_C'	Blueprint'/Game/Blueprints/House/Character/npc006/Head/BP_Girl006_Head_Preview_Cartoon_01.BP_Girl006_Head_Preview_Cartoon_01_C'				
girl7	H琴诺	house	7		3d			Blueprint'/Game/Blueprints/House/Character/npc007/BP_HouseNpc7.BP_HouseNpc7_C'	Blueprint'/Game/Blueprints/House/Character/npc007/Head/BP_Girl007_Head_Preview_Cartoon_01.BP_Girl007_Head_Preview_Cartoon_01_C'				
girl8	H芬妮	house	8		3d			Blueprint'/Game/Blueprints/House/Character/npc008/BP_HouseNpc8.BP_HouseNpc8_C'	Blueprint'/Game/Blueprints/House/Character/npc008/Head/BP_Girl008_Head_Preview_Cartoon_01.BP_Girl008_Head_Preview_Cartoon_01_C'				
girl9	H测试	house	9		3d								
girl10	H肴	house	10		3d			Blueprint'/Game/Blueprints/House/Character/npc010/BP_HouseNpc10.BP_HouseNpc10_C'	Blueprint'/Game/Blueprints/House/Character/npc010/Head/BP_Girl010_Head_Preview_Cartoon_01.BP_Girl010_Head_Preview_Cartoon_01_C'				
girl11	H恩雅	house	11		3d			Blueprint'/Game/Blueprints/House/Character/npc011/BP_HouseNpc11.BP_HouseNpc11_C'	Blueprint'/Game/Blueprints/House/Character/npc011/Head/BP_Girl011_Head_Preview_Cartoon_01.BP_Girl011_Head_Preview_Cartoon_01_C'				
girl12	H猫汐尔	house	12		3d			Blueprint'/Game/Blueprints/House/Character/npc012/BP_HouseNpc12.BP_HouseNpc12_C'	Blueprint'/Game/Blueprints/House/Character/npc012/Head/BP_Girl012_Head_Preview_Cartoon_01.BP_Girl012_Head_Preview_Cartoon_01_C'		5		
girl13	H瑟瑞斯	house	13		3d			Blueprint'/Game/Blueprints/House/Character/npc013/BP_HouseNpc13.BP_HouseNpc13_C'	Blueprint'/Game/Blueprints/House/Character/npc013/Head/BP_Girl013_Head_Preview_Cartoon_01.BP_Girl013_Head_Preview_Cartoon_01_C'		5		
girl14	H姬辰星	house	14		3d			Blueprint'/Game/Blueprints/House/Character/npc014/BP_HouseNpc14.BP_HouseNpc14_C'	Blueprint'/Game/Blueprints/House/Character/npc014/Head/BP_Girl014_Head_Preview_Cartoon_01.BP_Girl014_Head_Preview_Cartoon_01_C'				
girl15	H凯茜娅	house	15		3d			Blueprint'/Game/Blueprints/House/Character/npc015/BP_HouseNpc15.BP_HouseNpc15_C'	Blueprint'/Game/Blueprints/House/Character/npc015/Head/BP_Girl015_Head_Preview_Cartoon_01.BP_Girl015_Head_Preview_Cartoon_01_C'				
girl16	H伊切尔	house	16		3d			Blueprint'/Game/Blueprints/House/Character/npc016/BP_HouseNpc16.BP_HouseNpc16_C'	Blueprint'/Game/Blueprints/House/Character/npc016/Head/BP_Girl016_Head_Preview_Cartoon_01.BP_Girl016_Head_Preview_Cartoon_01_C'				
girl17	H苔丝	house	17		3d			Blueprint'/Game/Blueprints/House/Character/npc017/BP_HouseNpc17.BP_HouseNpc17_C'	Blueprint'/Game/Blueprints/House/Character/npc017/Head/BP_Girl017_Head_Preview_Cartoon_01.BP_Girl017_Head_Preview_Cartoon_01_C'				
girl18	H薇蒂雅	house	18		3d			Blueprint'/Game/Blueprints/House/Character/npc018/BP_HouseNpc18.BP_HouseNpc18_C'	Blueprint'/Game/Blueprints/House/Character/npc018/Head/BP_Girl018_Head_Preview_Cartoon_01.BP_Girl018_Head_Preview_Cartoon_01_C'				
girl20	H卜卜	house	20		3d			Blueprint'/Game/Blueprints/House/Character/npc020/BP_HouseNpc20.BP_HouseNpc20_C'	Blueprint'/Game/Blueprints/House/Character/npc020/Head/BP_Girl020_Head_Preview_Cartoon_01.BP_Girl020_Head_Preview_Cartoon_01_C'				
girl21	H奈莉德	house	21		3d			Blueprint'/Game/Blueprints/House/Character/npc021/BP_HouseNpc21.BP_HouseNpc21_C'	Blueprint'/Game/Blueprints/House/Character/npc021/Head/BP_Girl021_Head_Preview_Cartoon_01.BP_Girl021_Head_Preview_Cartoon_01_C'				
girl22	H克罗瑞娜	house	22		3d			Blueprint'/Game/Blueprints/House/Character/npc022/BP_HouseNpc22.BP_HouseNpc22_C'	Blueprint'/Game/Blueprints/House/Character/npc022/Head/BP_Girl022_Head_Preview_Cartoon_01.BP_Girl022_Head_Preview_Cartoon_01_C'				
girl23	H米娅	house	23		3d			Blueprint'/Game/Blueprints/House/Character/npc023/BP_HouseNpc23.BP_HouseNpc23_C'	Blueprint'/Game/Blueprints/House/Character/npc023/Head/BP_Girl023_Head_Preview_Cartoon_01.BP_Girl023_Head_Preview_Cartoon_01_C'				
													
													
npc101	H卡罗琳	house	101		3d			Blueprint'/Game/Blueprints/House/Character/npc101/BP_HouseNpc101.BP_HouseNpc101_C'					
npc201	H悠闲的员工	house	201		3d			Blueprint'/Game/Blueprints/House/Character/npc201/BP_HouseNpc201.BP_HouseNpc201_C'					
npc202	H纠结的员工	house	202		3d			Blueprint'/Game/Blueprints/House/Character/npc202/BP_HouseNpc202.BP_HouseNpc202_C'					
npc203	H忙碌的安保	house	203		3d			Blueprint'/Game/Blueprints/House/Character/npc203/BP_HouseNpc203.BP_HouseNpc203_C'					
npc205	H热情的员工	house	205		3d			Blueprint'/Game/Blueprints/House/Character/npc205/BP_HouseNpc205.BP_HouseNpc205_C'					
npc206	H员工琪琪	house	206		3d			Blueprint'/Game/Blueprints/House/Character/npc206/BP_HouseNpc206.BP_HouseNpc206_C'					
npc207	H员工莉莉	house	207		3d			Blueprint'/Game/Blueprints/House/Character/npc207/BP_HouseNpc207.BP_HouseNpc207_C'					
npc299	H小吉	house	299		3d			Blueprint'/Game/Blueprints/House/Character/BP_HouseNpc99.BP_HouseNpc99_C'					
													
													
