ID	//备注（关卡名称文本、挑战规则文本走chapter.txt配置）	图标	关卡机制介绍(boss才有)	挑战解锁条件	关卡类型(1前哨,2boss)	可选buff（填写squadtower_buff表ID）	Debuff集合	对应关卡ID（填写squadtower_level表Id）	试用角色ID（填写trial_card表ID）
ID	Comment	Icon	Des	Condition	Type	Buffs	Debuffs	Level	TryCard
1	常1	1701234			1	{4,7,9}	{4,7,9}	8864	{104007,104008,104009}
2	常2	1701234			1	{4,7,9}	{4,7,9}	8862	{104007,104008,104009}
3	挑战1	1701237	xxx		2	{4,7,9}	{4,7,9}	8861	{104007,104008,104009}
4	常4	1701234			1	{3,6,10}		8865	{104010,104011,104012}
5	常5	1701234			1	{3,6,10}		8866	{104010,104011,104012}
6	挑战2	1701237	xxx	{{2,8864}}	2	{3,6,10}		8868	{104010,104011,104012}
7	常7	1701234			1	{2,8,9}		8869	{104013,104014,104015}
8	常8	1701234			1	{2,8,9}		8870	{104013,104014,104015}
9	挑战3	1701237	xxx	{{2,8868}}	2	{2,8,9}		8872	{104013,104014,104015}
10	常10	1701234			1	{1,5,10}		8873	{104013,104014,104015}
11	常11	1701234			1	{1,5,10}		8874	{104013,104014,104015}
12	挑战4	1701237	xxx	{{2,8872}}	2	{1,5,10}		8876	{104013,104014,104015}
13	常13	1701234			1	{4,6,9}		8877	{104016,104017,104018}
14	常14	1701234			1	{4,6,9}		8878	{104016,104017,104018}
15	挑战5	1701237	xxx	{{2,8876}}	2	{4,6,9}		8880	{104016,104017,104018}
16	常16	1701234			1	{3,7,10}		8881	{104016,104017,104018}
17	常17	1701234			1	{3,7,10}		8882	{104016,104017,104018}
18	挑战6	1701237	xxx	{{2,8880}}	2	{3,7,10}		8884	{104016,104017,104018}
